k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27
0.2,0.2,0.2,0.2,0.2,0.2,0.0054,32.8706,3.8642,0.9382,1.2134,2.8996,0.00657215,57759.3,824.887,160.202,185.187,449.198,8.69784,1.21178,0.407215,0.237095,0.848512,6104.33,1278.19,1952.71,4689.68,248.785,189.095,591.261,5.25044,134.624,164.642
0.2,0.2,0.2,0.2,0.2,0.4,0.0048,34.666,3.8648,0.2306,2.3018,1.8112,0.00957888,63579.6,824.963,26.2775,408.648,181.321,6.61733,1.17228,0.305554,0.359423,0.485203,6500.8,300.802,3932.66,3065.75,62.5597,397.073,383.524,5.14403,24.143,186.85
0.2,0.2,0.2,0.2,0.2,0.6,0.0068,35.3532,3.8628,0.082,2.8384,1.2746,0.00915559,65852,824.766,4.46017,535.347,89.7411,11.1056,1.27099,0.0184461,0.981895,0.430019,6650.9,108.915,4926.05,2200.12,21.7028,509.799,270.23,4.93364,6.29354,169.291
0.2,0.2,0.2,0.2,0.2,0.8,0.0036,35.7074,3.866,0.0532,3.167,0.946,0.00398784,67051.4,825.84,0.840538,634.084,50.1627,5.56517,0.73643,0.0188122,0.519303,0.167228,6733.4,80.4623,5549.98,1647.9,12.9041,578.965,201.791,4.86269,3.08989,139.712
0.2,0.2,0.2,0.2,0.2,1,0.0052,35.8998,3.8644,0.039,3.3436,0.7694,0.00597415,67698.4,824.973,0.231525,686.664,33.6113,9.09054,1.16894,0.0125997,0.822978,0.240247,6771.17,65.1577,5881.41,1353.15,8.96508,615.577,164.802,4.39388,1.82076,121.697
0.2,0.2,0.2,0.2,0.4,0.2,0.0038,32.8432,3.8658,1.0194,1.2688,2.8442,0.00498656,57701.5,825.762,185.717,196.747,433.799,5.90658,0.775265,0.263779,0.190017,0.518096,6097.39,1394.69,2059.78,4584.43,267.96,198.882,581.851,7.20723,143.952,166.562
0.2,0.2,0.2,0.2,0.4,0.4,0.0048,34.5728,3.8648,0.2562,2.2342,1.8788,0.00797856,63291.2,825.141,32.5315,389.301,192.771,6.91503,1.08427,0.235817,0.474971,0.499282,6482.69,332.407,3811.75,3167.82,68.5191,385.131,395.336,6.79036,26.0629,190.799
0.2,0.2,0.2,0.2,0.4,0.6,0.0042,35.3432,3.8654,0.1004,2.8494,1.2636,0.00538344,65826.6,825.551,5.27898,540.17,88.6146,6.6989,0.880541,0.0287841,0.390511,0.289151,6653.8,136.617,4945.95,2179.65,25.4286,513.018,267.744,6.64725,7.40121,167.443
0.2,0.2,0.2,0.2,0.4,0.8,0.0062,35.6446,3.8634,0.0686,3.117,0.996,0.00856327,66829.3,824.397,2.34756,617.936,56.8289,10.083,1.45574,0.0607868,0.868848,0.392303,6712.25,100.619,5447.05,1738.13,17.5319,565.931,214.25,5.35024,4.47417,144.452
0.2,0.2,0.2,0.2,0.4,1,0.0036,35.8544,3.866,0.0476,3.3084,0.8046,0.00358776,67554.4,826.015,0.275389,673.52,36.4065,5.81389,0.649412,0.0106308,0.659022,0.136931,6765.03,79.9363,5819.86,1405.14,10.6481,608.522,172.123,5.31758,2.22795,126.872
