k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27
0.2,0.2,0.2,0.2,0.8,1,-0.046102,185.623,21.194,0.283656,20.4736,0.909735,0.0345967,335567,4669.64,1.04007,4586.1,8.98629,-78.0557,-8.7476,-0.125837,-8.11015,-0.371544,35123.2,495.952,34079.4,1477.12,53.7303,3978.41,178.335,46.4492,1.97468,170.745
0.2,0.2,0.2,0.2,1,0.2,-0.041902,185.62,21.1898,0.282056,20.4648,0.918535,0.0599592,335546,4668.3,1.03081,4576.02,8.46978,-70.8812,-8.08832,-0.129607,-5.95035,-0.345289,35115.3,489.761,34054,1501.05,54.1665,3975.3,179.259,45.2455,2.02851,176.043
0.2,0.2,0.2,0.2,1,0.4,-0.041302,185.625,21.1892,0.279856,20.4678,0.915535,0.0516164,335570,4668.06,1.03232,4578.97,8.38001,-69.9616,-7.96466,-0.124178,-6.57536,-0.33799,35115.8,484.847,34061,1495.01,54.153,3977.23,177.946,45.2746,1.9691,174.615
0.2,0.2,0.2,0.2,1,0.6,-0.032902,185.636,21.1808,0.278656,20.469,0.914335,0.545708,335601,4665.23,0.997033,4582.88,8.52251,-57.7206,-6.7978,-0.135747,1.98439,-0.244382,35105.1,488.493,34078.7,1487.99,53.0037,3967.39,179.131,45.0767,1.9826,172.586
0.2,0.2,0.2,0.2,1,0.8,-0.031902,185.64,21.1798,0.278056,20.4716,0.911735,0.361435,335606,4663.94,1.01897,4581.9,8.22461,-59.7598,-6.06055,-0.133469,-1.41162,-0.231133,35108.7,485.009,34076.5,1487.13,53.6157,3972.36,177.542,44.3961,1.98736,173.224
0.2,0.2,0.2,0.2,1,1,-0.040302,185.644,21.1882,0.287656,20.4932,0.890135,0.0729289,335616,4666.89,1.07093,4590.63,7.91793,-69.8998,-7.389,-0.134418,-5.29147,-0.309249,35119,498.901,34104.2,1457.95,56.2174,3980.68,173.183,46.4111,2.00815,169.012
0.2,0.2,0.2,0.4,0.2,0.2,0.019498,185.71,21.1284,0.141456,20.3534,1.02994,1.02751,335808,4645.06,0.404637,4541.54,10.0809,18.0476,3.04583,-0.0902608,12.3571,0.239718,35045.1,256.831,33889.2,1692.52,26.7753,3936.32,199.34,20.3494,1.10495,192.478
0.2,0.2,0.2,0.4,0.2,0.4,0.033898,185.74,21.114,0.146656,20.3744,1.00894,1.65784,335874,4634.39,0.439101,4549.04,9.6193,29.2524,8.06578,-0.102439,12.7282,0.396218,35044.2,264.933,33923.2,1662.47,27.0456,3940.82,194.317,20.8929,1.11442,188.96
0.2,0.2,0.2,0.4,0.2,0.6,0.010498,185.708,21.1374,0.140856,20.3592,1.02414,0.658825,335807,4644.88,0.40133,4542.87,10.0282,5.77286,3.32203,-0.0844727,7.79855,0.134228,35058.7,253.23,33893.4,1684.2,25.8979,3941.38,198.945,20.481,1.07866,191.84
0.2,0.2,0.2,0.4,0.2,0.8,0.011898,185.713,21.136,0.140056,20.3624,1.02094,0.474389,335822,4647.42,0.424806,4541.85,9.86804,4.70211,2.14584,-0.0871337,9.00301,0.180373,35058.9,254.702,33905.5,1674.36,25.9853,3940.77,198.303,19.0876,1.05181,192.431
0.2,0.2,0.2,0.4,0.2,1,0.013698,185.73,21.1342,0.145056,20.3828,1.00054,1.15532,335872,4648.29,0.412158,4551.63,9.41121,9.42148,1.37105,-0.0828295,6.79701,0.164842,35058.2,267.128,33939,1641.86,26.9286,3948.04,193.256,20.9083,1.11344,187.767
0.2,0.2,0.2,0.4,0.4,0.2,0.027298,185.726,21.1206,0.151056,20.3706,1.01274,1.50321,335824,4641.31,0.443963,4546.79,9.62828,13.4824,4.68713,-0.0968112,12.9327,0.34375,35054.6,273.895,33921.3,1662.59,28.6456,3940.4,194.588,21.6279,1.16596,190.077
0.2,0.2,0.2,0.4,0.4,0.4,0.039298,185.743,21.1086,0.142056,20.3668,1.01654,2.11052,335899,4633.67,0.405005,4545.69,9.78177,44.7438,8.20331,-0.0913376,18.0395,0.443839,35027.9,257.341,33916.5,1673.04,26.901,3933.96,195.812,20.694,1.08377,190.552
0.2,0.2,0.2,0.4,0.4,0.6,0.031098,185.724,21.1168,0.139056,20.3528,1.03054,1.12322,335830,4640.04,0.449932,4539.44,10.1393,24.8373,5.50805,-0.0917166,14.8849,0.331955,35041.1,260.482,33899.8,1684.74,25.5267,3932.74,200.304,19.1715,1.01472,193.496
0.2,0.2,0.2,0.4,0.4,0.8,0.033698,185.738,21.1142,0.146856,20.3726,1.01074,1.60657,335878,4639.31,0.413327,4549.87,9.67632,28.8618,5.63519,-0.101114,17.1302,0.367857,35040.6,266.481,33931,1658.49,27.8258,3935.72,195.042,21.8684,1.11611,188.516
0.2,0.2,0.2,0.4,0.4,1,0.057298,185.765,21.0906,0.153856,20.3832,1.00014,4.98111,335905,4625.32,0.44996,4551.32,9.50687,45.1706,10.9414,-0.108143,20.4962,0.605823,35033.6,281.078,33947.5,1645.48,29.1454,3934.26,192.898,22.7322,1.15183,187.874
0.2,0.2,0.2,0.4,0.6,0.2,0.012098,185.705,21.1358,0.150256,20.3648,1.01854,1.41091,335793,4639.47,0.431474,4546.33,9.95004,0.363426,5.65074,-0.095559,5.48033,0.160541,35067.6,273.378,33909.9,1665.24,27.4158,3945.58,197.036,22.3589,1.14628,190.148
0.2,0.2,0.2,0.4,0.6,0.4,0.019498,185.723,21.1284,0.138656,20.3638,1.01954,0.881033,335843,4642.62,0.423497,4543.96,9.89988,12.5532,4.34053,-0.0876163,8.22219,0.240155,35054.5,256.655,33909.8,1669.71,25.7243,3942.11,197.684,19.8045,1.01889,191.359
0.2,0.2,0.2,0.4,0.6,0.6,0.014298,185.704,21.1336,0.154656,20.3654,1.01794,0.577413,335777,4644.72,0.455842,4547.1,9.89396,4.18092,3.44309,-0.0897873,7.86495,0.17422,35058.8,282.808,33909.1,1668.43,27.6845,3941.53,198.686,22.7294,1.18757,189.792
