k1,k2,o1
0.001,0.5,1358.2
0.0,0.0,0.0
0.0,0.2,0.0
0.0396,0.0,1701.8
0.0396,0.2,1681.2
0.0396,0.4,1698.4
0.0396,0.6000000000000001,1700.4
0.0396,0.8,1687.0
0.05940000000000001,0.0,1695.4
0.05940000000000001,0.2,1703.6
0.05940000000000001,0.4,1708.6
0.05940000000000001,0.6000000000000001,1705.2
0.05940000000000001,0.8,1689.2
0.0,0.4,0.0
0.0792,0.0,1701.0
0.0792,0.2,1729.4
0.0792,0.4,1709.0
0.0792,0.6000000000000001,1710.6
0.0792,0.8,1702.0
0.0,0.6000000000000001,0.0
0.0,0.8,0.0
0.0198,0.0,1703.8
0.0198,0.2,1704.0
0.0198,0.4,1693.8
0.0198,0.6000000000000001,1674.8
0.0198,0.8,1693.2
