k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.2,0.2,0.4,1.0,0.2,11.058,11.864,2.036,83.4295,89.7811,4.9486,74.6632,13.4969,13.8646
0.2,0.2,0.4,1.0,0.4,12.242,9.472,3.244,101.627,57.2437,9.267,65.1942,24.1673,17.6742
0.2,0.2,0.4,1.0,0.6,13.384,7.678,3.896,113.536,40.8881,13.0874,57.6449,31.4468,18.257
0.2,0.2,0.4,1.0,0.8,14.03,6.596,4.332,125.111,29.1631,16.2342,51.0602,37.6253,17.1645
0.2,0.2,0.4,1.0,1.0,14.562,5.68,4.716,137.674,23.5126,17.4142,46.07,40.3082,15.426
0.2,0.2,0.6,0.2,0.2,6.286,12.254,6.418,29.9321,97.0476,28.7688,44.8831,23.7179,44.6291
0.2,0.2,0.6,0.2,0.4,6.234,9.342,9.382,30.8049,58.2014,56.5933,34.8617,34.3854,49.0575
0.2,0.2,0.6,0.2,0.6,6.204,7.33,11.424,25.814,38.0412,91.7357,24.4656,39.4564,49.3869
0.2,0.2,0.6,0.2,0.8,6.15,6.264,12.544,27.8833,28.2067,102.734,22.2549,43.5615,45.8761
0.2,0.2,0.6,0.2,1.0,6.23,5.464,13.264,27.5402,21.4195,119.533,18.0594,47.5143,41.2841
0.2,0.2,0.6,0.4,0.2,7.284,13.252,4.422,36.5805,114.125,16.8216,54.2149,18.3408,34.7852
0.2,0.2,0.6,0.4,0.4,8.014,10.13,6.814,43.0439,69.2757,33.9713,46.391,31.3233,40.2447
0.2,0.2,0.6,0.4,0.6,8.392,8.272,8.294,47.0685,51.6052,44.7571,41.324,38.133,39.9319
0.2,0.2,0.6,0.4,0.8,8.69,6.826,9.442,53.8175,33.8955,56.1549,35.9039,47.3497,35.9167
0.2,0.2,0.6,0.4,1.0,8.838,6.084,10.036,46.7573,28.025,74.3594,28.9154,50.3024,37.3156
0.2,0.2,0.6,0.6,0.2,7.996,13.57,3.392,46.5331,120.903,8.80394,65.0965,13.9114,23.9765
0.2,0.2,0.6,0.6,0.4,8.984,10.63,5.344,57.2903,73.5562,21.2081,55.1704,28.3402,31.5664
0.2,0.2,0.6,0.6,0.6,9.598,8.75,6.61,57.9403,55.234,32.8316,48.1678,35.4782,34.4554
0.2,0.2,0.6,0.6,0.8,9.78,7.552,7.626,67.5226,41.3821,37.5532,43.8171,41.631,32.4273
0.2,0.2,0.6,0.6,1.0,10.372,6.258,8.328,74.6189,26.6928,49.7359,35.465,51.3848,28.7308
0.2,0.2,0.6,0.8,0.2,8.288,13.94,2.73,42.5461,134.301,7.02315,64.4943,12.2463,22.4287
0.2,0.2,0.6,0.8,0.4,9.506,11.106,4.346,64.1302,79.7944,15.1285,60.7839,24.1973,26.5965
0.2,0.2,0.6,0.8,0.6,10.19,9.194,5.574,67.5771,59.5635,23.728,52.4901,32.2194,30.9606
0.2,0.2,0.6,0.8,0.8,10.84,7.77,6.348,77.806,41.452,30.1913,48.2537,39.5949,28.5311
0.2,0.2,0.6,0.8,1.0,11.374,6.812,6.772,85.3769,34.0007,31.9239,45.0484,43.3019,27.1033
0.2,0.2,0.6,1.0,0.2,8.638,13.914,2.406,53.009,124.155,5.27572,70.7965,11.4539,17.6342
0.2,0.2,0.6,1.0,0.4,10.138,11.158,3.662,66.6883,82.9109,11.9757,64.7657,21.2932,24.2579
0.2,0.2,0.6,1.0,0.6,10.824,9.496,4.638,76.3497,61.028,17.6863,57.847,29.5895,26.1358
0.2,0.2,0.6,1.0,0.8,11.386,8.226,5.346,89.2836,43.7785,22.3269,52.4938,36.6437,24.2723
0.2,0.2,0.6,1.0,1.0,11.974,7.014,5.97,93.5765,39.4247,23.5442,50.5254,38.4982,23.808
0.2,0.2,0.8,0.2,0.2,4.836,13.296,6.826,19.957,109.96,34.156,38.5957,19.9814,50.4905
0.2,0.2,0.8,0.2,0.4,5.02,9.902,10.036,21.1339,60.9984,68.9005,27.9759,30.837,56.7751
0.2,0.2,0.8,0.2,0.6,4.882,8.068,12.008,19.4149,48.1797,89.9799,23.9439,33.9829,54.3902
0.2,0.2,0.8,0.2,0.8,4.792,6.67,13.496,18.9627,32.2015,115.633,19.0956,36.6224,51.9877
0.2,0.2,0.8,0.2,1.0,5.062,5.714,14.182,20.0903,25.3389,125.913,17.6671,41.0969,46.6694
0.2,0.2,0.8,0.4,0.2,5.906,14.172,4.88,25.3599,131.766,17.188,49.8318,16.1049,38.0107
0.2,0.2,0.8,0.4,0.4,6.464,11.222,7.272,30.9065,82.0248,38.2024,41.2435,27.0779,47.216
0.2,0.2,0.8,0.4,0.6,6.796,9.116,9.046,33.1407,55.6779,56.2564,36.6389,35.791,46.1369
0.2,0.2,0.8,0.4,0.8,7.106,7.756,10.096,35.2012,39.0666,73.9627,29.9918,42.7874,44.2098
0.2,0.2,0.8,0.4,1.0,7.038,6.886,11.034,38.2931,33.8968,78.9387,27.8019,45.652,42.086
0.2,0.2,0.8,0.6,0.2,6.542,14.884,3.532,35.6636,135.71,10.0972,58.548,13.9015,27.9196
0.2,0.2,0.8,0.6,0.4,7.33,11.854,5.774,42.7907,88.3414,23.2574,51.7657,25.5357,36.6082
0.2,0.2,0.8,0.6,0.6,7.812,9.768,7.378,41.6359,70.1064,35.4941,44.5575,31.458,41.4706
0.2,0.2,0.8,0.6,0.8,8.372,8.414,8.172,49.4605,45.3693,48.1187,39.501,41.1263,39.0028
0.2,0.2,0.8,0.6,1.0,8.678,7.136,9.144,50.6797,36.8512,56.6045,36.2122,45.3611,37.4633
0.2,0.2,0.8,0.8,0.2,6.762,15.256,2.94,32.6507,150.503,7.73988,59.6462,11.126,24.8851
0.2,0.2,0.8,0.8,0.4,8.01,12.214,4.734,45.9217,93.5994,18.2758,56.3926,23.2932,32.52
0.2,0.2,0.8,0.8,0.6,8.744,10.098,6.116,57.1127,64.1567,27.5937,50.2977,32.0017,34.3734
0.2,0.2,0.8,0.8,0.8,9.07,8.768,7.12,58.8829,54.8118,32.8353,47.6816,35.6028,34.5549
0.2,0.2,0.8,0.8,1.0,9.694,7.65,7.614,64.3491,41.9073,41.1032,42.5901,41.8315,33.0029
0.2,0.2,0.8,1.0,0.2,6.886,15.614,2.458,35.2876,151.151,6.18461,62.2485,10.4651,22.0789
0.2,0.2,0.8,1.0,0.4,8.182,12.496,4.28,48.7704,95.9739,15.5046,59.138,20.983,30.8588
0.2,0.2,0.8,1.0,0.6,9.212,10.63,5.116,56.6203,80.5542,18.211,57.4854,24.783,31.1432
0.2,0.2,0.8,1.0,0.8,9.886,9.054,6.018,69.5241,54.1434,26.4345,50.944,34.479,30.6303
0.2,0.2,0.8,1.0,1.0,10.508,7.882,6.568,73.7775,42.0161,31.3882,47.7795,40.2279,29.506
0.2,0.2,1.0,0.2,0.2,4.098,13.604,7.256,13.2389,121.073,36.6157,31.6822,16.524,57.4342
0.2,0.2,1.0,0.2,0.4,4.28,10.258,10.42,14.6749,71.1217,70.5768,26.635,24.8842,61.3984
0.2,0.2,1.0,0.2,0.6,4.278,8.162,12.518,14.153,46.6531,104.932,19.8186,29.4549,58.962
0.2,0.2,1.0,0.2,0.8,4.252,7.082,13.624,12.9825,38.9452,121.514,16.0494,29.9066,58.4277
0.2,0.2,1.0,0.2,1.0,4.28,5.902,14.776,15.0517,25.2749,140.699,14.4984,36.9005,49.1924
0.2,0.2,1.0,0.4,0.2,4.984,14.926,5.048,21.6029,135.367,19.7572,44.3235,16.103,42.3142
0.2,0.2,1.0,0.4,0.4,5.428,11.454,8.076,22.2774,85.0981,47.1886,34.9536,25.6949,53.1738
0.2,0.2,1.0,0.4,0.6,5.56,9.712,9.686,23.1848,66.49,60.0796,31.4702,30.6872,54.0697
0.2,0.2,1.0,0.4,0.8,5.79,8.3,10.868,27.6412,51.2926,73.3853,28.993,35.866,50.0858
0.2,0.2,1.0,0.4,1.0,6.212,6.966,11.78,27.1494,37.9768,91.3784,24.4581,40.169,48.225
0.2,0.2,1.0,0.6,0.2,5.49,15.626,3.842,21.8777,158.828,12.2295,48.7588,11.4583,34.4197
0.2,0.2,1.0,0.6,0.4,6.246,12.376,6.336,29.4283,102.936,27.6624,45.9414,21.7027,43.4466
0.2,0.2,1.0,0.6,0.6,6.816,10.324,7.818,33.9941,70.5842,44.6582,38.9655,31.0145,46.506
0.2,0.2,1.0,0.6,0.8,6.986,8.966,9.006,31.7693,54.9387,59.7535,33.6869,35.7696,48.417
0.2,0.2,1.0,0.6,1.0,7.364,7.844,9.75,44.1839,39.9275,60.9815,34.9487,43.3477,40.2615
0.2,0.2,1.0,0.8,0.2,5.736,16.004,3.218,24.5674,165.836,8.38324,52.0311,10.1699,29.5101
0.2,0.2,1.0,0.8,0.4,6.78,12.97,5.208,32.6609,107.071,21.7322,49.2198,21.2943,39.858
0.2,0.2,1.0,0.8,0.6,7.608,10.774,6.576,40.2548,72.4839,34.9902,46.0134,30.8154,40.411
0.2,0.2,1.0,0.8,0.8,7.912,9.614,7.432,44.0604,63.8247,37.9533,44.1944,33.1463,40.8444
0.2,0.2,1.0,0.8,1.0,8.474,8.148,8.336,50.3981,40.2386,53.2496,37.8495,42.4176,38.8941
0.2,0.2,1.0,1.0,0.2,5.906,16.356,2.696,27.1675,163.661,6.97754,56.9694,9.74692,25.4852
0.2,0.2,1.0,1.0,0.4,6.958,13.298,4.702,34.6936,118.093,15.9651,54.2751,17.9073,34.5459
0.2,0.2,1.0,1.0,0.6,7.938,11.332,5.688,44.7797,77.605,27.3093,49.704,28.2812,38.2721
0.2,0.2,1.0,1.0,0.8,8.472,9.754,6.732,48.4822,62.1818,35.7196,44.7917,34.0426,39.0782
0.2,0.2,1.0,1.0,1.0,9.192,8.384,7.382,59.7587,43.1068,42.5973,42.351,41.7161,34.3059
0.2,0.4,0.2,0.2,0.2,14.794,6.154,4.01,137.839,27.0323,14.1422,51.8755,34.6995,15.0225
0.2,0.4,0.2,0.2,0.4,14.052,5.1,5.806,121.689,19.2725,27.5675,39.9327,48.7516,18.1557
0.2,0.4,0.2,0.2,0.6,13.928,4.128,6.902,121.446,13.3503,37.6798,31.5643,56.2334,17.0687
0.2,0.4,0.2,0.2,0.8,13.326,3.722,7.91,113.803,11.3073,45.6933,28.0607,60.7929,16.8487
0.2,0.4,0.2,0.2,1.0,13.298,3.068,8.592,117.44,7.99136,49.1358,23.9877,64.8012,15.0318
0.2,0.4,0.2,0.4,0.2,16.118,6.428,2.412,167.591,29.5239,5.54935,59.0035,22.2619,8.50668
0.2,0.4,0.2,0.4,0.4,16.284,5.058,3.616,165.967,19.5578,11.3272,47.2099,34.6063,10.862
0.2,0.4,0.2,0.4,0.6,16.266,4.324,4.368,176.276,14.6363,13.7481,39.2263,39.2606,10.2873
0.2,0.4,0.2,0.4,0.8,16.172,3.67,5.116,168.191,11.0312,19.8903,33.5499,47.3307,10.6676
0.2,0.4,0.2,0.4,1.0,16.336,3.144,5.478,166.031,8.98523,24.5867,28.5207,53.0415,9.74065
0.2,0.4,0.2,0.6,0.2,17.006,6.286,1.666,181.0,30.8339,2.91628,62.872,15.0621,5.79511
0.2,0.4,0.2,0.6,0.4,17.362,4.92,2.676,186.748,20.687,6.60423,50.7244,25.6586,7.70148
0.2,0.4,0.2,0.6,0.6,17.606,4.134,3.218,201.963,13.5592,8.32713,41.0509,30.8436,7.28536
0.2,0.4,0.2,0.6,0.8,17.838,3.524,3.596,200.922,10.9313,10.3134,37.3215,35.4374,7.26222
0.2,0.4,0.2,0.6,1.0,17.714,3.054,4.19,202.593,7.88285,13.7374,30.0996,42.323,6.57489
0.2,0.4,0.2,0.8,0.2,17.376,6.34,1.242,191.706,30.4733,1.98741,64.2988,10.8647,3.85743
0.2,0.4,0.2,0.8,0.4,17.87,5.02,2.068,197.46,21.0737,4.3641,52.7381,20.7684,6.14894
0.2,0.4,0.2,0.8,0.6,18.208,4.202,2.548,203.676,14.8349,6.37645,44.9819,27.5351,6.14359
0.2,0.4,0.2,0.8,0.8,18.662,3.582,2.714,215.587,11.1335,7.72365,38.2492,29.7488,5.88422
0.2,0.4,0.2,0.8,1.0,18.764,3.142,3.052,220.658,8.92769,8.2538,34.1919,32.375,5.61785
0.2,0.4,0.2,1.0,0.2,17.51,6.342,1.106,197.938,29.2596,1.4697,64.4445,9.14423,3.18211
0.2,0.4,0.2,1.0,0.4,18.234,4.994,1.73,207.815,18.6192,3.56022,50.9473,19.8268,5.33305
0.2,0.4,0.2,1.0,0.6,18.698,4.138,2.122,224.496,14.3837,4.27166,43.5808,21.3536,4.59435
0.2,0.4,0.2,1.0,0.8,19.018,3.464,2.476,222.07,10.5538,6.31405,38.1399,28.2139,5.2817
0.2,0.4,0.2,1.0,1.0,19.432,3.002,2.524,238.627,8.74348,5.6888,33.6564,26.5888,4.32961
0.2,0.4,0.4,0.2,0.2,11.096,9.052,4.81,83.089,53.841,18.6793,55.981,31.9742,25.3446
0.2,0.4,0.4,0.2,0.4,10.444,7.108,7.406,71.3937,35.0384,41.0192,41.5351,45.2242,30.6194
0.2,0.4,0.4,0.2,0.6,10.172,5.566,9.22,68.5716,23.0878,59.7591,31.4896,53.9481,29.9574
0.2,0.4,0.4,0.2,0.8,9.968,4.86,10.13,66.2354,17.7158,70.5542,28.0276,57.3909,28.4331
0.2,0.4,0.4,0.2,1.0,9.7,4.326,10.932,67.0922,13.4747,77.8391,23.4467,63.705,24.7497
0.2,0.4,0.4,0.4,0.2,12.24,9.512,3.206,100.756,60.591,8.17992,67.8969,21.4735,16.9705
0.2,0.4,0.4,0.4,0.4,12.492,7.43,5.036,103.016,36.458,20.5638,51.4533,38.1305,21.5015
0.2,0.4,0.4,0.4,0.6,12.386,6.16,6.412,107.103,26.5675,27.3409,43.6696,45.3557,21.5732
0.2,0.4,0.4,0.4,0.8,12.266,5.428,7.264,99.7387,21.3435,38.6396,37.9701,51.3765,21.8968
0.2,0.4,0.4,0.4,1.0,12.478,4.686,7.794,99.6047,18.312,40.8212,35.2025,54.5836,21.9492
0.2,0.4,0.4,0.6,0.2,13.284,9.332,2.342,113.466,59.9296,5.51206,70.9576,18.0309,12.6618
0.2,0.4,0.4,0.6,0.4,13.434,7.664,3.86,116.759,43.462,12.2128,59.3826,28.7523,16.7525
0.2,0.4,0.4,0.6,0.6,13.66,6.39,4.908,119.984,29.6853,18.228,49.9665,38.9266,18.2624
0.2,0.4,0.4,0.6,0.8,13.882,5.688,5.388,122.93,24.664,22.2059,45.1695,43.2463,17.7886
0.2,0.4,0.4,0.6,1.0,14.024,4.92,6.014,126.204,19.5607,25.6531,40.2003,48.186,17.0091
0.2,0.4,0.4,0.8,0.2,13.336,9.664,1.958,115.791,62.7606,3.80384,75.1913,14.5953,10.1402
0.2,0.4,0.4,0.8,0.4,14.154,7.732,3.072,130.523,39.1745,8.99681,61.9432,26.1713,13.6426
0.2,0.4,0.4,0.8,0.6,14.464,6.534,3.96,131.808,32.3095,13.1808,54.4451,32.7941,15.2158
0.2,0.4,0.4,0.8,0.8,14.696,5.552,4.71,141.074,21.362,18.5751,44.4146,41.571,14.6133
0.2,0.4,0.4,0.8,1.0,15.014,4.868,5.076,143.08,18.1829,20.6555,40.7954,44.7164,14.6333
0.2,0.4,0.4,1.0,0.2,13.698,9.69,1.57,124.039,62.9558,2.96703,76.5355,11.6234,7.96463
0.2,0.4,0.4,1.0,0.4,14.35,7.982,2.626,137.142,41.4566,6.11836,64.9923,22.1412,11.6125
0.2,0.4,0.4,1.0,0.6,15.022,6.586,3.35,139.769,32.708,9.63878,58.5282,28.4151,13.1031
0.2,0.4,0.4,1.0,0.8,15.276,5.81,3.872,145.294,26.7073,12.3924,52.8622,32.857,13.1881
0.2,0.4,0.4,1.0,1.0,15.62,5.158,4.18,150.853,23.7165,13.3263,49.9299,34.3992,12.8272
0.2,0.4,0.6,0.2,0.2,8.864,10.518,5.576,52.3302,75.4646,24.1365,52.768,27.826,34.5447
0.2,0.4,0.6,0.2,0.4,8.264,8.386,8.308,43.0965,48.2535,53.3438,37.1805,39.672,41.9049
0.2,0.4,0.6,0.2,0.6,7.916,6.704,10.338,47.5721,31.4353,68.8935,31.3017,47.9563,37.8958
0.2,0.4,0.6,0.2,0.8,7.734,5.732,11.492,43.7347,21.0182,92.4148,23.7903,52.7143,36.0159
0.2,0.4,0.6,0.2,1.0,7.54,5.028,12.39,37.9563,20.6766,101.365,22.077,52.0535,36.975
0.2,0.4,0.6,0.4,0.2,10.062,11.158,3.738,64.9641,84.3337,12.0535,63.2427,21.5153,25.6707
0.2,0.4,0.6,0.4,0.4,10.12,8.69,6.148,73.7491,49.3005,27.7817,48.8449,37.2026,29.6412
0.2,0.4,0.6,0.4,0.6,10.0,7.474,7.484,63.9279,42.7348,37.4847,44.1543,41.8216,33.0547
0.2,0.4,0.6,0.4,0.8,10.052,6.288,8.618,65.6366,28.9229,55.5071,34.0231,50.2484,31.7996
0.2,0.4,0.6,0.4,1.0,10.046,5.614,9.298,66.9899,27.3196,56.0934,34.4627,50.9001,30.5401
0.2,0.4,0.6,0.6,0.2,10.586,11.42,2.952,72.5237,86.8533,8.61493,68.2243,18.419,20.4651
0.2,0.4,0.6,0.6,0.4,11.03,9.4,4.528,82.2897,58.8978,16.2738,58.6473,29.0964,24.6301
0.2,0.4,0.6,0.6,0.6,11.2,7.86,5.898,78.9098,46.9784,24.5487,52.7896,35.8882,27.2081
0.2,0.4,0.6,0.6,0.8,11.428,6.754,6.776,85.4477,33.5325,34.1421,43.5564,43.8115,27.1752
0.2,0.4,0.6,0.6,1.0,11.4,5.836,7.722,87.3547,23.1434,44.2252,35.5768,52.887,25.279
0.2,0.4,0.6,0.8,0.2,11.018,11.626,2.314,79.0959,94.3107,4.84509,73.2472,13.6316,15.0996
0.2,0.4,0.6,0.8,0.4,11.422,9.67,3.866,90.9979,61.5442,11.479,65.4522,24.1328,19.5088
0.2,0.4,0.6,0.8,0.6,12.104,8.086,4.768,93.5002,45.213,18.7637,55.6624,33.7677,22.9358
0.2,0.4,0.6,0.8,0.8,12.208,7.084,5.666,96.8184,36.049,24.1507,49.8562,39.7269,23.0121
0.2,0.4,0.6,0.8,1.0,12.418,6.398,6.142,98.0233,32.0918,27.9217,47.4185,41.8684,22.7991
0.2,0.4,0.6,1.0,0.2,11.336,11.694,1.928,79.5783,95.5835,4.50783,75.083,12.4371,13.7495
0.2,0.4,0.6,1.0,0.4,11.84,9.85,3.268,91.3491,66.0556,9.69557,65.9218,22.9989,18.6335
0.2,0.4,0.6,1.0,0.6,12.514,8.392,4.052,105.585,49.1526,12.1857,62.7961,27.0634,17.7832
0.2,0.4,0.6,1.0,0.8,13.086,7.142,4.73,108.72,39.9738,16.8348,55.0479,34.0072,19.2849
0.2,0.4,0.6,1.0,1.0,13.072,6.408,5.478,108.873,31.1759,23.757,47.8724,40.2361,21.0932
0.2,0.4,0.8,0.2,0.2,7.14,11.726,6.092,38.7218,89.9789,26.3202,49.1086,25.0512,39.4341
0.2,0.4,0.8,0.2,0.4,6.832,9.014,9.112,33.8034,55.6852,57.5746,35.4012,35.3916,46.78
0.2,0.4,0.8,0.2,0.6,6.556,7.32,11.082,29.7464,39.1399,80.9452,27.455,41.1327,47.601
0.2,0.4,0.8,0.2,0.8,6.204,6.256,12.498,28.7238,28.768,101.745,21.4707,44.7379,45.2771
0.2,0.4,0.8,0.2,1.0,6.2,5.36,13.398,27.2585,22.804,114.645,19.0541,47.6297,42.0669
0.2,0.4,0.8,0.4,0.2,8.32,12.418,4.22,45.4044,105.827,13.4906,59.6475,19.7371,29.3588
0.2,0.4,0.8,0.4,0.4,8.306,10.0,6.652,48.7178,67.8156,31.1652,48.5892,31.6899,36.976
0.2,0.4,0.8,0.4,0.6,8.388,8.278,8.292,50.294,43.9767,48.4677,39.6354,41.3434,38.7563
0.2,0.4,0.8,0.4,0.8,8.232,7.134,9.592,47.1084,36.6574,63.1759,32.6422,45.4676,39.5237
0.2,0.4,0.8,0.4,1.0,8.34,6.138,10.48,52.8581,25.9068,70.4826,30.0191,51.6461,34.8154
0.2,0.4,0.8,0.6,0.2,8.76,12.876,3.322,51.5896,105.431,10.8159,63.2087,18.0634,25.9138
0.2,0.4,0.8,0.6,0.4,9.032,10.624,5.302,57.1773,76.7642,20.1992,55.3628,26.6917,31.9795
0.2,0.4,0.8,0.6,0.6,9.38,8.832,6.746,58.2842,61.098,30.1698,48.1,34.3993,33.829
0.2,0.4,0.8,0.6,0.8,9.576,7.778,7.604,62.0163,43.5919,39.1495,43.4768,41.0121,34.2366
0.2,0.4,0.8,0.6,1.0,9.63,6.816,8.512,67.929,32.9561,47.3045,38.3586,47.5746,31.0764
0.2,0.4,0.8,0.8,0.2,8.988,13.222,2.748,55.0019,112.181,7.32314,67.662,14.5641,21.6252
0.2,0.4,0.8,0.8,0.4,10.014,10.514,4.43,71.1481,75.0399,14.6384,60.8405,24.986,24.8647
0.2,0.4,0.8,0.8,0.6,10.154,9.116,5.688,67.2408,55.4294,25.5498,53.0603,34.1724,29.7617
0.2,0.4,0.8,0.8,0.8,10.462,8.0,6.496,70.217,45.6232,31.4168,47.3567,39.3495,30.7695
0.2,0.4,0.8,0.8,1.0,10.688,7.142,7.128,77.674,37.1481,34.8613,44.2147,42.5951,29.4527
0.2,0.4,0.8,1.0,0.2,9.428,13.392,2.138,57.3195,121.962,5.07711,71.4772,10.9689,16.4789
0.2,0.4,0.8,1.0,0.4,10.23,11.174,3.554,69.4841,82.0839,11.4099,65.1022,21.3753,23.1379
0.2,0.4,0.8,1.0,0.6,10.716,9.506,4.736,75.2699,62.5751,17.0123,59.7953,28.0912,25.7892
0.2,0.4,0.8,1.0,0.8,11.094,8.368,5.496,80.8228,46.2771,24.7435,52.2359,36.6827,26.264
0.2,0.4,0.8,1.0,1.0,11.458,7.382,6.118,84.6776,39.6714,27.8518,47.1293,41.1483,26.7264
0.2,0.4,1.0,0.2,0.2,6.158,12.37,6.43,26.7345,102.378,29.8728,43.2781,22.4069,45.9268
0.2,0.4,1.0,0.2,0.4,5.814,9.5,9.644,25.3782,61.5411,60.879,32.6403,31.7032,52.8617
0.2,0.4,1.0,0.2,0.6,5.398,7.748,11.812,20.1399,40.7981,98.7261,22.0945,35.2814,53.8964
