k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12
0.00954332485782865,1.4844879346126414,8365.986181028295,1.9650676597351135,0.004406567127919193,0.05213289036544852,22975.445099329114,1.9211303547728626e-10,0.05213289036544852,22975.445099329114,1.9211303547728626e-10,0.328797342192691,22975.445099329114,9.15730898280975e-10,0.23394785709306817,43571.71101450872,0.2666830529721442
0.00487469316370507,8.30693556146528,7985.5576656667,9.278149134095324,0.004536397174569635,0.044451827242524916,12035.583785750665,3.840044618163651e-10,0.044451827242524916,12035.583785750665,3.840044618163651e-10,0.32329568106312295,12035.583785750665,3.3724779971050723e-09,0.22440165390281713,23873.561905729322,0.08067429074544434
0.007543684336495821,3.0707417148519873,5029.657406566169,1.804627328569109,0.008544448553170207,0.049448504983388715,6023.166323612149,6.757593763011267e-10,0.049448504983388715,6023.166323612149,6.757593763011267e-10,0.3270963455149502,6023.166323612149,1.3125894516937056e-08,0.23047305018604008,23430.441115915484,0.298106168519957
0.00632109245884897,5.9713597816297925,8972.318728169315,9.752029739680054,0.007533109066189764,0.04825249169435216,5360.378482276725,4.4053042066807494e-10,0.04825249169435216,5360.378482276725,4.4053042066807494e-10,0.326312292358804,5360.378482276725,1.6972782127774747e-08,0.2272284112984486,17886.380576098443,0.07254984994534824
0.009154157626393877,5.456825300471893,6643.262346856226,4.670811167155321,0.005421656093094965,0.05063122923588041,10743.59606361001,3.8541641995169847e-10,0.05063122923588041,10743.59606361001,3.8541641995169847e-10,0.3309501661129568,10743.59606361001,4.215587540322926e-09,0.23155443467966189,24607.931930538038,0.13252094555202654
0.0016781106781023803,8.105971064644436,9970.676341279112,5.045614135191752,0.006018869034532424,0.03088372093023256,10234.708777100625,3.4966633513144e-10,0.03088372093023256,10234.708777100625,3.4966633513144e-10,0.3024451827242525,10234.708777100625,4.641188510730315e-09,0.20471711852034935,25818.732907767637,0.18002255883199145
0.0020684442906994905,4.035797409803223,7081.7501643938895,9.280626742807945,0.0026767591279004276,0.035282392026578076,19588.461892523515,3.6084244646009507e-10,0.035282392026578076,19588.461892523515,3.6084244646009507e-10,0.3099800664451827,19588.461892523515,1.274640329902791e-09,0.2122964919314976,28872.48558654757,0.09791777804228625
0.004257496126165643,4.133756589246521,9231.914541529062,4.973462129907945,0.005097026474861761,0.043867109634551496,12836.403959706817,3.124655251324474e-10,0.043867109634551496,12836.403959706817,3.124655251324474e-10,0.32542192691029903,12836.403959706817,2.955161272682155e-09,0.2244479863020195,27776.998641435697,0.14115969155752575
0.0022727351417847854,7.850250948422728,8094.3178417153085,9.06126383299095,0.001161615253034772,0.034591362126245855,30640.878797287438,3.0340301316871445e-10,0.034591362126245855,30640.878797287438,3.0340301316871445e-10,0.3099269102990033,30640.878797287438,5.21472283028993e-10,0.21108032965308393,36010.151536152436,0.10093846195119041
0.0016451884963957853,6.518373735355033,6243.773433519401,7.55414984702798,0.002473131196399228,0.03047176079734219,21047.35018165516,3.580710189529607e-10,0.03047176079734219,21047.35018165516,3.580710189529607e-10,0.298485049833887,21047.35018165516,1.1036950274553414e-09,0.2030068278013442,30037.71372565493,0.12977116867133434
0.0035915137513072917,6.200171264372504,9112.778812299483,6.258849458549208,0.007262534003654408,0.04011960132890365,6532.192303560537,4.1754005798111677e-10,0.04011960132890365,6532.192303560537,4.1754005798111677e-10,0.31928239202657804,6532.192303560537,1.1400675966772378e-08,0.22118827778316041,20648.338819949975,0.123387607088375
