k1,k2,k3,k4,o1,o2,o3,o4,o5,o6
0.03,0.04,0.04,0.3,9728.9,0,8.666666667,0,-406.2413793,0
0.03,0.04,0.045,0.03,9978.833333,0,7.666666667,0,-411.8850575,0
0.03,0.04,0.045,0.1,9957.633333,0,7.566666667,0,-335.4402299,0
0.03,0.04,0.045,0.3,9954.6,0,6.8,0,-172.0482759,0
0.03,0.04,0.05,0.03,10156.13333,0,6.866666667,0,-292.2574713,0
0.03,0.04,0.05,0.1,10186.43333,0,6.4,0,-69.66206897,0
0.03,0.04,0.05,0.3,10234.6,0,6.366666667,0,-165.7793103,0
0.03,0.04,0.055,0.03,10445.03333,0,5.066666667,0,-114.8298851,0
0.03,0.04,0.055,0.1,10401.53333,0,5.8,0,-75.64827586,0
0.03,0.04,0.055,0.3,10430.4,0,6.1,0,-158.3862069,0
0.03,0.04,0.06,0.03,10520,0,6.066666667,0,-191.4482759,0
0.03,0.04,0.06,0.1,10507.36667,0,4.8,0,12.11034483,0
0.03,0.04,0.06,0.3,10505.83333,0,5.5,0,-228.637931,0
0.03,0.045,0.03,0.03,6600.8,924.4666667,248.6333333,-2448102.11,-606626.731,268049.8667
0.03,0.045,0.03,0.1,6972.1,503.3,244.6666667,-1897306.341,-867585.7586,272867.6897
0.03,0.045,0.03,0.3,7628.466667,199.3666667,206.7333333,-666867.0046,-620656.423,152537.9632
0.03,0.045,0.035,0.03,9034.6,93.8,39.9,-317193.669,-100209.5241,48133.97931
0.03,0.045,0.035,0.1,8916.766667,110.7666667,59.5,-458841.3322,-196965.6724,73247.87931
0.03,0.045,0.035,0.3,9134.933333,0.2,15.96666667,-528.3310345,-13303.2092,15.59310345
0.03,0.045,0.04,0.03,9823.966667,0,8.166666667,0,-201.9597701,0
0.03,0.045,0.04,0.1,9788.966667,0.066666667,8.6,-66.27356322,-1602.324138,0.820689655
0.03,0.045,0.04,0.3,9823,0,8.133333333,0,-674.3103448,0
0.03,0.045,0.045,0.03,10027.3,0,6.9,0,-360.6586207,0
0.03,0.045,0.045,0.1,10015.2,0,8.033333333,0,-400.3172414,0
0.03,0.045,0.045,0.3,10092.5,0,6.933333333,0,-142.2068966,0
0.03,0.045,0.05,0.03,10306.86667,0,5.766666667,0,-72.75632184,0
0.03,0.045,0.05,0.1,10183.26667,0,6.566666667,0,-305.8804598,0
0.03,0.045,0.05,0.3,10331.53333,0,5.9,0,59.15862069,0
0.03,0.045,0.055,0.03,10439.86667,0,5.933333333,0,-62.49195402,0
0.03,0.045,0.055,0.1,10460.1,0,5.433333333,0,-188.3551724,0
0.03,0.045,0.055,0.3,10467.63333,0,5.9,0,36.30689655,0
0.03,0.045,0.06,0.03,10563.56667,0,5.3,0,-165.5896552,0
0.03,0.045,0.06,0.1,10546.06667,0,5.6,0,-121.3862069,0
0.03,0.045,0.06,0.3,10582.06667,0,5.533333333,0,-76.48505747,0
0.03,0.05,0.03,0.03,7762.166667,376.0333333,108.7,-1386855.557,-338952.1897,145312.3207
0.03,0.05,0.03,0.1,7669.9,398.8333333,189.7,-1547198.431,-685116.2034,235119.4655
0.03,0.05,0.03,0.3,8856.533333,38.4,48.43333333,-163959.9448,-152322.1701,39451.06207
0.03,0.05,0.035,0.03,9514.933333,0.066666667,10.06666667,-62.89195402,-1780.547126,1.236781609
0.03,0.05,0.035,0.1,9404.966667,0,9.333333333,0,-2538.126437,0
0.03,0.05,0.035,0.3,9326.566667,0,10.23333333,0,-2755.378161,0
0.03,0.05,0.04,0.03,9944.333333,0,6.466666667,0,-556.9195402,0
0.03,0.05,0.04,0.1,9897.466667,0,7.866666667,0,-1020.590805,0
0.03,0.05,0.04,0.3,9954.333333,0,6.966666667,0,-64.40229885,0
0.03,0.05,0.045,0.03,10138.6,0,7.166666667,0,-267.3793103,0
0.03,0.05,0.045,0.1,10186.53333,0,6.633333333,0,-541.8666667,0
0.03,0.05,0.045,0.3,10336.73333,0,5.666666667,0,8.666666667,0
0.03,0.05,0.05,0.03,10336.36667,0,6.3,0,-350.7,0
0.03,0.05,0.05,0.1,10385.2,0,6.066666667,0,-20.08275862,0
0.03,0.05,0.05,0.3,10440.93333,0,5.633333333,0,-259.0942529,0
0.03,0.05,0.055,0.03,10444.7,0,5.666666667,0,-139.0344828,0
0.03,0.05,0.055,0.1,10543.36667,0,5.166666667,0,-163.5114943,0
0.03,0.05,0.055,0.3,10536,0,4.866666667,0,-369.6896552,0
0.03,0.05,0.06,0.03,10553.96667,0,5.066666667,0,-51.72183908,0
0.03,0.05,0.06,0.1,10627.7,0,4.866666667,0,-115.3517241,0
0.03,0.05,0.06,0.3,10626.5,0,4.233333333,0,35.15517241,0
0.03,0.055,0.03,0.03,8182.033333,286.5,103.9333333,-1391818.776,-433816.2736,146100.2759
0.03,0.055,0.03,0.1,8166.4,266.3333333,140.6333333,-1140977.069,-554995.331,172915.3333
0.03,0.055,0.03,0.3,8959.966667,22.1,45.56666667,-115109.7552,-174719.6011,21888.9069
0.03,0.055,0.035,0.03,9577.633333,0,9.4,0,-799.1241379,0
0.03,0.055,0.035,0.1,9723.9,0,6.933333333,0,-517.2482759,0
0.03,0.055,0.035,0.3,9746.9,0,7.733333333,0,-368.6482759,0
0.03,0.055,0.04,0.03,10052.36667,0,7.366666667,0,-516.6218391,0
0.03,0.055,0.04,0.1,9991.433333,0,7.666666667,0,-344.0229885,0
0.03,0.055,0.04,0.3,10037.33333,0,6.1,0,32.68965517,0
0.03,0.055,0.045,0.03,10249.33333,0,6.3,0,-279.4827586,0
