param1,param2,param3,output1,output2
0.03,0.02,0.05,9443.0,0.0
0.03,0.02,0.05,9564.0,0.0
0.03,0.02,0.05,9916.0,0.0
0.03,0.02,0.05,9442.0,0.0
0.03,0.02,0.05,9468.0,0.0
0.03,0.02,0.05,10354.0,0.0
0.03,0.02,0.05,8150.0,1.0
0.03,0.02,0.05,9381.0,0.0
0.03,0.02,0.05,9166.0,0.0
0.03,0.02,0.05,9869.0,0.0
0.03,0.02,0.05,9662.0,0.0
0.03,0.02,0.05,9742.0,0.0
0.03,0.02,0.05,9641.0,0.0
0.03,0.02,0.05,10064.0,0.0
0.03,0.02,0.05,9677.0,0.0
0.03,0.02,0.05,9817.0,0.0
0.03,0.02,0.05,9659.0,0.0
0.03,0.02,0.05,8734.0,0.0
0.03,0.02,0.05,9345.0,0.0
0.03,0.02,0.05,9340.0,0.0
0.03,0.02,0.05,9936.0,0.0
0.03,0.02,0.055,10158.0,0.0
0.03,0.02,0.055,10181.0,0.0
0.03,0.02,0.055,9201.0,1.0
0.03,0.02,0.055,9847.0,0.0
0.03,0.02,0.055,9990.0,0.0
0.03,0.02,0.055,10115.0,0.0
0.03,0.02,0.055,10015.0,0.0
0.03,0.02,0.055,9878.0,0.0
0.03,0.02,0.055,10016.0,0.0
0.03,0.02,0.055,9865.0,0.0
0.03,0.02,0.055,9890.0,0.0
0.03,0.02,0.055,10258.0,0.0
0.03,0.02,0.055,10515.0,0.0
0.03,0.02,0.055,10026.0,0.0
0.03,0.02,0.055,10150.0,0.0
0.03,0.02,0.055,9791.0,0.0
0.03,0.02,0.055,10074.0,0.0
0.03,0.02,0.055,10184.0,0.0
0.03,0.02,0.055,9838.0,0.0
0.03,0.02,0.055,9852.0,0.0
0.03,0.02,0.055,8489.0,3.0
0.03,0.02,0.055,9657.0,0.0
0.03,0.02,0.055,10144.0,0.0
0.03,0.02,0.055,9891.0,0.0
0.03,0.02,0.055,10012.0,0.0
0.03,0.02,0.055,9420.0,0.0
0.03,0.02,0.055,9847.0,0.0
0.03,0.02,0.055,9857.0,0.0
0.03,0.02,0.055,9462.0,0.0
0.03,0.02,0.055,9849.0,0.0
0.03,0.02,0.06,10259.0,0.0
0.03,0.02,0.06,10377.0,0.0
0.03,0.02,0.06,9912.0,0.0
0.03,0.02,0.06,10175.0,0.0
0.03,0.02,0.06,10155.0,0.0
0.03,0.02,0.06,10373.0,0.0
0.03,0.02,0.06,10453.0,0.0
0.03,0.02,0.06,10176.0,0.0
0.03,0.02,0.06,10195.0,0.0
0.03,0.02,0.06,10055.0,0.0
0.03,0.02,0.06,10348.0,0.0
0.03,0.02,0.06,10587.0,0.0
0.03,0.02,0.06,9811.0,0.0
0.03,0.02,0.06,10589.0,0.0
0.03,0.02,0.06,10872.0,0.0
0.03,0.02,0.06,10128.0,0.0
0.03,0.02,0.06,10023.0,0.0
0.03,0.02,0.06,10503.0,0.0
0.03,0.02,0.06,10809.0,0.0
0.03,0.02,0.06,10192.0,0.0
0.03,0.02,0.06,9766.0,0.0
0.03,0.02,0.06,10175.0,0.0
0.03,0.02,0.06,9898.0,0.0
0.03,0.02,0.06,10096.0,0.0
0.03,0.02,0.06,10318.0,0.0
0.03,0.02,0.06,9735.0,0.0
0.03,0.02,0.06,9975.0,0.0
0.03,0.02,0.06,9758.0,0.0
0.03,0.02,0.06,10205.0,0.0
0.03,0.02,0.06,10211.0,0.0
