k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.527762,0.549561,0.383106,0.761637,0.410807,16.1151,8.68248,3.53732,188.806,62.9791,15.7652,95.2835,43.3057,23.8761
0.237807,0.597424,0.946492,0.840371,0.687693,11.8793,9.69168,6.76392,110.899,74.6292,41.4855,79.2124,57.2984,46.2229
0.530013,0.592218,0.720189,0.551108,0.719454,12.1079,9.31448,6.91252,110.323,70.2352,45.6591,75.8969,59.7616,47.4735
0.452653,0.94227,0.417666,0.380001,0.40548,16.1197,6.81128,5.40392,180.589,40.182,36.6188,72.8707,65.1893,29.4859
0.326606,0.253558,0.683428,0.457339,0.386718,9.02892,12.2007,7.10532,63.3022,110.175,53.5345,71.1998,47.9873,63.5477
0.609768,0.546081,0.874418,0.584784,0.756587,10.8175,10.4807,7.03672,91.0335,87.2931,45.4016,77.5441,53.8977,52.9347
0.607084,0.756158,0.344882,0.561188,0.249279,17.2361,8.25568,2.84312,219.747,54.9587,11.8067,95.1601,39.1907,18.6335
0.246238,0.637962,0.59181,0.288414,0.182926,11.9367,9.89888,6.49932,98.3343,70.8793,64.7143,71.8641,58.874,48.5385
0.209655,0.268058,0.502652,0.392066,0.141512,10.0647,12.5829,5.68732,74.7521,113.677,50.078,76.5718,47.4993,52.9158
0.767418,0.680919,0.772755,0.120189,0.180692,10.7399,13.2769,4.31812,80.9646,136.252,27.4954,91.6973,34.0971,48.0903
0.313158,0.563837,0.510264,0.808713,0.311981,14.9547,9.64228,3.73792,169.109,71.8549,17.7313,96.2434,43.5636,27.0862
0.772916,0.663662,0.514514,0.242033,0.0404068,13.6535,12.5907,2.09072,129.529,127.048,10.2464,113.139,24.1919,25.4977
0.122508,0.765361,0.451933,0.809693,0.310873,16.9445,7.32628,4.06412,208.937,43.9814,22.3436,81.7904,54.2915,22.5278
0.221148,0.542233,0.333818,0.0684601,0.581665,9.78112,5.63308,12.9207,59.3867,27.4647,197.667,30.0087,68.2312,55.7417
0.0367463,0.114719,0.0838216,0.574494,0.524335,16.8519,4.20708,7.27592,215.396,18.8415,59.3963,37.1234,91.5031,20.7973
0.844378,0.298307,0.466376,0.222738,0.161632,9.69092,15.2681,3.37592,67.1757,178.715,18.3337,93.2626,25.1042,45.7617
0.49862,0.495897,0.112102,0.705804,0.769096,19.6887,4.27828,4.36792,279.875,19.9042,21.9629,60.4249,60.2225,14.7221
