CMDLINE /export/apps/opt/qiskit/0.34.2/envs/qiskit/bin/python3.10 spatial.py
MEM 13131.277344 1684769796.0885
MEM 13317.761719 1684769796.1888
MEM 13506.699219 1684769796.2891
MEM 13691.128906 1684769796.3894
MEM 13879.484375 1684769796.4897
MEM 14066.683594 1684769796.5900
MEM 14252.269531 1684769796.6903
MEM 14441.984375 1684769796.7906
MEM 14625.695312 1684769796.8909
MEM 14810.316406 1684769796.9912
MEM 14986.578125 1684769797.0914
MEM 15172.746094 1684769797.1917
MEM 15358.847656 1684769797.2920
MEM 15542.105469 1684769797.3923
MEM 15726.207031 1684769797.4926
MEM 15940.277344 1684769797.5929
MEM 16128.371094 1684769797.6932
MEM 16312.664062 1684769797.7935
MEM 16500.437500 1684769797.8938
MEM 16682.996094 1684769797.9941
MEM 16881.664062 1684769798.0944
MEM 17087.093750 1684769798.1947
MEM 17271.007812 1684769798.2950
MEM 17488.296875 1684769798.3982
MEM 17687.804688 1684769798.4985
MEM 17872.156250 1684769798.5988
MEM 18072.828125 1684769798.6991
MEM 18256.148438 1684769798.7994
MEM 18439.730469 1684769798.8997
MEM 18623.320312 1684769799.0000
MEM 18807.359375 1684769799.1003
MEM 18984.378906 1684769799.2006
MEM 19169.898438 1684769799.3009
MEM 19220.207031 1684769799.4012
MEM 19221.480469 1684769799.5015
MEM 19221.480469 1684769799.6018
MEM 19221.488281 1684769799.7021
MEM 19221.488281 1684769799.8024
MEM 19221.488281 1684769799.9027
MEM 19222.199219 1684769800.0029
MEM 19224.261719 1684769800.1032
MEM 19226.539062 1684769800.2035
MEM 19224.765625 1684769800.3039
MEM 19224.937500 1684769800.4129
MEM 19258.250000 1684769800.5139
MEM 19248.605469 1684769800.6202
MEM 19248.964844 1684769800.7209
MEM 19249.144531 1684769800.8289
MEM 19259.906250 1684769800.9350
MEM 19294.878906 1684769801.0450
MEM 19328.472656 1684769801.1520
MEM 19362.117188 1684769801.2531
MEM 19378.992188 1684769801.3570
MEM 19395.445312 1684769801.4580
MEM 19412.464844 1684769801.5681
MEM 19429.269531 1684769801.6730
MEM 19429.269531 1684769801.7740
MEM 19429.269531 1684769801.8760
MEM 19429.269531 1684769801.9771
MEM 19429.269531 1684769802.0800
MEM 19429.269531 1684769802.1810
MEM 19429.382812 1684769802.2840
MEM 19429.382812 1684769802.3849
MEM 19429.382812 1684769802.4859
MEM 19429.382812 1684769802.5890
MEM 19429.382812 1684769802.6900
MEM 19429.382812 1684769802.7902
MEM 19429.382812 1684769802.8910
MEM 19429.382812 1684769802.9920
MEM 19429.382812 1684769803.0930
MEM 19429.382812 1684769803.1960
MEM 19429.382812 1684769803.3014
MEM 19429.382812 1684769803.4072
MEM 19429.386719 1684769803.5110
MEM 19429.386719 1684769803.6540
MEM 19429.386719 1684769803.7550
MEM 19429.386719 1684769803.8623
MEM 19429.386719 1684769803.9648
MEM 19429.386719 1684769804.0650
MEM 19429.386719 1684769804.1682
MEM 19429.386719 1684769804.2689
MEM 19429.386719 1684769804.3717
MEM 19429.386719 1684769804.4730
MEM 19429.386719 1684769804.5740
MEM 19429.386719 1684769804.6750
MEM 19429.386719 1684769804.7760
MEM 19429.386719 1684769804.8770
MEM 19429.386719 1684769804.9783
MEM 19429.386719 1684769805.0790
MEM 19429.386719 1684769805.1800
MEM 19429.386719 1684769805.2810
MEM 19429.386719 1684769805.3882
MEM 19429.386719 1684769805.4890
MEM 19429.386719 1684769805.5900
MEM 19429.386719 1684769805.6910
MEM 19429.386719 1684769805.7920
MEM 19429.386719 1684769805.8950
MEM 19429.386719 1684769805.9960
MEM 19429.386719 1684769806.0970
MEM 19429.386719 1684769806.1981
MEM 19429.386719 1684769806.2990
MEM 19429.386719 1684769806.4000
MEM 19429.386719 1684769806.5010
MEM 19429.386719 1684769806.6020
MEM 19429.386719 1684769806.7031
MEM 19429.386719 1684769806.8040
MEM 19429.386719 1684769806.9042
MEM 19429.386719 1684769807.0049
MEM 19429.386719 1684769807.1099
MEM 19429.386719 1684769807.2190
MEM 19429.386719 1684769807.3229
MEM 19429.386719 1684769807.4240
MEM 19429.386719 1684769807.5259
MEM 19429.386719 1684769807.6269
MEM 19429.386719 1684769807.7329
MEM 19429.386719 1684769807.8386
MEM 19429.386719 1684769807.9401
MEM 19429.386719 1684769808.0491
MEM 19429.386719 1684769808.1599
MEM 19429.386719 1684769808.2609
MEM 19429.386719 1684769808.3641
MEM 19429.386719 1684769808.4729
MEM 19429.839844 1684769808.5731
MEM 19429.839844 1684769808.6780
MEM 19429.839844 1684769808.7810
MEM 19429.839844 1684769808.9080
MEM 19429.839844 1684769809.0128
MEM 19429.839844 1684769809.1140
MEM 19429.839844 1684769809.2150
MEM 19429.839844 1684769809.3160
MEM 19429.839844 1684769809.4180
MEM 19429.839844 1684769809.5201
MEM 19429.839844 1684769809.6260
MEM 19429.839844 1684769809.7263
MEM 19429.839844 1684769809.8310
MEM 19429.851562 1684769809.9312
MEM 19429.851562 1684769810.0314
MEM 19429.851562 1684769810.1380
MEM 19429.851562 1684769810.2419
MEM 19429.851562 1684769810.3460
MEM 19429.851562 1684769810.4510
MEM 19429.851562 1684769810.5560
MEM 19429.851562 1684769810.6610
MEM 19429.851562 1684769810.7620
MEM 19429.851562 1684769810.8630
MEM 19429.851562 1684769810.9640
MEM 19429.851562 1684769811.0650
MEM 19429.851562 1684769811.1653
MEM 19429.851562 1684769811.2660
MEM 19429.851562 1684769811.3670
MEM 19429.851562 1684769811.4721
MEM 19429.851562 1684769811.5730
MEM 19429.851562 1684769811.6739
MEM 19429.851562 1684769811.7741
MEM 19429.851562 1684769811.8770
MEM 19429.851562 1684769811.9780
MEM 19429.851562 1684769812.0790
MEM 19430.117188 1684769812.1800
MEM 19430.117188 1684769812.2810
MEM 19430.117188 1684769812.3820
MEM 19430.117188 1684769812.4830
MEM 19430.117188 1684769812.5833
MEM 19430.117188 1684769812.6840
MEM 19430.117188 1684769812.7850
MEM 19430.117188 1684769812.8860
MEM 19430.117188 1684769812.9870
MEM 19430.117188 1684769813.0880
MEM 19430.117188 1684769813.1960
MEM 19430.117188 1684769813.2970
MEM 19430.117188 1684769813.4010
MEM 19430.117188 1684769813.5020
MEM 19430.117188 1684769813.6031
MEM 19430.117188 1684769813.7040
MEM 19430.117188 1684769813.8048
MEM 19430.117188 1684769813.9059
MEM 19430.117188 1684769814.0062
MEM 19430.117188 1684769814.1132
MEM 19430.117188 1684769814.2185
MEM 19430.117188 1684769814.3190
MEM 19430.117188 1684769814.4200
MEM 19430.117188 1684769814.5210
MEM 19430.117188 1684769814.6220
MEM 19430.117188 1684769814.7230
MEM 19430.117188 1684769814.8284
MEM 19430.117188 1684769814.9288
MEM 19430.117188 1684769815.0300
MEM 19430.117188 1684769815.1310
MEM 19430.117188 1684769815.2342
MEM 19430.117188 1684769815.3350
MEM 19430.117188 1684769815.4360
MEM 19430.117188 1684769815.5460
MEM 19430.117188 1684769815.6500
MEM 19430.117188 1684769815.7510
MEM 19430.117188 1684769815.8540
MEM 19430.117188 1684769815.9550
MEM 19430.117188 1684769816.0560
MEM 19430.117188 1684769816.1570
MEM 19430.117188 1684769816.2581
MEM 19430.117188 1684769816.3590
MEM 19430.117188 1684769816.4600
MEM 19430.117188 1684769816.5610
MEM 19430.117188 1684769816.6680
MEM 19430.117188 1684769816.7790
MEM 19430.117188 1684769816.8830
MEM 19430.117188 1684769816.9841
MEM 19430.117188 1684769817.0850
MEM 19430.117188 1684769817.1940
MEM 19430.117188 1684769817.2950
MEM 19430.117188 1684769817.3960
MEM 19430.117188 1684769817.4970
MEM 19430.117188 1684769817.5980
MEM 19430.117188 1684769817.6990
MEM 19430.117188 1684769817.8000
MEM 19430.117188 1684769817.9070
MEM 19430.117188 1684769818.0151
MEM 19430.117188 1684769818.1251
MEM 19430.117188 1684769818.2360
MEM 19430.117188 1684769818.3371
MEM 19430.117188 1684769818.4440
MEM 19430.117188 1684769818.5470
MEM 19430.128906 1684769818.6560
MEM 19430.128906 1684769818.7571
MEM 19430.128906 1684769818.8580
MEM 19430.128906 1684769818.9590
MEM 19430.128906 1684769819.0600
MEM 19430.128906 1684769819.1610
MEM 19430.128906 1684769819.2620
MEM 19430.128906 1684769819.3690
MEM 19430.128906 1684769819.4700
MEM 19430.128906 1684769819.5710
MEM 19430.128906 1684769819.6720
MEM 19430.128906 1684769819.7730
MEM 19430.128906 1684769819.8740
MEM 19430.128906 1684769819.9750
MEM 19430.128906 1684769820.0760
MEM 19430.128906 1684769820.1771
MEM 19430.128906 1684769820.2880
MEM 19430.128906 1684769820.3890
MEM 19430.128906 1684769820.4900
MEM 19430.128906 1684769820.5910
MEM 19430.128906 1684769820.6920
MEM 19430.128906 1684769820.7930
MEM 19430.128906 1684769820.8940
MEM 19430.128906 1684769820.9950
MEM 19430.128906 1684769821.0960
MEM 19430.128906 1684769821.2000
MEM 19430.128906 1684769821.3010
MEM 19430.128906 1684769821.4021
MEM 19430.128906 1684769821.5030
MEM 19430.128906 1684769821.6072
MEM 19430.128906 1684769821.7080
MEM 19430.128906 1684769821.8090
MEM 19430.128906 1684769821.9191
MEM 19430.128906 1684769822.0200
MEM 19430.128906 1684769822.1210
MEM 19430.128906 1684769822.2220
MEM 19430.128906 1684769822.3230
MEM 19430.128906 1684769822.4240
MEM 19430.128906 1684769822.5250
MEM 19430.128906 1684769822.6260
MEM 19430.128906 1684769822.7270
MEM 19430.128906 1684769822.8280
MEM 19430.128906 1684769822.9290
MEM 19430.128906 1684769823.0350
MEM 19430.128906 1684769823.1360
MEM 19430.128906 1684769823.2370
MEM 19430.128906 1684769823.3380
MEM 19430.128906 1684769823.4390
MEM 19430.128906 1684769823.5400
MEM 19430.128906 1684769823.6410
MEM 19430.128906 1684769823.7420
MEM 19430.128906 1684769823.8430
MEM 19430.128906 1684769823.9440
MEM 19430.128906 1684769824.0450
MEM 19430.128906 1684769824.1480
MEM 19430.128906 1684769824.2570
MEM 19430.128906 1684769824.3578
MEM 19430.128906 1684769824.4590
MEM 19430.128906 1684769824.5960
MEM 19430.128906 1684769824.7060
MEM 19430.128906 1684769824.8160
MEM 19430.128906 1684769824.9170
MEM 19430.128906 1684769825.0180
MEM 19430.128906 1684769825.1190
MEM 19430.128906 1684769825.2200
MEM 19430.128906 1684769825.3210
MEM 19430.128906 1684769825.4220
MEM 19430.128906 1684769825.5290
MEM 19430.128906 1684769825.6320
MEM 19430.128906 1684769825.7330
MEM 19430.128906 1684769825.8340
MEM 19430.128906 1684769825.9380
MEM 19430.128906 1684769826.0390
MEM 19430.128906 1684769826.1400
MEM 19430.128906 1684769826.2411
MEM 19430.128906 1684769826.3420
MEM 19430.128906 1684769826.4430
MEM 19430.128906 1684769826.5440
MEM 19430.128906 1684769826.6450
MEM 19430.128906 1684769826.7460
MEM 19430.128906 1684769826.8470
MEM 19430.128906 1684769826.9480
MEM 19430.128906 1684769827.0490
MEM 19430.128906 1684769827.1494
MEM 19430.128906 1684769827.2501
MEM 19430.128906 1684769827.3510
MEM 19430.128906 1684769827.4570
MEM 19430.128906 1684769827.5580
MEM 19430.128906 1684769827.6661
MEM 19430.128906 1684769827.7670
MEM 19430.128906 1684769827.8690
MEM 19430.128906 1684769827.9694
MEM 19430.128906 1684769828.0700
MEM 19430.128906 1684769828.1710
MEM 19430.128906 1684769828.2720
MEM 19430.128906 1684769828.3730
MEM 19430.128906 1684769828.4740
MEM 19430.128906 1684769828.5750
MEM 19430.128906 1684769828.6760
MEM 19430.128906 1684769828.7870
MEM 19430.128906 1684769828.8921
MEM 19430.128906 1684769828.9930
MEM 19430.128906 1684769829.0940
MEM 19430.128906 1684769829.1950
MEM 19430.128906 1684769829.2960
MEM 19430.128906 1684769829.3970
MEM 19430.128906 1684769829.4980
MEM 19430.128906 1684769829.5990
MEM 19430.128906 1684769829.7000
MEM 19430.128906 1684769829.8211
MEM 19430.128906 1684769829.9221
MEM 19430.128906 1684769830.0233
MEM 19430.128906 1684769830.1240
MEM 19430.128906 1684769830.2250
MEM 19430.128906 1684769830.3260
MEM 19430.128906 1684769830.4271
MEM 19430.128906 1684769830.5280
MEM 19430.128906 1684769830.6290
MEM 19430.128906 1684769830.7300
MEM 19430.128906 1684769830.8310
MEM 19430.128906 1684769830.9320
MEM 19430.128906 1684769831.0330
MEM 19430.128906 1684769831.1340
MEM 19430.128906 1684769831.2350
MEM 19430.128906 1684769831.3360
MEM 19430.128906 1684769831.4370
MEM 19430.128906 1684769831.5420
MEM 19430.128906 1684769831.6428
MEM 19430.128906 1684769831.7440
MEM 19430.128906 1684769831.8450
MEM 19430.128906 1684769831.9460
MEM 19430.128906 1684769832.0550
MEM 19430.128906 1684769832.1560
MEM 19430.128906 1684769832.2570
MEM 19430.128906 1684769832.3580
MEM 19430.128906 1684769832.4590
MEM 19430.128906 1684769832.5600
MEM 19430.132812 1684769832.6610
MEM 19430.132812 1684769832.7620
MEM 19430.132812 1684769832.8630
MEM 19430.132812 1684769832.9640
MEM 19430.132812 1684769833.0650
MEM 19430.132812 1684769833.1656
MEM 19430.132812 1684769833.2691
MEM 19430.132812 1684769833.3700
MEM 19430.132812 1684769833.4710
MEM 19430.132812 1684769833.5720
MEM 19430.132812 1684769833.6724
MEM 19430.132812 1684769833.7810
MEM 19430.132812 1684769833.8820
MEM 19430.132812 1684769833.9831
MEM 19430.132812 1684769834.0840
MEM 19430.132812 1684769834.1851
MEM 19430.132812 1684769834.2860
MEM 19430.132812 1684769834.3870
MEM 19430.132812 1684769834.4888
MEM 19430.132812 1684769834.5900
MEM 19430.132812 1684769834.6910
MEM 19430.132812 1684769834.7920
MEM 19430.132812 1684769834.8930
MEM 19430.132812 1684769835.0050
MEM 19430.132812 1684769835.1060
MEM 19430.132812 1684769835.2070
MEM 19430.132812 1684769835.3081
MEM 19430.132812 1684769835.4091
MEM 19430.132812 1684769835.5100
MEM 19430.132812 1684769835.6105
MEM 19430.132812 1684769835.7110
MEM 19430.132812 1684769835.8120
MEM 19430.132812 1684769835.9130
MEM 19430.132812 1684769836.0144
MEM 19430.132812 1684769836.1147
MEM 19430.132812 1684769836.2149
MEM 19430.132812 1684769836.3161
MEM 19430.132812 1684769836.4171
MEM 19430.132812 1684769836.5181
MEM 19430.132812 1684769836.6191
MEM 19430.132812 1684769836.7201
MEM 19430.132812 1684769836.8206
MEM 19430.132812 1684769836.9221
MEM 19430.132812 1684769837.0232
MEM 19430.132812 1684769837.1241
MEM 19430.132812 1684769837.2251
MEM 19430.132812 1684769837.3261
MEM 19430.132812 1684769837.4271
MEM 19430.132812 1684769837.5281
MEM 19430.132812 1684769837.6291
MEM 19430.132812 1684769837.7302
MEM 19430.132812 1684769837.8311
MEM 19430.132812 1684769837.9321
MEM 19430.132812 1684769838.0326
MEM 19430.132812 1684769838.1330
MEM 19430.132812 1684769838.2341
MEM 19430.132812 1684769838.3350
MEM 19430.132812 1684769838.4362
MEM 19430.132812 1684769838.5396
MEM 19430.132812 1684769838.6399
MEM 19430.132812 1684769838.7409
MEM 19430.132812 1684769838.8460
MEM 19430.132812 1684769838.9489
MEM 19430.132812 1684769839.0500
MEM 19430.132812 1684769839.1511
MEM 19430.132812 1684769839.2580
MEM 19430.132812 1684769839.3590
MEM 19430.132812 1684769839.4603
MEM 19430.132812 1684769839.5611
MEM 19430.132812 1684769839.6620
MEM 19430.132812 1684769839.7672
MEM 19430.132812 1684769839.8780
MEM 19430.132812 1684769839.9790
MEM 19430.132812 1684769840.0830
MEM 19430.132812 1684769840.1983
MEM 19430.132812 1684769840.3041
MEM 19430.132812 1684769840.4150
MEM 19430.132812 1684769840.5161
MEM 19430.132812 1684769840.6170
MEM 19430.132812 1684769840.7180
MEM 19430.132812 1684769840.8200
MEM 19430.132812 1684769840.9210
MEM 19430.132812 1684769841.0220
MEM 19430.132812 1684769841.1230
MEM 19430.132812 1684769841.2240
MEM 19430.132812 1684769841.3250
MEM 19430.132812 1684769841.4270
MEM 19430.132812 1684769841.5273
MEM 19430.132812 1684769841.6340
MEM 19430.132812 1684769841.7350
MEM 19430.132812 1684769841.8354
MEM 19430.132812 1684769841.9360
MEM 19430.132812 1684769842.0370
MEM 19430.132812 1684769842.1380
MEM 19430.132812 1684769842.2470
MEM 19430.132812 1684769842.3570
MEM 19430.132812 1684769842.4621
MEM 19430.132812 1684769842.5630
MEM 19430.132812 1684769842.6637
MEM 19430.132812 1684769842.7650
MEM 19430.132812 1684769842.8660
MEM 19430.132812 1684769842.9760
MEM 19430.132812 1684769843.0860
MEM 19430.132812 1684769843.1920
MEM 19430.132812 1684769843.2956
MEM 19430.132812 1684769843.3960
MEM 19430.132812 1684769843.4970
MEM 19430.132812 1684769843.5980
MEM 19430.132812 1684769843.6990
MEM 19430.132812 1684769843.7994
MEM 19430.132812 1684769843.9000
MEM 19430.132812 1684769844.0010
MEM 19430.132812 1684769844.1020
MEM 19430.132812 1684769844.2090
MEM 19430.132812 1684769844.3100
MEM 19430.132812 1684769844.4110
MEM 19430.132812 1684769844.5120
MEM 19430.132812 1684769844.6130
MEM 19430.132812 1684769844.7140
MEM 19430.132812 1684769844.8150
MEM 19430.132812 1684769844.9160
MEM 19430.132812 1684769845.0170
MEM 19430.132812 1684769845.1260
MEM 19430.132812 1684769845.2392
MEM 19430.132812 1684769845.3451
MEM 19430.132812 1684769845.5089
MEM 19430.132812 1684769845.6101
MEM 19430.132812 1684769845.7110
MEM 19430.132812 1684769845.8120
MEM 19430.132812 1684769845.9220
MEM 19430.132812 1684769846.0231
MEM 19430.132812 1684769846.1240
MEM 19430.132812 1684769846.2250
MEM 19430.132812 1684769846.3260
MEM 19430.132812 1684769846.4270
MEM 19430.132812 1684769846.5310
MEM 19430.132812 1684769846.6320
MEM 19430.132812 1684769846.7361
MEM 19430.132812 1684769846.8370
MEM 19430.132812 1684769846.9430
MEM 19430.132812 1684769847.0453
MEM 19430.132812 1684769847.1460
MEM 19430.132812 1684769847.2470
MEM 19430.132812 1684769847.3480
MEM 19430.132812 1684769847.4490
MEM 19430.132812 1684769847.5499
MEM 19430.132812 1684769847.6509
MEM 19430.132812 1684769847.7519
MEM 19430.132812 1684769847.8530
MEM 19430.132812 1684769847.9539
MEM 19430.132812 1684769848.0549
MEM 19430.132812 1684769848.1559
MEM 19430.132812 1684769848.2570
MEM 19430.132812 1684769848.3579
MEM 19430.132812 1684769848.4589
MEM 19430.132812 1684769848.5599
MEM 19430.132812 1684769848.6610
MEM 19430.132812 1684769848.7619
MEM 19430.132812 1684769848.8623
MEM 19430.132812 1684769848.9630
MEM 19430.132812 1684769849.0640
MEM 19430.132812 1684769849.1649
MEM 19430.132812 1684769849.2659
MEM 19430.132812 1684769849.3669
MEM 19430.132812 1684769849.4679
MEM 19430.132812 1684769849.5689
MEM 19430.132812 1684769849.6699
MEM 19430.132812 1684769849.7709
MEM 19430.132812 1684769849.8720
MEM 19430.132812 1684769849.9729
MEM 19430.132812 1684769850.0739
MEM 19430.132812 1684769850.1749
MEM 19430.132812 1684769850.2760
MEM 19430.132812 1684769850.3769
MEM 19430.132812 1684769850.4779
MEM 19430.132812 1684769850.5790
MEM 19430.132812 1684769850.6832
MEM 19430.132812 1684769850.7840
MEM 19430.132812 1684769850.8900
MEM 19430.132812 1684769850.9910
MEM 19430.132812 1684769851.0920
MEM 19430.132812 1684769851.1930
MEM 19430.132812 1684769851.2940
MEM 19430.132812 1684769851.4010
MEM 19430.132812 1684769851.5020
MEM 19430.132812 1684769851.6031
MEM 19430.132812 1684769851.7040
MEM 19430.132812 1684769851.8062
MEM 19430.132812 1684769851.9070
MEM 19430.132812 1684769852.0080
MEM 19430.132812 1684769852.1090
MEM 19430.132812 1684769852.2100
MEM 19430.132812 1684769852.3110
MEM 19430.132812 1684769852.4121
MEM 19430.132812 1684769852.5200
MEM 19430.132812 1684769852.6250
MEM 19430.132812 1684769852.7260
MEM 19430.132812 1684769852.8270
MEM 19430.132812 1684769852.9290
MEM 19430.132812 1684769853.0301
MEM 19430.132812 1684769853.1310
MEM 19430.132812 1684769853.2330
MEM 19430.132812 1684769853.3374
MEM 19430.132812 1684769853.4380
MEM 19430.132812 1684769853.5390
MEM 19430.132812 1684769853.6400
MEM 19430.132812 1684769853.7460
MEM 19430.132812 1684769853.8470
MEM 19430.132812 1684769853.9480
MEM 19430.132812 1684769854.0490
MEM 19430.132812 1684769854.1500
MEM 19430.132812 1684769854.2508
MEM 19430.132812 1684769854.3530
MEM 19430.132812 1684769854.4540
MEM 19430.132812 1684769854.5547
MEM 19430.132812 1684769854.6560
MEM 19430.132812 1684769854.7570
