CMDLINE /usr/bin/python3 mem.py
MEM 6.722656 1684774242.0698
MEM 22.632812 1684774242.1701
MEM 38.539062 1684774242.2704
MEM 82.121094 1684774242.3707
MEM 133.835938 1684774242.4710
MEM 186.234375 1684774242.5714
MEM 236.046875 1684774242.6717
MEM 281.820312 1684774242.7721
MEM 331.300781 1684774242.8725
MEM 385.691406 1684774242.9728
MEM 442.191406 1684774243.0731
MEM 512.519531 1684774243.1736
MEM 576.144531 1684774243.2739
MEM 643.960938 1684774243.3744
MEM 707.824219 1684774243.4748
MEM 772.460938 1684774243.5755
MEM 736.371094 1684774243.6764
MEM 339.773438 1684774243.7769
MEM 40.667969 1684774243.8774
