CMDLINE /export/apps/opt/qiskit/0.34.2/envs/qiskit/bin/python3.10 spatial.py
MEM 0.031250 1684777182.1846
MEM 16.066406 1684777182.2849
MEM 21.406250 1684777182.3851
MEM 27.089844 1684777182.4854
MEM 33.722656 1684777182.5856
MEM 37.847656 1684777182.6859
MEM 47.195312 1684777182.7862
MEM 55.011719 1684777182.8864
MEM 63.425781 1684777182.9866
MEM 66.191406 1684777183.0869
MEM 68.253906 1684777183.1872
MEM 68.769531 1684777183.2875
MEM 74.136719 1684777183.3878
MEM 75.164062 1684777183.4881
MEM 75.679688 1684777183.5884
MEM 75.937500 1684777183.6887
MEM 76.746094 1684777183.7889
MEM 82.339844 1684777183.8892
MEM 88.949219 1684777183.9895
MEM 94.363281 1684777184.0898
MEM 130.269531 1684777184.1901
MEM 142.546875 1684777184.2904
MEM 149.820312 1684777184.3907
MEM 158.511719 1684777184.4910
MEM 180.007812 1684777184.5912
MEM 197.210938 1684777184.6915
MEM 200.660156 1684777184.7918
MEM 204.140625 1684777184.8921
MEM 205.210938 1684777184.9924
MEM 209.648438 1684777185.0927
MEM 211.437500 1684777185.1930
MEM 213.480469 1684777185.2933
MEM 217.328125 1684777185.3936
MEM 220.707031 1684777185.4939
MEM 223.316406 1684777185.5943
MEM 225.375000 1684777185.6945
MEM 229.390625 1684777185.7948
MEM 232.058594 1684777185.8951
MEM 234.371094 1684777185.9954
MEM 236.945312 1684777186.0957
MEM 263.222656 1684777186.1961
MEM 343.320312 1684777186.2965
MEM 343.320312 1684777186.3972
MEM 359.687500 1684777186.4977
MEM 460.281250 1684777186.5983
MEM 563.378906 1684777186.6991
MEM 667.769531 1684777186.7997
MEM 768.683594 1684777186.9003
MEM 867.792969 1684777187.0008
MEM 969.414062 1684777187.1014
MEM 1070.328125 1684777187.2020
MEM 1161.195312 1684777187.3055
MEM 1262.281250 1684777187.4061
MEM 1364.734375 1684777187.5066
MEM 1469.968750 1684777187.6071
MEM 1566.386719 1684777187.7077
MEM 1669.285156 1684777187.8083
MEM 1776.480469 1684777187.9089
MEM 1880.539062 1684777188.0095
MEM 1987.476562 1684777188.1101
MEM 2094.128906 1684777188.2107
MEM 2196.628906 1684777188.3113
MEM 2304.917969 1684777188.4119
MEM 2405.144531 1684777188.5124
MEM 2512.917969 1684777188.6130
MEM 2617.335938 1684777188.7136
MEM 2714.976562 1684777188.8142
MEM 2821.804688 1684777188.9148
MEM 2953.058594 1684777189.0154
MEM 3089.406250 1684777189.1156
MEM 3230.171875 1684777189.2160
MEM 3369.761719 1684777189.3163
MEM 3515.878906 1684777189.4166
MEM 3672.468750 1684777189.5170
MEM 3831.632812 1684777189.6173
MEM 4002.261719 1684777189.7177
MEM 4178.242188 1684777189.8182
MEM 4357.382812 1684777189.9186
MEM 4541.820312 1684777190.0190
MEM 4755.277344 1684777190.1195
MEM 4951.101562 1684777190.2198
MEM 5158.136719 1684777190.3203
MEM 5342.757812 1684777190.4208
MEM 5561.726562 1684777190.5212
MEM 5777.281250 1684777190.6217
MEM 5971.953125 1684777190.7220
MEM 6178.031250 1684777190.8224
MEM 6370.128906 1684777190.9230
MEM 6578.917969 1684777191.0234
MEM 6785.195312 1684777191.1238
MEM 6993.429688 1684777191.2243
MEM 7204.277344 1684777191.3247
MEM 7405.457031 1684777191.4250
MEM 7623.652344 1684777191.5255
MEM 7838.105469 1684777191.6260
MEM 8039.742188 1684777191.7263
MEM 8263.277344 1684777191.8269
MEM 8476.632812 1684777191.9274
MEM 8682.062500 1684777192.0278
MEM 8899.351562 1684777192.1283
MEM 9088.613281 1684777192.2288
MEM 9283.812500 1684777192.3294
MEM 9508.976562 1684777192.4306
MEM 9700.625000 1684777192.5309
MEM 9892.066406 1684777192.6313
MEM 10108.195312 1684777192.7317
MEM 10318.207031 1684777192.8321
MEM 10520.351562 1684777192.9325
MEM 10735.710938 1684777193.0328
MEM 10944.824219 1684777193.1333
MEM 11143.816406 1684777193.2338
MEM 11361.554688 1684777193.3341
MEM 11553.460938 1684777193.4346
MEM 11739.382812 1684777193.5351
MEM 11936.875000 1684777193.6355
