CMDLINE /export/apps/opt/qiskit/0.34.2/envs/qiskit/bin/python3.10 spatial.py
MEM 0.031250 1684771469.0730
MEM 14.207031 1684771469.1732
MEM 21.609375 1684771469.2735
MEM 27.246094 1684771469.3738
MEM 34.429688 1684771469.4742
MEM 38.554688 1684771469.5745
MEM 42.945312 1684771469.6747
MEM 46.808594 1684771469.7750
MEM 48.472656 1684771469.8752
MEM 53.351562 1684771469.9755
MEM 61.808594 1684771470.0758
MEM 62.324219 1684771470.1761
MEM 64.386719 1684771470.2763
MEM 65.191406 1684771470.3766
MEM 70.531250 1684771470.4769
MEM 71.558594 1684771470.5772
MEM 71.816406 1684771470.6775
MEM 72.332031 1684771470.7778
MEM 72.945312 1684771470.8781
MEM 78.066406 1684771470.9784
MEM 80.437500 1684771471.0787
MEM 83.285156 1684771471.1789
MEM 85.886719 1684771471.2792
MEM 88.402344 1684771471.3795
MEM 90.375000 1684771471.4798
MEM 122.031250 1684771471.5801
MEM 136.886719 1684771471.6804
MEM 145.125000 1684771471.7807
MEM 153.851562 1684771471.8810
MEM 174.210938 1684771471.9813
MEM 192.601562 1684771472.0815
MEM 194.738281 1684771472.1818
MEM 195.679688 1684771472.2821
MEM 196.367188 1684771472.3824
MEM 197.718750 1684771472.4827
MEM 198.640625 1684771472.5830
MEM 199.574219 1684771472.6833
MEM 200.664062 1684771472.7836
MEM 201.339844 1684771472.8839
MEM 201.906250 1684771472.9842
MEM 202.667969 1684771473.0845
MEM 205.171875 1684771473.1848
MEM 206.187500 1684771473.2851
MEM 206.957031 1684771473.3854
MEM 207.726562 1684771473.4857
MEM 207.984375 1684771473.5860
MEM 209.773438 1684771473.6862
MEM 212.945312 1684771473.7865
MEM 213.718750 1684771473.8868
MEM 216.832031 1684771473.9871
MEM 217.867188 1684771474.0874
MEM 218.656250 1684771474.1896
MEM 218.914062 1684771474.2899
MEM 219.425781 1684771474.3901
MEM 220.195312 1684771474.4906
MEM 221.226562 1684771474.5909
MEM 222.000000 1684771474.6912
MEM 224.511719 1684771474.7915
MEM 225.378906 1684771474.8917
MEM 227.312500 1684771474.9920
MEM 227.820312 1684771475.0923
MEM 228.066406 1684771475.1926
MEM 228.238281 1684771475.2929
MEM 228.691406 1684771475.3933
MEM 229.019531 1684771475.4936
MEM 229.847656 1684771475.5939
MEM 231.007812 1684771475.6942
MEM 231.582031 1684771475.7945
MEM 232.003906 1684771475.8948
MEM 232.363281 1684771475.9951
MEM 232.566406 1684771476.0953
MEM 232.980469 1684771476.1956
MEM 233.136719 1684771476.2959
MEM 233.652344 1684771476.3962
MEM 233.851562 1684771476.4965
MEM 236.695312 1684771476.5968
MEM 237.058594 1684771476.6971
MEM 339.613281 1684771476.7974
MEM 339.613281 1684771476.8977
MEM 393.964844 1684771476.9980
MEM 522.714844 1684771477.0982
MEM 656.621094 1684771477.1985
MEM 790.718750 1684771477.2988
MEM 923.984375 1684771477.3991
MEM 1059.371094 1684771477.4994
MEM 1190.765625 1684771477.5997
MEM 1325.187500 1684771477.7000
MEM 1459.160156 1684771477.8003
MEM 1594.164062 1684771477.9006
MEM 1729.875000 1684771478.0009
MEM 1866.742188 1684771478.1011
MEM 2001.355469 1684771478.2014
MEM 2149.757812 1684771478.3017
MEM 2297.261719 1684771478.4020
MEM 2451.527344 1684771478.5023
MEM 2608.695312 1684771478.6026
MEM 2775.851562 1684771478.7029
MEM 2926.671875 1684771478.8032
MEM 3102.125000 1684771478.9035
MEM 3281.839844 1684771479.0037
MEM 3477.437500 1684771479.1040
MEM 3677.707031 1684771479.2043
MEM 3904.316406 1684771479.3068
MEM 4091.125000 1684771479.4071
MEM 4296.945312 1684771479.5076
MEM 4504.636719 1684771479.6079
MEM 4713.742188 1684771479.7082
MEM 4900.035156 1684771479.8085
MEM 5097.996094 1684771479.9088
MEM 5288.675781 1684771480.0091
MEM 5474.000000 1684771480.1094
MEM 5659.195312 1684771480.2096
MEM 5844.394531 1684771480.3099
MEM 6035.203125 1684771480.4102
MEM 6249.332031 1684771480.5107
MEM 6433.953125 1684771480.6110
MEM 6618.125000 1684771480.7113
MEM 6800.492188 1684771480.8115
MEM 6979.468750 1684771480.9118
MEM 7192.441406 1684771481.0121
MEM 7385.949219 1684771481.1124
MEM 7581.324219 1684771481.2127
MEM 7792.875000 1684771481.3130
MEM 7978.917969 1684771481.4133
MEM 8167.339844 1684771481.5136
MEM 8360.394531 1684771481.6139
MEM 8577.617188 1684771481.7141
MEM 8762.238281 1684771481.8144
MEM 8952.789062 1684771481.9147
MEM 9146.367188 1684771482.0150
MEM 9355.539062 1684771482.1153
MEM 9546.730469 1684771482.2156
MEM 9730.386719 1684771482.3159
MEM 9921.835938 1684771482.4162
MEM 10104.910156 1684771482.5165
MEM 10293.398438 1684771482.6168
MEM 10498.187500 1684771482.7171
MEM 10698.210938 1684771482.8174
MEM 10890.246094 1684771482.9176
MEM 11065.933594 1684771483.0179
MEM 11268.988281 1684771483.1182
MEM 11471.968750 1684771483.2185
MEM 11659.101562 1684771483.3188
MEM 11848.554688 1684771483.4191
MEM 12038.648438 1684771483.5194
MEM 12225.585938 1684771483.6197
MEM 12243.777344 1684771483.7200
MEM 12287.109375 1684771483.8203
MEM 12477.269531 1684771483.9206
MEM 12669.234375 1684771484.0209
MEM 12857.722656 1684771484.1212
MEM 13045.113281 1684771484.2214
MEM 13231.281250 1684771484.3217
MEM 13451.539062 1684771484.4238
MEM 13644.535156 1684771484.5241
MEM 13834.113281 1684771484.6244
MEM 14019.507812 1684771484.7247
MEM 14208.187500 1684771484.8250
MEM 14395.960938 1684771484.9253
MEM 14585.992188 1684771485.0256
MEM 14771.316406 1684771485.1259
MEM 14947.910156 1684771485.2261
MEM 15146.574219 1684771485.3264
MEM 15352.269531 1684771485.4267
MEM 15539.792969 1684771485.5272
MEM 15748.382812 1684771485.6275
MEM 15940.863281 1684771485.7278
MEM 16132.121094 1684771485.8281
MEM 16346.773438 1684771485.9284
MEM 16533.257812 1684771486.0287
MEM 16733.148438 1684771486.1290
MEM 16933.105469 1684771486.2293
MEM 17117.277344 1684771486.3296
MEM 17300.933594 1684771486.4299
MEM 17484.714844 1684771486.5301
MEM 17670.433594 1684771486.6304
MEM 17883.605469 1684771486.7307
MEM 18068.292969 1684771486.8310
