"k1", "k2", "C1", "C2", "g",cost
0.01124,19.32782,6901.45623,11.06214,0.00009,114679.71938
0.00001,12.04718,10646.63597,6.67656,0.00118,803059.12036
0.01057,13.85389,5679.43727,2.54164,0.00274,281239.07209
0.00601,4.71749,14187.77794,15.40922,0.00411,0.00000
0.00358,15.85495,4410.26203,6.09968,0.00057,23051.15291
