CMDLINE /export/apps/opt/qiskit/0.34.2/envs/qiskit/bin/python3.10 spatial.py
MEM 0.539062 1684772705.7799
MEM 14.414062 1684772705.8802
MEM 21.792969 1684772705.9804
MEM 27.183594 1684772706.0807
MEM 34.093750 1684772706.1810
MEM 37.960938 1684772706.2813
MEM 40.503906 1684772706.3816
MEM 44.222656 1684772706.4819
MEM 47.832031 1684772706.5821
MEM 49.351562 1684772706.6824
MEM 53.078125 1684772706.7827
MEM 62.914062 1684772706.8830
MEM 64.187500 1684772706.9832
MEM 66.250000 1684772707.0835
MEM 66.765625 1684772707.1838
MEM 70.402344 1684772707.2841
MEM 71.687500 1684772707.3844
MEM 71.945312 1684772707.4847
MEM 72.460938 1684772707.5850
MEM 73.058594 1684772707.6853
MEM 79.093750 1684772707.7856
MEM 86.085938 1684772707.8859
MEM 90.039062 1684772707.9862
MEM 110.218750 1684772708.0865
MEM 132.468750 1684772708.1868
MEM 141.906250 1684772708.2871
MEM 149.558594 1684772708.3873
MEM 158.402344 1684772708.4876
MEM 185.011719 1684772708.5879
MEM 191.160156 1684772708.6882
MEM 192.812500 1684772708.7885
MEM 194.843750 1684772708.8888
MEM 196.234375 1684772708.9891
MEM 197.921875 1684772709.0894
MEM 198.742188 1684772709.1897
MEM 199.453125 1684772709.2900
MEM 200.265625 1684772709.3903
MEM 201.226562 1684772709.4905
MEM 201.488281 1684772709.5908
MEM 202.488281 1684772709.6911
MEM 203.234375 1684772709.7914
MEM 208.488281 1684772709.8917
MEM 209.242188 1684772709.9920
MEM 210.000000 1684772710.0923
MEM 213.003906 1684772710.1926
MEM 214.507812 1684772710.2929
MEM 217.035156 1684772710.3932
MEM 219.390625 1684772710.4935
MEM 222.378906 1684772710.5937
MEM 223.148438 1684772710.6939
MEM 224.179688 1684772710.7942
MEM 224.953125 1684772710.8962
MEM 227.574219 1684772710.9965
MEM 228.082031 1684772711.0968
MEM 228.566406 1684772711.1971
MEM 228.812500 1684772711.2974
MEM 229.039062 1684772711.3977
MEM 229.238281 1684772711.4980
MEM 230.542969 1684772711.5983
MEM 231.332031 1684772711.6986
MEM 232.132812 1684772711.7989
MEM 232.746094 1684772711.8992
MEM 233.179688 1684772711.9995
MEM 233.546875 1684772712.0998
MEM 233.761719 1684772712.2001
MEM 234.160156 1684772712.3003
MEM 236.843750 1684772712.4006
MEM 288.476562 1684772712.5009
MEM 339.339844 1684772712.6012
MEM 339.339844 1684772712.7015
MEM 397.273438 1684772712.8018
MEM 518.355469 1684772712.9021
MEM 656.257812 1684772713.0024
MEM 789.453125 1684772713.1027
MEM 923.359375 1684772713.2030
MEM 1056.355469 1684772713.3033
MEM 1189.488281 1684772713.4036
MEM 1324.425781 1684772713.5039
MEM 1458.589844 1684772713.6042
MEM 1592.820312 1684772713.7045
MEM 1715.222656 1684772713.8047
MEM 1849.585938 1684772713.9050
MEM 1984.371094 1684772714.0053
MEM 2130.117188 1684772714.1056
MEM 2279.308594 1684772714.2059
MEM 2434.535156 1684772714.3062
MEM 2592.585938 1684772714.4065
MEM 2754.238281 1684772714.5068
MEM 2923.617188 1684772714.6071
MEM 3098.941406 1684772714.7074
MEM 3278.781250 1684772714.8077
MEM 3454.195312 1684772714.9080
MEM 3635.265625 1684772715.0083
MEM 3819.437500 1684772715.1086
MEM 3995.425781 1684772715.2089
MEM 4160.812500 1684772715.3092
MEM 4344.843750 1684772715.4095
MEM 4528.949219 1684772715.5098
MEM 4712.863281 1684772715.6101
MEM 4904.832031 1684772715.7104
MEM 5114.000000 1684772715.8106
MEM 5296.882812 1684772715.9109
MEM 5495.550781 1684772716.0121
MEM 5714.386719 1684772716.1124
MEM 5898.750000 1684772716.2127
MEM 6115.714844 1684772716.3130
MEM 6300.660156 1684772716.4133
MEM 6491.335938 1684772716.5136
MEM 6674.925781 1684772716.6139
MEM 6866.242188 1684772716.7142
MEM 7041.046875 1684772716.8145
MEM 7229.718750 1684772716.9148
MEM 7416.910156 1684772717.0151
MEM 7612.605469 1684772717.1154
MEM 7797.218750 1684772717.2157
MEM 7983.578125 1684772717.3161
MEM 8167.234375 1684772717.4164
MEM 8352.886719 1684772717.5166
MEM 8536.542969 1684772717.6169
MEM 8720.644531 1684772717.7173
MEM 8911.062500 1684772717.8176
MEM 9097.164062 1684772717.9179
MEM 9284.554688 1684772718.0182
MEM 9471.753906 1684772718.1185
MEM 9646.421875 1684772718.2189
MEM 9831.753906 1684772718.3191
MEM 10021.843750 1684772718.4194
MEM 10205.882812 1684772718.5197
MEM 10397.523438 1684772718.6201
MEM 10579.949219 1684772718.7204
MEM 10765.019531 1684772718.8207
MEM 10955.246094 1684772718.9210
MEM 11139.542969 1684772719.0212
MEM 11330.152344 1684772719.1215
MEM 11515.929688 1684772719.2218
MEM 11705.835938 1684772719.3221
MEM 11891.675781 1684772719.4224
MEM 12077.652344 1684772719.5227
MEM 12243.500000 1684772719.6230
MEM 12243.500000 1684772719.7233
MEM 12310.203125 1684772719.8236
MEM 12501.257812 1684772719.9239
MEM 12685.417969 1684772720.0242
MEM 12869.589844 1684772720.1245
MEM 13054.660156 1684772720.2249
MEM 13244.304688 1684772720.3254
MEM 13444.968750 1684772720.4256
MEM 13649.882812 1684772720.5260
MEM 13836.308594 1684772720.6264
MEM 14019.707031 1684772720.7266
MEM 14205.941406 1684772720.8269
MEM 14394.937500 1684772720.9272
MEM 14575.625000 1684772721.0275
MEM 14797.027344 1684772721.1311
MEM 14982.828125 1684772721.2314
MEM 15166.675781 1684772721.3317
MEM 15373.847656 1684772721.4322
MEM 15564.585938 1684772721.5325
MEM 15748.171875 1684772721.6328
MEM 15932.019531 1684772721.7333
MEM 16116.179688 1684772721.8336
MEM 16325.921875 1684772721.9341
MEM 16515.375000 1684772722.0345
MEM 16699.804688 1684772722.1348
MEM 16908.394531 1684772722.2352
MEM 17100.683594 1684772722.3355
MEM 17283.949219 1684772722.4359
MEM 17467.406250 1684772722.5363
MEM 17642.402344 1684772722.6366
MEM 17826.441406 1684772722.7371
MEM 18009.964844 1684772722.8374
MEM 18190.527344 1684772722.9377
MEM 18373.074219 1684772723.0382
MEM 18556.722656 1684772723.1385
MEM 18738.957031 1684772723.2390
MEM 18919.128906 1684772723.3394
MEM 19103.359375 1684772723.4397
MEM 19207.960938 1684772723.5400
MEM 19209.296875 1684772723.6403
MEM 19209.296875 1684772723.7406
MEM 19209.867188 1684772723.8409
MEM 19209.867188 1684772723.9412
MEM 19209.867188 1684772724.0414
MEM 19209.871094 1684772724.1417
MEM 19211.328125 1684772724.2420
MEM 19213.648438 1684772724.3423
MEM 19211.847656 1684772724.4426
MEM 19214.128906 1684772724.5429
MEM 19214.128906 1684772724.6432
MEM 19214.128906 1684772724.7435
MEM 19231.964844 1684772724.8438
MEM 19232.167969 1684772724.9441
MEM 19232.167969 1684772725.0444
MEM 19232.167969 1684772725.1447
MEM 19233.183594 1684772725.2450
MEM 19247.496094 1684772725.3453
MEM 19232.308594 1684772725.4456
MEM 19232.308594 1684772725.5459
MEM 19232.308594 1684772725.6461
MEM 19232.308594 1684772725.7464
MEM 19247.437500 1684772725.8467
MEM 19247.437500 1684772725.9470
MEM 19247.437500 1684772726.0473
MEM 19247.437500 1684772726.1476
MEM 19262.503906 1684772726.2512
MEM 19262.503906 1684772726.3515
MEM 19262.503906 1684772726.4517
MEM 19262.503906 1684772726.5520
MEM 19262.941406 1684772726.6529
MEM 19273.105469 1684772726.7581
MEM 19321.511719 1684772726.8636
MEM 19327.296875 1684772726.9649
MEM 19337.835938 1684772727.0654
MEM 19337.835938 1684772727.1656
MEM 19371.441406 1684772727.2658
MEM 19346.570312 1684772727.3714
MEM 19385.980469 1684772727.4720
MEM 19414.753906 1684772727.5731
MEM 19448.875000 1684772727.6741
MEM 19482.441406 1684772727.7787
MEM 19499.109375 1684772727.8800
MEM 19549.269531 1684772727.9862
MEM 19582.718750 1684772728.0913
MEM 19582.718750 1684772728.1949
MEM 19616.250000 1684772728.2952
MEM 19650.203125 1684772728.3961
MEM 19751.195312 1684772728.5010
MEM 19751.195312 1684772728.6064
MEM 19751.195312 1684772728.7093
MEM 19751.363281 1684772728.8151
MEM 19751.363281 1684772728.9157
MEM 19784.261719 1684772729.0225
MEM 19784.484375 1684772729.1287
MEM 19818.234375 1684772729.2301
MEM 19918.730469 1684772729.3311
MEM 20003.152344 1684772729.4422
MEM 20003.152344 1684772729.5508
MEM 20036.378906 1684772729.6542
