0.05,0.4,0.95,0.4,0.4,0.4,11.7544,20.1884,9.2974,157.467,0.4256,20.8562,1993.24,22032.9,917.837,266684,92.1301,4550.76,11.3027,852.183,19284.2,-0.746422,2035.08,2300.56,10924.7,536.414,4766.86,12295.7,54.2705,2022.07,-20.8291,27674.8,127.496
0.05,0.4,1,0.4,0.4,0.4,12.2862,16.598,8.7656,161.52,0.3566,20.9252,2091.89,16944.8,814.563,275609,73.5153,4589.59,38.3429,854.494,20150.4,-0.560971,2151.21,1845.37,9757.71,429.863,4045.03,11951.6,47.019,1913.01,-15.7661,28585.7,117.386
0.1,0.4,0.05,0.4,0.4,0.4,0.0572,184.161,20.9946,0.032,18.6602,2.6216,0.0999481,330724,4590.54,0.0417844,3950.92,73.8844,87.4793,12.4002,0.0223741,9.60236,1.52935,34447.7,50.2549,30792.2,4304.86,6.68851,3527,572.539,3.98547,0.838076,436.538
0.1,0.4,0.1,0.4,0.4,0.4,0.0626,181.476,20.9892,0.1288,16.0664,5.2154,0.104302,322078,4589.19,2.73076,3155.25,288.474,92.7882,13.0729,0.100557,8.32011,3.30478,33847.6,185.69,26196.8,8383.84,31.802,2958,1141.04,8.53015,8.12528,727.078
0.1,0.4,0.15,0.4,0.4,0.4,0.0696,178.225,20.9822,0.771,13.4506,7.8312,0.161988,312222,4583.3,186.419,2475.68,642.608,94.7059,15.9904,3.07035,7.38191,5.84352,33083.7,781.498,21615.5,12389.3,226.433,2391.51,1705.94,3.70633,73.5417,889.798
0.1,0.4,0.2,0.4,0.4,0.4,0.1466,172.597,20.9052,4.031,11.0056,10.2762,8.69365,297194,4540.56,2317.56,1921.25,1091.38,102.875,33.0959,62.3475,5.81194,15.6882,31605.2,3418.61,17489.8,15674.5,1149.19,1879.2,2209.97,-23.8463,448.262,942.625
0.1,0.4,0.25,0.4,0.4,0.4,0.31,163.367,20.7418,11.4012,8.9826,12.2992,30.0819,275811,4452.32,9621.36,1527.95,1554.74,89.3996,66.5229,253.854,3.82316,36.73,29143.6,7453.2,14173.4,17665,3071.54,1465.14,2604.98,-78.5957,1419.55,907.597
0.1,0.4,0.3,0.4,0.4,0.4,0.7896,151.464,20.2622,21.891,7.0898,14.192,108.112,249966,4208.93,22454.3,1179.41,2039.23,29.1868,149.202,981.501,0.550004,100.846,26173.5,11622.5,11078.6,18933.9,5181.24,1114.72,2894.56,-126.255,2937.49,839.621
0.1,0.4,0.35,0.4,0.4,0.4,1.4068,136.773,19.645,35.7822,5.673,15.6088,219.489,221127,3920.79,42162.1,934.792,2453.08,-51.0925,237.584,1921.3,-3.02838,196.418,22772,14822.9,8826.81,18895.8,7668.3,863.611,3053.67,-169.345,5033.21,755.002
0.1,0.4,0.4,0.4,0.4,0.4,2.417,121.382,18.6348,50.9584,4.4478,16.834,377.481,192289,3493.1,66308.5,717.796,2851.26,-149.201,372.432,3646.99,-6.3264,347.757,19449.6,16835.1,6856.61,18303.8,9445.6,656.535,3112.71,-193.395,7459.93,664.414
0.1,0.4,0.45,0.4,0.4,0.4,3.3684,106.939,17.6834,65.471,3.5666,17.7152,556.851,166023,3144.95,90997.5,589.309,3164.87,-215.402,456.823,5197.18,-7.41542,501.475,16558.2,17652.3,5429.87,17283.8,10971.8,512.636,3103.98,-197.339,9842.19,571.85
0.1,0.4,0.5,0.4,0.4,0.4,4.4988,92.0124,16.553,80.6762,2.7144,18.5674,733.961,139587,2754.63,117839,447.642,3488.49,-270.865,563.426,7080.69,-8.91092,688.499,13766.6,17944.8,4095.26,15954.9,12085.5,380.615,3050.47,-179.065,12440.4,480.876
0.1,0.4,0.55,0.4,0.4,0.4,5.513,79.4284,15.5388,93.7582,2.1982,19.0836,918.5,117536,2434.88,141935,361.696,3703.91,-287.168,631.03,8815.45,-8.70662,864.894,11518.3,17781.9,3272.36,14447.9,12787.5,300.445,2954.04,-165.781,14782.9,416.138
0.1,0.4,0.6,0.4,0.4,0.4,6.4374,67.1048,14.6144,106.475,1.6674,19.6144,1073.26,96629.4,2164.01,165388,288.988,3935.34,-290.971,689.086,10422.4,-7.8723,1024.25,9437.87,17262.2,2438.76,12904.1,13399.9,221.826,2872.47,-139.71,17142.3,336.775
0.1,0.4,0.65,0.4,0.4,0.4,7.3648,56.0142,13.687,118.231,1.4054,19.8764,1237.94,79351.6,1917.12,188324,250.598,4044.72,-271.445,730.193,12006.1,-7.58401,1188.05,7610,15606.4,2059.89,11067.3,13797,188.27,2741.94,-127.534,19436,301.279
