,k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27
13,0.6,0.4,0.8,0.4,0.4,0.4,0.1972,20.1476,3.6724,12.8388,0.1992,3.9138,38.4332,28421.3,739.707,13005.0,31.8875,847.055,3.76725,24.5883,257.298,0.0325243,28.5957,3248.28,8129.06,247.241,4051.94,2748.52,23.1467,729.667,5.36758,2229.69,42.3636
14,0.6,0.4,1.0,0.4,0.4,0.4,0.8192,14.9312,3.0504,18.577,0.099,4.014,159.194,19438.4,514.697,23391.1,16.0936,896.872,-5.26529,76.7131,1319.77,0.150529,135.808,2247.23,8294.35,112.501,3131.86,2856.81,10.8234,634.66,6.15691,3358.24,25.3519
15,0.8,0.4,0.2,0.4,0.4,0.4,0.0012,34.7044,3.8684,0.1624,2.2756,1.8374,0.00159888,63653.9,826.85,17.5655,398.849,185.899,1.78951,0.232804,0.0208093,0.222314,0.105816,6517.13,212.508,3879.15,3120.97,45.3122,392.132,388.982,3.19868,16.6733,189.461
16,0.8,0.4,0.4,0.4,0.4,0.4,0.014,31.2398,3.8556,2.3738,1.0096,3.1034,0.63033,53340.8,819.221,924.622,154.774,514.349,3.23989,3.73297,11.0104,0.047075,1.36703,5701.81,2763.56,1591.63,4789.02,612.974,152.959,627.069,4.4343,349.726,147.273
17,0.8,0.4,0.6,0.4,0.4,0.4,0.0916,26.097,3.778,7.019,0.4344,3.6786,19.8972,40338.4,785.792,4955.45,64.5626,733.47,1.75987,10.8141,105.613,0.0706231,10.4513,4527.94,6411.62,625.434,4805.36,1625.53,58.3947,712.525,4.29801,1154.16,82.8184
18,0.8,0.4,0.8,0.4,0.4,0.4,0.1986,20.1298,3.671,12.846,0.1872,3.9258,36.8157,28581.4,737.353,13158.1,29.1108,851.929,4.22927,26.5741,261.455,0.00622332,28.8451,3236.99,7972.03,242.091,4054.28,2753.94,21.5467,731.044,3.25028,2231.01,41.3148
19,0.8,0.4,1.0,0.4,0.4,0.4,0.8236,14.9004,3.046,18.6126,0.0994,4.0136,157.418,19366.0,508.72,23496.9,14.0447,895.813,-6.68051,80.5896,1333.31,0.324199,138.582,2241.74,8288.26,106.839,3128.58,2852.78,11.1565,631.379,8.58743,3367.2,26.906
20,1.0,0.4,0.2,0.4,0.4,0.4,0.0022,34.711,3.8674,0.1544,2.2732,1.8398,0.0021956,63738.0,826.316,18.1518,397.78,186.452,3.54895,0.499392,0.0168637,0.168033,0.240401,6517.37,188.628,3894.97,3105.11,43.1623,391.761,389.273,3.48672,15.6913,189.719
21,1.0,0.4,0.4,0.4,0.4,0.4,0.0088,31.2478,3.8608,2.3576,1.0066,3.1064,0.289981,53409.5,822.0,904.528,154.558,511.332,1.07183,2.51373,7.19889,0.00874367,0.813426,5704.27,2751.29,1609.72,4769.82,615.809,153.874,626.746,4.02364,352.059,148.89
22,1.0,0.4,0.6,0.4,0.4,0.4,0.0826,26.0444,3.787,7.059,0.4308,3.6822,16.8363,40228.2,788.403,4940.8,62.937,732.077,0.278988,11.0392,94.7437,-0.0157872,9.31671,4525.52,6454.17,615.557,4810.54,1637.81,58.8245,713.316,4.26083,1157.56,84.3278
23,1.0,0.4,0.8,0.4,0.4,0.4,0.2108,20.0026,3.6588,12.9736,0.1754,3.9376,41.6739,28354.3,730.595,13335.1,27.2245,855.434,-0.644077,27.5242,296.742,0.0274312,31.2808,3222.24,8011.44,226.296,4044.97,2743.39,20.8428,729.291,4.50193,2254.62,40.5058
24,1.0,0.4,1.0,0.4,0.4,0.4,0.8268,14.8888,3.0428,18.6184,0.0904,4.0226,161.98,19423.6,511.903,23555.1,13.0808,902.294,-8.95225,76.717,1334.7,-0.0707569,140.135,2236.55,8218.85,102.134,3125.77,2857.76,9.76508,631.613,4.06571,3376.67,24.1474
