k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6
0.2,0.2,0.2,0.6,0.2,0.6,0.0062,35.3652,3.8634,0.0604,2.8294,1.2836
0.2,0.2,0.2,0.6,0.2,0.8,0.0034,35.7266,3.8662,0.018,3.1512,0.9618
0.2,0.2,0.2,0.6,0.2,1,0.004,35.9402,3.8656,0.011,3.3572,0.7558
0.2,0.2,0.2,0.6,0.4,0.2,0.0066,32.974,3.863,0.8434,1.2208,2.8922
0.2,0.2,0.2,0.6,0.4,0.4,0.0026,34.7086,3.867,0.1448,2.2608,1.8522
0.2,0.2,0.2,0.6,0.4,0.6,0.0056,35.38,3.864,0.0542,2.8386,1.2744
0.2,0.2,0.2,0.6,0.4,0.8,0.004,35.704,3.8656,0.0288,3.1388,0.9742
0.2,0.2,0.2,0.6,0.4,1,0.005,35.9254,3.8646,0.0136,3.344,0.769
0.2,0.2,0.2,0.6,0.6,0.2,0.0038,32.959,3.8658,0.867,1.2322,2.8808
0.2,0.2,0.2,0.6,0.6,0.4,0.0052,34.7388,3.8644,0.1666,2.3102,1.8028
0.2,0.2,0.2,0.6,0.6,0.6,0.0062,35.3558,3.8634,0.068,2.8276,1.2854
0.2,0.2,0.2,0.6,0.6,0.8,0.0042,35.7242,3.8654,0.0228,3.1528,0.9602
0.2,0.2,0.2,0.6,0.6,1,0.006,35.9214,3.8636,0.016,3.3414,0.7716
0.2,0.2,0.2,0.6,0.8,0.2,0.0042,32.9488,3.8654,0.8952,1.2498,2.8632
0.2,0.2,0.2,0.6,0.8,0.4,0.004,34.6506,3.8656,0.1748,2.2314,1.8816
0.2,0.2,0.2,0.6,0.8,0.6,0.0058,35.3658,3.8638,0.0596,2.8296,1.2834
0.2,0.2,0.2,0.6,0.8,0.8,0.0034,35.7256,3.8662,0.0254,3.1576,0.9554
0.2,0.2,0.2,0.6,0.8,1,0.0048,35.9224,3.8648,0.0194,3.347,0.766
0.2,0.2,0.2,0.6,1,0.2,0.0042,32.9574,3.8654,0.8956,1.2588,2.8542
0.2,0.2,0.2,0.6,1,0.4,0.0064,34.707,3.8632,0.177,2.2876,1.8254
0.2,0.2,0.2,0.6,1,0.6,0.0056,35.3382,3.864,0.0884,2.831,1.282
0.2,0.2,0.2,0.6,1,0.8,0.0046,35.7194,3.865,0.0292,3.154,0.959
0.2,0.2,0.2,0.6,1,1,0.005,35.9276,3.8646,0.0202,3.3528,0.7602
0.2,0.2,0.2,0.8,0.2,0.2,0.006,33.0094,3.8636,0.7876,1.201,2.912
0.2,0.2,0.2,0.8,0.2,0.4,0.004,34.6578,3.8656,0.1486,2.2124,1.9006
0.2,0.2,0.2,0.8,0.2,0.6,0.0034,35.38,3.8662,0.0398,2.8264,1.2866
0.2,0.2,0.2,0.8,0.2,0.8,0.004,35.7358,3.8656,0.0166,3.1584,0.9546
0.2,0.2,0.2,0.8,0.2,1,0.0034,35.9052,3.8662,0.0084,3.3202,0.7928
0.2,0.2,0.2,0.8,0.4,0.2,0.0058,32.9518,3.8638,0.8546,1.2106,2.9024
0.2,0.2,0.2,0.8,0.4,0.4,0.0054,34.7208,3.8642,0.1414,2.2668,1.8462
0.2,0.2,0.2,0.8,0.4,0.6,0.0044,35.4146,3.8652,0.036,2.8562,1.2568
0.2,0.2,0.2,0.8,0.4,0.8,0.0046,35.7084,3.865,0.0216,3.1354,0.9776
0.2,0.2,0.2,0.8,0.4,1,0.006,35.933,3.8636,0.0098,3.3468,0.7662
0.2,0.2,0.2,0.8,0.6,0.2,0.0066,32.924,3.863,0.877,1.2044,2.9086
0.2,0.2,0.2,0.8,0.6,0.4,0.0044,34.743,3.8652,0.1418,2.2904,1.8226
