k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.2,0.2,0.4,0.8,1,14.677,5.866,6.2934,182.818,32.7338,37.9665,67.2394,73.2524,29.0111
0.2,0.2,0.4,1,0.2,12.3646,12.2454,2.2264,140.057,123.549,6.44003,116.811,22.9124,21.5155
0.2,0.2,0.4,1,0.4,13.5292,9.8356,3.4716,158.213,84.7735,13.3175,103.343,37.5663,27.2012
0.2,0.2,0.4,1,0.6,14.3994,8.1554,4.2816,181.951,58.8838,18.26,92.0169,47.9133,26.7846
0.2,0.2,0.4,1,0.8,15.0788,6.9424,4.8152,192.55,42.9461,24.9432,80.1282,59.2412,26.6731
0.2,0.2,0.4,1,1,15.5834,6.0064,5.2466,208.009,34.7429,26.1314,74.3839,63.1338,24.3025
0.2,0.2,0.6,0.2,0.2,6.6274,12.528,7.681,37.3844,123.488,73.762,58.3462,42.5132,78.0852
0.2,0.2,0.6,0.2,0.4,6.6236,9.8774,10.3354,38.8693,78.2164,111.493,46.3753,55.4431,80.1544
0.2,0.2,0.6,0.2,0.6,6.6598,8.0304,12.1462,38.5862,56.1655,140.408,39.1382,62.4878,77.0564
0.2,0.2,0.6,0.2,0.8,6.6986,6.6546,13.4832,38.7183,39.3504,169.054,32.2237,69.4269,71.0503
0.2,0.2,0.6,0.2,1,6.66,5.793,14.3834,38.8374,29.018,193.167,27.4545,74.7113,63.5853
0.2,0.2,0.6,0.4,0.2,8.1498,13.3344,5.3522,60.253,143.254,33.7789,81.2984,38.0837,58.2369
0.2,0.2,0.6,0.4,0.4,8.5486,10.6498,7.638,65.5215,97.0554,56.7207,69.597,52.7323,64.2839
0.2,0.2,0.6,0.4,0.6,8.8422,8.787,9.2072,69.6964,66.6762,79.6666,59.2288,65.3146,63.6991
0.2,0.2,0.6,0.4,0.8,9.0632,7.4614,10.3118,73.7964,48.239,98.161,51.2163,75.368,59.5797
0.2,0.2,0.6,0.4,1,9.2702,6.4846,11.0816,76.2384,37.7281,111.556,45.6354,82.0396,55.826
0.2,0.2,0.6,0.6,0.2,8.9398,13.8962,4.0004,72.031,157.897,19.5107,94.314,30.9644,46.2643
0.2,0.2,0.6,0.6,0.4,9.7056,11.2178,5.913,86.7403,101.718,36.5455,82.7683,48.6053,52.3864
0.2,0.2,0.6,0.6,0.6,10.2344,9.2972,7.3048,91.709,75.0735,51.4702,73.0852,59.8519,54.1987
0.2,0.2,0.6,0.6,0.8,10.68,7.9352,8.2212,100.515,55.8194,63.0369,65.2855,70.1446,51.1462
0.2,0.2,0.6,0.6,1,10.9998,6.9346,8.902,104.872,44.7877,71.7367,59.819,76.9018,48.8434
0.2,0.2,0.6,0.8,0.2,9.4736,14.2188,3.144,84.8167,166.178,11.2979,105.419,24.6979,34.9989
0.2,0.2,0.6,0.8,0.4,10.4864,11.527,4.823,99.8614,115.023,22.3869,95.6922,39.4038,42.5302
0.2,0.2,0.6,0.8,0.6,11.1552,9.6754,6.0058,114.129,78.8498,34.3186,84.0864,54.0443,44.4828
0.2,0.2,0.6,0.8,0.8,11.668,8.3754,6.793,118.421,64.1305,42.9095,76.9108,62.0159,44.6048
0.2,0.2,0.6,0.8,1,12.1518,7.2344,7.4502,130.839,48.1191,49.8571,69.5751,70.897,41.3823
0.2,0.2,0.6,1,0.2,9.8686,14.4156,2.5522,91.6425,169.939,7.85965,112.096,20.7685,28.6768
0.2,0.2,0.6,1,0.4,11.0146,11.789,4.0328,105.054,122.624,16.7107,102.22,34.5706,37.2774
0.2,0.2,0.6,1,0.6,11.8602,9.9292,5.047,122.719,86.8804,25.1346,92.415,47.0636,39.4164
0.2,0.2,0.6,1,0.8,12.4354,8.574,5.827,136.563,65.7109,31.7278,84.483,56.387,38.3912
0.2,0.2,0.6,1,1,13.0126,7.5038,6.32,148.717,50.9678,37.2623,76.508,64.6123,36.6681
0.2,0.2,0.8,0.2,0.2,5.3476,13.4744,8.0144,26.7045,139.173,76.7631,51.6024,36.9234,86.4161
0.2,0.2,0.8,0.2,0.4,5.4104,10.6274,10.7986,27.7039,90.4355,117.26,41.7143,47.6822,89.166
0.2,0.2,0.8,0.2,0.6,5.4024,8.7412,12.6928,27.5976,62.5555,151.765,34.4118,55.1598,85.7314
0.2,0.2,0.8,0.2,0.8,5.375,7.2558,14.2056,27.0698,45.7595,183.209,28.8134,60.1449,79.2845
0.2,0.2,0.8,0.2,1,5.4332,6.182,15.2212,27.1562,33.7712,209.715,24.365,64.3917,72.184
0.2,0.2,0.8,0.4,0.2,6.6256,14.5024,5.7084,42.8556,166.068,37.0184,73.284,33.3451,66.6622
0.2,0.2,0.8,0.4,0.4,7.033,11.681,8.1224,47.7863,109.041,65.5125,62.8117,48.4298,73.8506
0.2,0.2,0.8,0.4,0.6,7.3134,9.654,9.869,49.4491,80.6944,89.0669,54.3087,57.583,74.7652
0.2,0.2,0.8,0.4,0.8,7.547,8.2178,11.0716,51.6973,58.0776,113.416,46.8284,67.075,70.7632
0.2,0.2,0.8,0.4,1,7.6846,7.2014,11.9504,51.2698,48.4597,128.127,42.4354,70.993,68.9054
0.2,0.2,0.8,0.6,0.2,7.3348,15.2224,4.2792,52.5288,183.937,21.2411,86.5885,27.8095,53.0105
0.2,0.2,0.8,0.6,0.4,8.079,12.3406,6.4168,59.6351,127.989,40.9321,76.9871,42.2055,62.7916
0.2,0.2,0.8,0.6,0.6,8.619,10.3058,7.9116,65.7418,94.3103,58.2402,69.3024,53.4158,64.3977
0.2,0.2,0.8,0.6,0.8,8.9696,8.8916,8.9752,74.8336,69.9402,70.8732,63.4984,63.3441,61.596
0.2,0.2,0.8,0.6,1,9.2602,7.7314,9.8448,75.6932,55.498,85.8971,56.1663,71.4755,60.0761
0.2,0.2,0.8,0.8,0.2,7.7572,15.6868,3.3924,56.3819,202.914,13.3179,94.5645,22.0387,43.3518
0.2,0.2,0.8,0.8,0.4,8.6746,12.9196,5.2422,67.8623,143.872,27.1574,87.6756,35.8418,53.2987
0.2,0.2,0.8,0.8,0.6,9.4138,10.8484,6.5742,80.8443,103.003,39.3204,81.1934,48.4125,55.0723
0.2,0.2,0.8,0.8,0.8,9.9218,9.3344,7.5802,88.1633,77.3805,52.7217,72.8201,58.9654,55.3438
0.2,0.2,0.8,0.8,1,10.3228,8.1696,8.344,97.1316,59.4023,61.7456,66.5352,68.175,52.4121
0.2,0.2,0.8,1,0.2,8.0252,16.02,2.7912,60.4951,211.546,9.55991,100.538,18.7382,36.1854
0.2,0.2,0.8,1,0.4,9.2102,13.2206,4.4056,77.2119,147.145,20.2855,95.1595,32.6753,46.1061
