k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27
0.2,0.4,0.2,0.4,0.4,0.2,0.0066,32.9184,3.863,0.8974,1.2192,2.8938,0.0101585,57890.2,824.509,156.897,194.765,446.654,9.38462,1.39898,0.561589,0.223598,0.931887,6112.32,1217.75,1962.38,4693.7,240.668,189.639,590.647,2.84466,129.478,161.125
0.2,0.4,0.2,0.4,0.4,0.4,0.0084,34.659,3.8612,0.1698,2.2304,1.8826,0.0107316,63545.1,823.569,17.356,396.618,196.198,13.1645,1.86894,0.147603,0.837232,0.891965,6495.14,218.306,3818.29,3175.48,47.0736,381.146,398.567,3.35595,17.9933,185.427
0.2,0.4,0.2,0.4,0.4,0.6,0.008,35.3498,3.8616,0.0692,2.821,1.292,0.0119384,65845.6,823.857,7.13824,529.812,92.6793,12.7107,1.72405,0.128072,0.822797,0.556975,6647.89,77.4675,4890.3,2234.82,19.153,505.655,274.407,2.71953,5.29965,170.589
0.2,0.4,0.2,0.4,0.4,0.8,0.0072,35.6782,3.8624,0.0378,3.1188,0.9942,0.00874991,66943,824.356,1.05258,617.141,55.6593,11.9101,1.47609,0.0237326,1.08456,0.380118,6720.15,53.232,5456.67,1733.64,9.84057,567.692,212.285,2.60583,2.47471,145.435
0.2,0.4,0.2,0.4,0.4,1,0.009,35.9218,3.8606,0.0238,3.3466,0.7664,0.0145219,67761.6,823.539,0.0940524,685.642,32.5359,14.1089,1.88203,0.0183895,1.29094,0.373577,6773.21,38.69,5883.15,1354.54,5.4196,617.899,161.878,2.66148,1.05957,122.746
0.2,0.4,0.4,0.4,0.4,0.2,0.0404,27.2366,3.8292,5.6934,0.2996,3.8134,3.22101,42226.2,806.642,2931.28,40.82,793.639,13.563,8.72725,32.063,0.147326,4.76509,4830.11,6210.51,397.484,5180.19,1347.09,39.0594,737.47,4.58898,959.431,64.6054
0.2,0.4,0.4,0.4,0.4,0.4,0.021,31.325,3.8486,2.2978,1.0118,3.1012,0.75671,53583.3,816.112,871.523,157.392,513.519,12.3022,5.22442,12.7293,0.302013,2.45297,5710.36,2691.02,1604.96,4786.54,595.419,152.864,625.823,4.10611,342.278,146.379
0.2,0.4,0.4,0.4,0.4,0.6,0.0098,33.3714,3.8598,0.924,1.6956,2.4174,0.0145069,59688,823.022,287.01,282.477,315.037,13.7471,2.1404,1.05416,0.727529,1.23396,6183.63,1080.64,2826.44,3950.52,253.687,277.575,501.905,5.1781,116.726,183.078
0.2,0.4,0.4,0.4,0.4,0.8,0.0118,34.4454,3.8578,0.3754,2.219,1.894,0.0192646,63025.1,822.291,93.6372,388.169,199.888,19.6719,2.50338,0.245419,1.31368,1.2473,6425.9,425.886,3791.98,3172.4,106.621,376.933,401.948,5.03159,40.4755,187.806
0.2,0.4,0.4,0.4,0.4,1,0.0082,35.002,3.8614,0.179,2.5828,1.5302,0.0149357,64778.1,823.346,43.9521,470.991,130.922,12.3365,1.97813,0.3374,0.883198,0.750803,6564.63,177.387,4443.67,2620.83,51.0412,453.801,326.007,4.71482,15.6414,180.878
0.2,0.4,0.6,0.4,0.4,0.2,0.149,20.7396,3.7206,12.1046,0.1052,4.0078,31.0802,28069,763.895,10324.8,17.4796,893.115,14.3041,16.1713,172.322,0.0899432,20.5067,3438.31,9449.84,116.636,4189.96,2605.7,11.6273,749.218,4.14863,2185.22,26.5375
0.2,0.4,0.6,0.4,0.4,0.4,0.098,26.189,3.7716,6.9202,0.4212,3.6918,17.7059,40516.8,781.563,4775.57,64.6115,740.938,12.0021,14.0244,105.481,0.0901404,11.9346,4543.64,6399.32,601.526,4842.33,1598.22,55.8548,713.562,4.03622,1139.16,79.06
0.2,0.4,0.6,0.4,0.4,0.6,0.0654,29.941,3.8042,3.7116,0.9972,3.1158,9.93271,50287.4,797.881,2154.39,155.411,516.64,23.3209,9.75176,55.9188,0.671317,7.06224,5336.87,3711.72,1569.46,4600.98,926.239,150.325,623.383,3.5399,566.324,145.809
0.2,0.4,0.6,0.4,0.4,0.8,0.0544,32.1626,3.8152,1.9672,1.4854,2.6276,7.64097,56438,802.189,970.255,243.198,370.999,20.2386,8.7434,44.3753,0.923179,5.36833,5864.34,2057.81,2454.34,4125.24,496.756,236.736,538.414,5.58224,270.416,174.736
0.2,0.4,0.6,0.4,0.4,1,0.0364,33.528,3.8332,0.9762,1.8778,2.2352,2.44596,60385,809.31,421.665,314.956,272.209,21.0512,7.78063,22.6602,1.18929,3.46673,6198.54,1031.62,3181.64,3634.07,252.348,311.518,465.268,5.76484,117.745,188.252
0.2,0.4,0.8,0.4,0.4,0.2,0.592,14.4648,3.2776,18.7618,0.0446,4.0684,100.314,17591.2,583.496,21890.6,4.52031,930.169,13.6522,71.7536,858.31,0.119621,105.587,2187.04,9491.6,42.6142,2987.43,3289.74,4.8836,670.851,6.73637,3519.29,14.4904
0.2,0.4,0.8,0.4,0.4,0.4,0.2476,20.2582,3.622,12.7674,0.188,3.925,41.7074,28754,715.516,12981.6,29.6366,850.464,14.5698,35.0468,328.014,0.136879,37.2652,3257.83,8050.73,242.707,4073.67,2670.19,22.0541,721.985,5.3408,2218.45,41.7845
0.2,0.4,0.8,0.4,0.4,0.6,0.1344,25.164,3.7352,8.1008,0.5404,3.5726,25.9991,39397,767.538,7162.74,79.0438,683.491,20.6309,16.8902,150.49,0.422655,17.7018,4248.81,6010.66,805.738,4505.69,1870.92,75.8755,687.442,2.89511,1314.77,100.568
0.2,0.4,0.8,0.4,0.4,0.8,0.1004,28.5504,3.7692,5.0814,0.9414,3.1716,16.6104,47441,779.871,3885.4,142,535.318,17.3688,15.4179,103.04,0.355555,12.4625,4996.59,4214.13,1469.8,4477.56,1228.07,141.018,627.605,3.05098,778.932,143.176
0.2,0.4,0.8,0.4,0.4,1,0.0714,30.901,3.7982,3.0928,1.3324,2.7806,8.89368,53406.7,792.484,2025.95,214.437,415.18,24.6946,12.9698,61.6737,0.626392,8.04827,5533,2807.39,2180.2,4187.63,783.383,208.595,564.172,5.7335,447.92,167.026
0.2,0.4,1,0.4,0.4,0.2,1.3162,9.9464,2.5534,23.9882,0.0284,4.0846,282.921,10970.8,381.431,33218.7,2.0544,941.626,3.73249,81.4829,2177.4,0.162452,238.169,1405.71,8337.97,25.185,2067.51,2952.3,2.91067,540.2,5.347,4583.69,9.9948
0.2,0.4,1,0.4,0.4,0.4,0.838,15.016,3.0316,18.5176,0.1056,4.0074,156.352,19447,504.164,23272,16.2673,893.45,9.22924,83.4006,1331.25,0.202748,141.939,2250.34,8380.69,116.231,3148.13,2832.26,11.4552,627.844,6.2796,3346.1,26.976
0.2,0.4,1,0.4,0.4,0.6,0.401,19.7734,3.4686,13.5092,0.2916,3.8214,64.8092,29121.2,649.483,15707,44.3658,798.333,14.5366,56.5124,592.785,0.179304,62.921,3117.69,6909.13,400.872,3913.69,2604.99,36.8315,681.51,6.08293,2278.66,60.4856
0.2,0.4,1,0.4,0.4,0.8,0.182,24.0108,3.6876,9.373,0.6118,3.5012,28.9135,37917,743.452,9688.51,89.651,654.354,21.1055,27.4758,228.337,0.48675,24.7729,3957.66,5665.42,909.293,4224.09,2109.02,87.5784,668.603,5.4981,1517.22,109.832
0.2,0.4,1,0.4,0.4,1,0.1148,27.3072,3.7548,6.3616,0.964,3.149,20.0364,45126.4,774.326,5759.29,152.501,528.728,21.2892,16.4774,123.658,0.491831,14.4142,4681.47,4489.75,1506.96,4244.95,1526.33,144.066,622.469,3.73897,984.336,141.22
0.4,0.4,0.2,0.4,0.4,0.2,0.0046,32.9726,3.865,0.8596,1.2376,2.8754,0.00658016,58054.8,825.164,142.614,192.634,441,6.63665,1.07324,0.374521,0.171941,0.73552,6130.71,1183.48,2004.47,4659.9,228.427,193.233,587.302,3.47365,122.072,165.018
0.4,0.4,0.2,0.4,0.4,0.4,0.0026,34.6682,3.867,0.1708,2.2464,1.8666,0.00339392,63598.6,826.086,24.4637,395.055,191.657,4.56358,0.614069,0.090174,0.270213,0.271001,6506.38,200.941,3838.61,3156.38,47.7113,386.189,394.712,3.31318,17.13,188.479
0.4,0.4,0.2,0.4,0.4,0.6,0.0044,35.3844,3.8652,0.0616,2.8516,1.2614,0.00518168,65938.2,825.366,3.18204,543.648,88.0451,7.42219,0.973188,0.0169323,0.501753,0.323315,6661.94,80.7445,4949.28,2184.47,16.3192,512.552,268.064,3.32701,4.74225,165.988
0.4,0.4,0.2,0.4,0.4,0.8,0.0032,35.692,3.8664,0.0326,3.1314,0.9816,0.00359048,66970.6,825.803,0.26519,623.331,54.3609,4.89416,0.755379,0.0168991,0.385457,0.189897,6731.24,50.6722,5476.63,1716.79,7.75251,571.094,209.772,2.9079,1.91578,142.989
0.4,0.4,0.2,0.4,0.4,1,0.0042,35.8874,3.8654,0.0244,3.3176,0.7954,0.00458328,67661.1,825.696,0.132631,678.785,35.283,7.57959,0.808327,0.00429838,0.689604,0.157891,6771.77,40.2294,5836.72,1395.05,5.49538,611.684,168.91,2.87903,1.13102,124.801
0.4,0.4,0.4,0.4,0.4,0.2,0.0346,27.2738,3.835,5.651,0.3002,3.8128,3.68454,42253.1,808.984,2850.8,43.5812,795.397,5.62025,7.32457,31.4074,0.0280187,3.68821,4851.64,6246.35,416.501,5168.39,1332.56,38.5208,739.205,4.72932,951.374,62.3459
0.4,0.4,0.4,0.4,0.4,0.4,0.0212,31.2432,3.8484,2.3744,1.0064,3.1066,1.19339,53465.4,815.78,958.656,149.202,511.252,7.35812,5.17185,15.6984,0.144493,2.19798,5692.75,2722.11,1618.67,4758.16,616.608,154.238,624.861,4.00981,353.667,151.608
0.4,0.4,0.4,0.4,0.4,0.6,0.0078,33.4268,3.8618,0.8748,1.7038,2.4092,0.0153422,59819.9,823.57,271.823,283.621,316.11,10.7792,1.86605,1.32964,0.476806,1.00101,6197.33,1038.29,2845.76,3937.84,241.908,277.319,502.645,4.85049,109.969,181.969
0.4,0.4,0.4,0.4,0.4,0.8,0.005,34.4266,3.8646,0.3958,2.2274,1.8856,0.00737648,62953.5,825.084,101.753,391.332,195.841,8.07168,1.1127,0.179857,0.443152,0.528278,6435.78,451.986,3798.72,3166.31,110.724,381.525,398.945,5.0284,41.845,188.248
0.4,0.4,0.4,0.4,0.4,1,0.0052,34.9516,3.8644,0.213,2.5694,1.5436,0.00717439,64623.3,825.109,47.8636,468.501,132.225,8.39493,1.10073,0.152923,0.550949,0.43486,6556.07,229.501,4422.5,2634.63,61.2125,452.509,327.947,5.10374,20.0788,181.472
0.4,0.4,0.6,0.4,0.4,0.2,0.127,20.6242,3.7426,12.1884,0.0956,4.0174,28.0889,27846.9,772.785,10399.5,14.9775,899.398,5.38,13.2219,149.585,-0.00774275,16.227,3422.02,9484.55,107.117,4164.31,2646.3,10.3171,754.905,3.50529,2212.27,24.6471
0.4,0.4,0.6,0.4,0.4,0.4,0.0952,26.1916,3.7744,6.9364,0.4428,3.6702,19.5008,40489,784.154,4861,66.8945,724.411,6.56627,11.8314,105.71,0.106067,11.2166,4546.54,6388.13,626.642,4827.03,1605.82,61.535,708.584,3.78592,1138.29,86.1821
0.4,0.4,0.6,0.4,0.4,0.6,0.0558,29.7934,3.8138,3.8098,0.9574,3.1556,10.1195,50074.4,801.638,2296.4,149.101,529.99,5.69047,7.77975,56.5001,0.0887948,5.34579,5322.24,3676.58,1512.35,4635.55,949.389,144.171,631.837,3.42598,576.853,142.289
0.4,0.4,0.6,0.4,0.4,0.8,0.0454,32.1436,3.8242,1.9348,1.443,2.67,7.84891,56339.6,806.413,981.683,235.802,385.059,5.81124,6.52749,43.5975,0.234735,4.05419,5876.54,2015.32,2380.12,4194.13,488.437,228.107,549.045,4.76324,263.834,171.404
0.4,0.4,0.6,0.4,0.4,1,0.0376,33.469,3.832,1.0424,1.8838,2.2292,5.0632,60175.7,808.567,490.856,317.425,272.921,7.29322,6.84329,33.2383,0.278425,3.38686,6193.72,1084.07,3168.77,3638.8,261.153,311.553,466.223,5.8487,125.683,186.662
0.4,0.4,0.8,0.4,0.4,0.2,0.6342,14.562,3.2354,18.7068,0.0446,4.0684,117.75,17869.2,568.577,22056.7,4.80477,929.342,-1.98902,70.495,968.353,0.0571261,112.729,2209.81,9354.02,43.5132,2999.76,3188.61,4.80806,663.848,4.67741,3515.75,14.7613
0.4,0.4,0.8,0.4,0.4,0.4,0.2106,20.1054,3.659,12.886,0.1908,3.9222,38.7232,28524.6,732.274,13251.4,29.7431,850.962,7.9736,28.1598,277.549,0.0348245,31.0614,3227.82,7970.11,236.302,4053.99,2747.49,22.2439,728.101,6.87593,2236.51,41.4825
0.4,0.4,0.8,0.4,0.4,0.6,0.109,24.8576,3.7606,8.3668,0.5254,3.5876,23.0229,38682,778.371,7475.16,76.1134,692.512,6.52883,12.9619,126.645,0.0693453,13.2952,4195.48,6129.5,756.974,4496.88,1952.09,73.03,695.047,3.85145,1360.64,97.5222
0.4,0.4,0.8,0.4,0.4,0.8,0.0932,28.4992,3.7764,5.1668,0.9828,3.1302,18.2982,47365.5,784.005,3944.8,150.219,519.299,7.6292,12.5071,103.31,0.244852,11.0099,4992.16,4293.54,1553.52,4388.47,1248.8,149.179,621.008,5.03848,792.873,147.076
0.4,0.4,0.8,0.4,0.4,1,0.0554,30.9694,3.8142,2.9972,1.3212,2.7918,9.17937,53470.5,801.034,1888.7,214.304,417.334,7.5314,8.5518,55.1192,0.189843,5.3416,5578.55,2791.2,2150.28,4233.89,755.578,207.196,568.714,6.05831,426.978,166.016
0.4,0.4,1,0.4,0.4,0.2,1.2802,9.922,2.5894,23.9646,0.0164,4.0966,286.757,10943.7,396.833,33117.7,0.473426,951.258,-5.47784,71.8638,2138.31,0.166438,230.563,1413.01,8341.03,13.3455,2065.87,2986.43,1.8143,548.898,5.62571,4583.69,5.96921
0.4,0.4,1,0.4,0.4,0.4,0.8224,14.9212,3.0472,18.6014,0.1102,4.0028,154.113,19458.3,508.128,23523.7,18.881,890.38,-0.344064,82.5381,1322.19,0.072386,138.076,2233.43,8233.34,120.707,3120.05,2865.19,12.0722,631.221,4.62945,3370.2,27.2043
0.4,0.4,1,0.4,0.4,0.6,0.3772,19.6398,3.4924,13.6008,0.2734,3.8396,65.8617,28871.8,657.149,15873.9,39.8558,808.658,3.60719,52.1531,589.24,0.0584852,59.2624,3093.83,6901.97,364.325,3907.38,2637.03,33.968,688.153,6.85451,2309.55,57.5778
0.4,0.4,1,0.4,0.4,0.8,0.157,23.9758,3.7126,9.3758,0.6046,3.5084,29.8379,37966,756.563,9724.65,87.6966,655.448,9.89798,20.458,206.623,0.207519,19.9204,3960.85,5582.72,902.482,4225.04,2131.93,87.128,674.186,4.27645,1517.64,110.263
0.4,0.4,1,0.4,0.4,1,0.1084,27.362,3.7612,6.2788,0.9424,3.1706,20.4667,45356.4,776.283,5769.5,146.317,532.463,8.40684,15.2839,126.796,0.146873,13.4116,4706.36,4334.7,1478.71,4283.12,1508.63,142.631,625.252,3.55257,968.287,142.445
0.6,0.4,0.2,0.4,0.4,0.2,0.0028,32.9366,3.8668,0.8756,1.2194,2.8936,0.00399296,57967,826.062,150.439,185.394,446.85,3.82414,0.625698,0.224793,0.0673992,0.435385,6124.06,1209.24,1989.58,4665.27,234.275,190.024,590.915,3.37577,124.737,165.713
