k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.2,0.2,0.4,0.8,0.8,14.2607,6.79124,5.78443,168.249,37.1723,28.0166,78.9809,68.3498,32.2123
0.2,0.2,0.4,0.8,1,14.6825,5.88859,6.26519,177.603,28.0995,32.8053,70.6074,76.09,30.3111
0.2,0.2,0.4,1,0.2,12.3693,12.2458,2.22001,132.539,118.32,4.25939,122.905,23.4369,22.3563
0.2,0.2,0.4,1,0.4,13.5585,9.83885,3.43906,155.526,77.1525,9.84056,108.757,38.7296,27.5154
0.2,0.2,0.4,1,0.6,14.4259,8.15396,4.25647,173.948,53.469,14.9468,96.1758,50.6706,28.2326
0.2,0.2,0.4,1,0.8,15.0747,6.93447,4.82723,188.659,38.9391,19.1932,85.6207,59.9422,27.3033
0.2,0.2,0.4,1,1,15.5716,6.02259,5.24199,200.484,29.515,22.6482,76.8935,67.2195,25.8256
0.2,0.2,0.6,0.2,0.2,6.64662,12.5302,7.65957,33.5178,116.028,67.6237,61.6736,44.9367,81.0669
0.2,0.2,0.6,0.2,0.4,6.64653,9.86193,10.3277,33.5164,72.6844,104.721,49.0795,57.527,84.186
0.2,0.2,0.6,0.2,0.6,6.64674,8.02526,12.164,33.5206,48.7179,136.865,40.2924,66.3188,80.0974
0.2,0.2,0.6,0.2,0.8,6.64662,6.71896,13.4708,33.5178,34.5201,163.09,33.9557,72.6545,74.0878
0.2,0.2,0.6,0.2,1,6.64649,5.75952,14.4298,33.5181,25.5928,184.187,29.2502,77.3614,68.0056
0.2,0.2,0.6,0.4,0.2,8.13258,13.3171,5.38674,54.9684,135.136,30.1554,84.9771,40.0548,61.1005
0.2,0.2,0.6,0.4,0.4,8.54949,10.6453,7.64157,59.9419,87.4921,53.5783,71.9794,56.2584,67.5181
0.2,0.2,0.6,0.4,0.6,8.85649,8.78173,9.19797,63.8179,60.2522,74.4904,61.8514,68.5903,66.5412
0.2,0.2,0.6,0.4,0.8,9.08802,7.43817,10.3102,66.8642,43.641,91.885,53.9622,78.0563,63.0485
0.2,0.2,0.6,0.4,1,9.26652,6.43783,11.132,69.2897,32.9284,106.105,47.7459,85.442,58.9138
0.2,0.2,0.6,0.6,0.2,8.98951,13.8499,3.99703,69.3816,149.109,15.2244,100.387,32.3039,46.7135
0.2,0.2,0.6,0.6,0.4,9.72322,11.183,5.93021,79.5073,98.4568,30.6931,88.0216,49.2151,54.6968
0.2,0.2,0.6,0.6,0.6,10.2639,9.30457,7.26775,87.5922,68.8838,44.9183,77.5205,62.5531,55.4921
0.2,0.2,0.6,0.6,0.8,10.6722,7.93698,8.22725,94.0557,50.5233,56.9644,68.8809,73.0505,53.559
0.2,0.2,0.6,0.6,1,10.9875,6.90903,8.93966,99.2692,38.5024,66.9458,61.8044,81.3988,50.7029
0.2,0.2,0.6,0.8,0.2,9.49833,14.2194,3.11866,78.2235,159.217,8.68602,110.349,25.9495,36.9002
0.2,0.2,0.6,0.8,0.4,10.4763,11.5617,4.79844,92.946,106.498,19.4247,99.0871,42.3355,45.4052
0.2,0.2,0.6,0.8,0.6,11.1974,9.67579,5.96312,104.883,75.2776,29.5621,88.7245,55.5489,47.1277
0.2,0.2,0.6,0.8,0.8,11.7425,8.29257,6.80128,114.53,55.6609,38.2754,79.7996,66.1091,46.1203
0.2,0.2,0.6,0.8,1,12.1643,7.24579,7.4262,122.374,42.6882,45.5722,72.2623,74.6059,44.0774
0.2,0.2,0.6,1,0.2,9.81248,14.4824,2.54152,83.5559,166.569,5.51875,116.849,21.3513,30.2396
0.2,0.2,0.6,1,0.4,10.9816,11.8358,4.01908,102.16,112.437,13.3382,106.831,36.7642,38.6994
0.2,0.2,0.6,1,0.6,11.8442,9.94663,5.0455,117.412,80.0495,20.877,96.8418,49.3947,40.8567
0.2,0.2,0.6,1,0.8,12.4969,8.55323,5.78626,129.833,59.5247,27.4317,87.8782,59.6012,40.3881
0.2,0.2,0.6,1,1,13.0026,7.49328,6.34042,139.992,45.8551,32.9653,80.1108,67.8828,38.8633
0.2,0.2,0.8,0.2,0.2,5.39981,13.4928,7.94381,22.6623,133.976,70.6618,54.5989,38.3261,89.6873
0.2,0.2,0.8,0.2,0.4,5.3998,10.6273,10.8093,22.6624,84.2751,111.64,43.5121,49.413,94.0482
0.2,0.2,0.8,0.2,0.6,5.40012,8.65015,12.7854,22.6668,56.6188,147.445,35.7545,57.1707,89.9607
0.2,0.2,0.8,0.2,0.8,5.3998,7.24168,14.1949,22.6624,40.169,176.847,30.1464,62.7787,83.4978
0.2,0.2,0.8,0.2,1,5.39972,6.20603,15.2302,22.6627,29.7964,200.601,25.9759,66.9505,76.81
0.2,0.2,0.8,0.4,0.2,6.64631,14.5179,5.67193,37.2707,160.837,32.6652,76.5451,34.5216,69.8103
0.2,0.2,0.8,0.4,0.4,7.03759,11.6596,8.13917,41.1546,105.271,59.6252,65.5029,49.3698,78.3641
0.2,0.2,0.8,0.4,0.6,7.32499,9.65354,9.85574,44.1882,73.0751,84.0898,56.7095,60.8287,78.0138
0.2,0.2,0.8,0.4,0.8,7.54221,8.19985,11.0943,46.5856,53.2444,104.737,49.7619,69.7422,74.4746
0.2,0.2,0.8,0.4,1,7.70927,7.11207,12.015,48.4953,40.3479,121.793,44.219,76.7558,69.9702
0.2,0.2,0.8,0.6,0.2,7.35847,15.2083,4.26948,46.8456,180.596,17.0963,91.0981,28.2153,54.6808
0.2,0.2,0.8,0.6,0.4,8.05314,12.3688,6.41448,54.8684,121.032,35.4914,81.1961,44.0642,65.306
0.2,0.2,0.8,0.6,0.6,8.56606,10.351,7.91877,61.3328,85.6449,52.7972,72.3757,56.8452,67.1477
0.2,0.2,0.8,0.6,0.8,8.95456,8.87014,9.01171,66.5426,63.3661,67.732,64.8995,67.0857,65.4565
0.2,0.2,0.8,0.6,1,9.25518,7.74873,9.832,70.7717,48.613,80.2987,58.642,75.3466,62.4394
0.2,0.2,0.8,0.8,0.2,7.77865,15.6849,3.3728,52.5968,194.884,10.069,100.485,22.9714,44.0309
0.2,0.2,0.8,0.8,0.4,8.71079,12.8694,5.25625,64.3724,132.688,23.176,92.1856,38.5641,55.3944
0.2,0.2,0.8,0.8,0.6,9.40151,10.8493,6.58515,74.0556,95.0961,35.8888,83.8452,51.5016,58.3911
0.2,0.2,0.8,0.8,0.8,9.92654,9.35275,7.55711,81.9739,71.0793,47.0647,76.3084,62.0766,57.8181
0.2,0.2,0.8,0.8,1,10.3347,8.20972,8.2919,88.4752,54.9765,56.5973,69.7344,70.7388,55.7652
0.2,0.2,0.8,1,0.2,8.03804,16.0224,2.77582,56.0155,205.25,6.56151,106.6,19.1228,36.6267
0.2,0.2,0.8,1,0.4,9.15789,13.2327,4.44579,70.9938,141.354,16.3008,99.9977,33.9557,47.9845
0.2,0.2,0.8,1,0.6,9.99027,11.2154,5.62991,83.5006,102.246,25.978,92.3477,46.528,51.5244
0.2,0.2,0.8,1,0.8,10.625,9.71038,6.50103,93.8396,76.9894,34.6059,84.9827,56.9567,51.6052
0.2,0.2,0.8,1,1,11.1201,8.55306,7.16317,102.404,59.9026,42.0421,78.3165,65.5969,50.1752
0.2,0.2,1,0.2,0.2,4.515,14.162,8.15923,16.1414,147.595,73.1042,48.3736,33.1777,96.2915
0.2,0.2,1,0.2,0.4,4.51502,11.15,11.1714,16.1414,92.9509,117.192,38.5652,42.986,101.569
0.2,0.2,1,0.2,0.6,4.51473,9.07032,13.248,16.1411,62.4677,155.921,31.6901,49.8578,97.4381
0.2,0.2,1,0.2,0.8,4.51501,7.58917,14.7322,16.1413,44.3134,187.8,26.7217,54.8287,90.5816
0.2,0.2,1,0.2,1,4.51492,6.49995,15.8206,16.1419,32.8587,213.628,23.0226,58.5309,83.4039
0.2,0.2,1,0.4,0.2,5.58282,15.3655,5.8879,26.5579,180.74,34.6861,68.5875,30.1109,76.5736
0.2,0.2,1,0.4,0.4,5.94763,12.3737,8.5151,29.6415,119.038,64.5256,59.1474,43.6596,86.8528
0.2,0.2,1,0.4,0.6,6.21668,10.2679,10.3532,32.0804,83.0401,91.8981,51.5187,54.2365,87.0372
0.2,0.2,1,0.4,0.8,6.41691,8.7347,11.6848,33.9673,60.6849,115.192,45.3657,62.5151,83.4593
0.2,0.2,1,0.4,1,6.57168,7.58505,12.6784,35.4925,46.0994,134.571,40.4355,69.079,78.6765
0.2,0.2,1,0.6,0.2,6.18905,16.172,4.47494,33.2645,205.159,18.6098,81.9733,24.8372,60.9401
0.2,0.2,1,0.6,0.4,6.8408,13.2151,6.78049,39.7002,138.788,39.4166,74.0177,39.5352,73.757
0.2,0.2,1,0.6,0.6,7.32236,11.1015,8.41166,44.9236,98.9215,59.2846,66.5904,51.5848,76.5074
0.2,0.2,1,0.6,0.8,7.68768,9.54213,9.6066,49.1593,73.6013,76.643,60.1254,61.3641,75.0708
0.2,0.2,1,0.6,1,7.97066,8.35554,10.5096,52.6125,56.7109,91.3905,54.6132,69.3288,71.9695
0.2,0.2,1,0.8,0.2,6.54584,16.7269,3.56348,37.2405,222.778,11.1916,90.5807,20.4006,49.6784
0.2,0.2,1,0.8,0.4,7.42426,13.8103,5.60184,46.747,153.479,26.268,84.5527,35.0167,63.4459
0.2,0.2,1,0.8,0.6,8.07709,11.7015,7.05686,54.6527,111.025,41.1539,77.8495,47.4031,67.577
0.2,0.2,1,0.8,0.8,8.57528,10.1284,8.13269,61.1804,83.6044,54.4381,71.5035,57.6956,67.4516
0.2,0.2,1,0.8,1,8.96367,8.91914,8.95326,66.5782,65.0464,65.9051,65.8022,66.2313,65.466
0.2,0.2,1,1,0.2,6.7664,17.1179,2.95062,39.5921,235.543,7.41079,96.188,17.1097,41.7124
0.2,0.2,1,1,0.4,7.82537,14.2437,4.76736,51.7359,164.459,18.7556,92.1381,31.1221,55.5267
0.2,0.2,1,1,0.6,8.61628,12.1456,6.07382,62.0266,120.282,30.2568,86.3465,43.3007,60.3197
0.2,0.2,1,1,0.8,9.22263,10.5668,7.04699,70.639,91.3847,40.6877,80.3366,53.5986,60.9712
0.2,0.2,1,1,1,9.69782,9.34361,7.79474,77.8406,71.6167,49.8029,74.661,62.256,59.7174
0.2,0.4,0.2,0.2,0.2,13.7403,6.8868,6.20933,133.987,37.8199,53.7847,69.8703,73.0721,40.5248
0.2,0.4,0.2,0.2,0.4,13.34,5.53131,7.96278,126.454,24.5347,74.8665,54.7192,87.8127,40.754
