k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27
0.2,0.2,0.2,0.2,0.8,1,0.2425,1847.27,209.91,1.7425,190.725,21.4925,0.33453,252677,6249.3,2.92852,7739.59,56.3157,-46.6797,10.0244,0.23052,-1.34668,0.850194,-3975.4,27.0597,-1830.79,-195.7,48.5733,272.564,482.4,-55.1362,3.42538,58.3538
0.2,0.2,0.2,0.2,1,0.2,0.245,1841.85,209.907,2.11,185.667,26.55,0.275664,252951,6252.07,3.05554,7725.57,69.4962,-37.6568,8.66432,0.203559,2.50272,0.980201,-4049.44,-16.9606,-1742.27,-286.452,46.9751,203.49,547.495,-62.8079,3.70877,58.7748
0.2,0.2,0.2,0.2,1,0.4,0.27,1843.31,209.882,1.9525,186.945,25.2725,0.297845,253467,6244.69,3.31353,7750.69,68.1536,-59.0657,12.3451,0.301078,-1.45629,1.03401,-4029.02,-132.013,-1570.06,-450.961,60.3904,216.272,538.619,-62.3259,4.84255,46.8872
0.2,0.2,0.2,0.2,1,0.6,0.25,1844.83,209.903,2.045,188.575,23.6425,0.243108,253242,6253.02,3.00048,7762.76,62.0197,-56.7757,8.2099,0.209273,0.682957,0.618421,-4004.79,-50.9871,-1599.52,-413.504,50.9994,235.354,517.812,-58.2916,3.6452,43.9179
0.2,0.2,0.2,0.2,1,0.8,0.255,1845.96,209.898,2.0275,189.69,22.5275,0.275664,253115,6251.95,3.73608,7780.74,54.1546,-61.6621,8.72545,0.185952,-1.21398,0.679687,-3953.85,-104.117,-1695.17,-298.043,52.3687,284.106,470.896,-67.0441,3.66967,38.8632
0.2,0.2,0.2,0.2,1,1,0.2325,1847.7,209.92,1.9625,191.387,20.83,0.239041,252931,6258.84,3.00862,7760.43,48.5525,-44.6901,5.30185,0.17666,-2.51638,0.553409,-3936.56,-59.3395,-1781.03,-230.522,50.3003,321.051,435.38,-56.8451,3.0312,51.8154
0.2,0.2,0.2,0.4,0.2,0.2,0.24,1841.46,209.912,0.7875,183.963,28.255,0.232982,253186,6248.59,1.13017,7822.27,71.7193,-41.8275,10.4271,0.173935,-1.86316,1.05895,-4029.74,-55.2278,-1648.52,-368.403,23.6405,198.3,556.972,-30.3689,2.41523,9.31284
0.2,0.2,0.2,0.4,0.2,0.4,0.2625,1843.81,209.89,0.77,186.268,25.95,0.254229,253037,6247.67,1.02466,7855.49,54.9699,-22.6003,10.8786,0.18584,3.55116,0.915414,-3970.35,-30.0425,-1699.85,-290.704,23.1125,270.513,479.488,-25.6075,1.54486,1.07607
0.2,0.2,0.2,0.4,0.2,0.6,0.2975,1844.83,209.855,0.7975,187.287,24.93,0.344856,252785,6245.42,1.004,7803.73,69.2883,-64.5942,11.9555,0.133076,0.728791,0.852957,-4005.86,6.49482,-1776.95,-250.5,21.4493,192.947,559.94,-24.5532,1.46198,19.7971
0.2,0.2,0.2,0.4,0.2,0.8,0.275,1846.61,209.877,0.8075,189.097,23.12,0.295113,253290,6255.91,1.08816,7798.59,55.8903,-43.4113,6.73553,0.115727,-1.90658,0.84411,-3951.44,-20.5865,-1577.08,-449.151,24.0816,279.07,476.461,-25.0864,2.25624,29.0685
0.2,0.2,0.2,0.4,0.2,1,0.2375,1847.68,209.915,0.7325,190.132,22.085,0.266761,252975,6246.03,0.893177,7850.53,56.4138,-57.3956,11.6894,0.13136,-0.259618,1.03239,-3948.14,-38.8019,-1712.26,-287.256,27.877,265.628,488.067,-24.0697,2.07041,2.83833
0.2,0.2,0.2,0.4,0.4,0.2,0.25,1841.97,209.903,0.8125,184.485,27.7325,0.24812,252923,6251.18,0.959743,7747.62,76.7278,-49.052,9.12469,0.117168,0.870927,0.976817,-4033.05,-20.6878,-1781.5,-280.37,19.0193,181.646,570.974,-21.7083,1.52115,44.1351
0.2,0.2,0.2,0.4,0.4,0.4,0.26,1843.26,209.893,0.8525,185.805,26.4125,0.273083,253245,6252.23,0.943102,7805.92,65.9673,-53.4055,8.58942,0.153734,-0.919098,0.852381,-4002.94,-53.5359,-1623.16,-407.886,22.731,213.448,541.087,-20.2694,1.88055,20.3664
0.2,0.2,0.2,0.4,0.4,0.6,0.24,1844.84,209.912,0.745,187.295,24.9225,0.253033,253212,6263.15,0.942331,7845.56,62.4727,-36.058,3.13634,0.0738847,4.34506,0.118897,-3988.13,-30.7038,-1605.78,-395.319,18.4739,241.48,508.525,-23.4283,1.19071,2.2936
0.2,0.2,0.2,0.4,0.4,0.8,0.2425,1846.26,209.91,0.83,188.805,23.4125,0.229267,252998,6254.5,1.14396,7832.91,59.7116,-40.1816,7.47551,0.141579,-0.428784,0.686685,-3969.64,-32.3187,-1715.05,-289.853,22.4859,260.383,493.827,-29.4242,1.83972,9.99793
0.2,0.2,0.2,0.4,0.4,1,0.23,1847.67,209.923,0.8075,190.2,22.0175,0.247719,253333,6254.33,0.977888,7796.96,54.2077,-12.0837,7.5492,0.144637,-2.46967,0.710251,-3976.59,-9.44512,-1575.46,-448.608,20.0101,281.003,475.224,-27.2471,1.58734,30.7233
0.2,0.2,0.2,0.4,0.6,0.2,0.2225,1841.99,209.93,0.86,184.583,27.635,0.213528,252990,6255.81,0.997895,7759.92,67.2248,-20.3436,6.82514,0.10391,-2.07229,0.5551,-4029.19,-7.99388,-1753.6,-293.66,20.2107,220.665,535.32,-28.6952,1.44501,42.7344
0.2,0.2,0.2,0.4,0.6,0.4,0.2675,1843.22,209.885,0.875,185.782,26.435,0.311723,253475,6243.69,1.29261,7718.15,76.1461,-44.7382,12.8379,0.198935,-4.18227,1.41467,-4065.98,-15.8045,-1518.11,-557.291,30.1435,165.504,591.732,-28.2052,2.49311,59.16
0.2,0.2,0.2,0.4,0.6,0.6,0.2575,1844.95,209.895,0.8975,187.548,24.67,0.286911,252487,6250.55,1.19999,7814.12,64.9184,-43.2158,9.4231,0.159292,0.279718,0.794461,-4003.29,-13.4685,-1958.73,-58.8277,26.518,225.038,528.356,-28.2244,2.11145,16.7876
0.2,0.2,0.2,0.4,0.6,0.8,0.1875,1846.63,209.965,0.8975,189.298,22.92,0.217888,253116,6262.93,1.12982,7807.7,59.357,-39.748,3.26472,0.0969612,-0.81532,0.426065,-3986.82,-5.36107,-1639.23,-375.563,21.049,246.762,508.095,-32.7915,2.02436,22.7782
0.2,0.2,0.2,0.4,0.6,1,0.2275,1847.67,209.925,0.87,190.268,21.95,0.24636,252869,6250.22,1.09083,7797.49,55.9424,-36.0851,9.60357,0.127393,-0.567274,0.708145,-3955.94,-50.9703,-1821.76,-200.601,27.3135,280.983,473.345,-27.9601,1.89323,29.5924
0.2,0.2,0.2,0.4,0.8,0.2,0.24,1841.71,209.912,1,184.43,27.7875,0.298145,253028,6250.76,1.40852,7822.25,65.6364,-41.4502,9.31178,0.102757,0.553183,0.720301,-4013.1,-33.2957,-1705.03,-307.735,26.0627,216.303,536.891,-28.6266,1.61905,12.3673
0.2,0.2,0.2,0.4,0.8,0.4,0.23,1843.4,209.923,0.945,186.072,26.145,0.242707,252785,6255.63,1.4506,7774,65.5278,-61.1104,6.90509,0.135489,-4.61321,0.558045,-3978.32,4.6237,-1794.25,-244.417,32.7827,245.805,512.718,-32.6877,2.18845,36.5433
0.2,0.2,0.2,0.4,0.8,0.6,0.2425,1845.09,209.91,1.01,187.81,24.4075,0.259342,252854,6255.94,1.42346,7759.36,58.8586,-57.916,6.73867,0.107845,4.40459,0.439781,-3956.36,-5.72268,-1771.78,-261.845,25.6475,254.928,494.696,-32.2161,1.58489,47.2004
0.2,0.2,0.2,0.4,0.8,0.8,0.2125,1846.19,209.94,0.9875,188.92,23.2975,0.202851,252971,6252.47,1.29558,7821.14,53.8637,-44.1909,8.50401,0.0753446,1.10226,0.560683,-3943.74,4.82193,-1688.66,-313.904,26.4704,283.662,469.143,-32.8406,1.36463,18.8058
0.2,0.2,0.2,0.4,0.8,1,0.29,1848.12,209.863,0.985,190.773,21.445,0.331729,253060,6255.77,1.37822,7809.35,54.1473,-46.8652,6.78935,0.202356,-0.660677,0.549825,-3943.56,-20.0007,-1674.06,-337.914,34.2811,292.452,462.127,-32.4771,2.60318,24.5576
0.2,0.2,0.2,0.4,1,0.2,0.2825,1841.61,209.87,1.1175,184.395,27.8225,0.303452,252992,6250.69,1.39719,7703.41,72.7378,-34.4245,9.34258,0.162212,1.44202,0.854781,-4038.32,-8.69533,-1763.32,-310.672,22.6895,193.866,558.305,-29.2796,1.55474,68.2357
0.2,0.2,0.2,0.4,1,0.4,0.225,1843.19,209.928,1.07,185.99,26.2275,0.214912,253342,6256.47,1.64922,7793.64,72.3366,-17.3586,6.49505,0.124561,-1.25088,0.660464,-4064.98,-60.0409,-1610.16,-418.171,27.98,195.157,559.901,-33.3126,2.36499,23.3181
0.2,0.2,0.2,0.4,1,0.6,0.2775,1845.54,209.875,1.0675,188.285,23.9325,0.34636,253216,6252.92,1.49669,7781.32,53.6922,-38.5312,8.20771,0.189242,-3.81112,0.637826,-3946.65,-19.7408,-1617.8,-406.685,26.1638,291.281,466.36,-35.7561,1.5359,38.8037
0.2,0.2,0.2,0.4,1,0.8,0.1925,1846.68,209.96,1.0025,189.445,22.7725,0.231021,253106,6253.38,1.33583,7848.92,58.2915,-36.2189,8.03278,0.0947556,1.52064,0.830871,-3960.33,-53.4779,-1676.66,-318.176,26.356,274.968,477.149,-29.144,2.30132,2.70299
0.2,0.2,0.2,0.4,1,1,0.3025,1847.54,209.85,1.0275,190.22,21.9975,0.396986,252879,6239.52,1.27493,7798.55,54.6692,-86.2715,14.8801,0.214718,2.2215,1.06843,-3902.76,-69.0074,-1778.46,-236.673,25.2497,273.785,477.393,-30.6928,1.71185,29.6998
0.2,0.2,0.2,0.6,0.2,0.2,0.28,1841.69,209.873,0.4925,183.855,28.3625,0.262256,252699,6255.74,0.621497,7794.65,76.2016,-48.2857,6.83779,0.0973434,-0.0996491,0.790476,-4040.11,-30.1891,-1888.35,-157.571,13.0454,172.596,581.182,-14.7555,1.24207,20.8823
0.2,0.2,0.2,0.6,0.2,0.4,0.235,1843.66,209.917,0.5,185.885,26.3325,0.235363,252798,6249.1,0.611529,7812.37,62.1172,-42.7156,10.1723,0.107769,2.55591,0.936704,-3979.09,8.93484,-1791.03,-233.4,13.6228,233.818,517.158,-17.3133,1.0188,19.0659
0.2,0.2,0.2,0.6,0.2,0.6,0.2375,1845.55,209.915,0.535,187.803,24.415,0.276786,253022,6248,0.570201,7823.35,60.6694,-37.5746,10.6994,0.103195,2.31018,0.96886,-3969.94,-11.8614,-1705.16,-318.605,12.6421,246.798,504.391,-12.1272,1.1709,14.2977
0.2,0.2,0.2,0.6,0.2,0.8,0.2175,1846.54,209.935,0.5125,188.787,23.43,0.235783,253168,6255.96,0.616385,7833.18,58.8973,-40.2776,6.7435,0.0937657,-2.73311,0.485188,-3973,-27.5418,-1639.72,-378.272,15.7201,253.142,503.574,-17.6878,1.2302,10.2695
0.2,0.2,0.2,0.6,0.2,1,0.2925,1847.91,209.86,0.5825,190.16,22.0575,0.302701,253231,6241.76,0.634781,7892.09,52.9014,-48.6618,13.808,0.147487,0.258847,1.16108,-3920.7,-25.9855,-1567.78,-415.95,13.0943,284.358,468.69,-15.6824,1.08171,-16.1897
0.2,0.2,0.2,0.6,0.4,0.2,0.305,1841.58,209.847,0.5825,183.815,28.4025,0.322782,252991,6246.01,0.725006,7842.92,70.9028,-69.8373,11.6707,0.197832,-4.18905,0.952118,-3995.13,-52.9742,-1718.03,-299.353,15.0414,197.323,560.382,-20.2479,1.0607,-0.604549
0.2,0.2,0.2,0.6,0.4,0.4,0.275,1843.16,209.877,0.5125,185.352,26.865,0.255013,253123,6258.37,0.576284,7864.61,75.4454,-36.1995,5.52751,0.0968045,-1.33778,0.50589,-4052.16,7.51429,-1614.09,-394.926,10.5191,172.66,582.64,-17.5295,0.954073,-13.7192
0.2,0.2,0.2,0.6,0.4,0.6,0.285,1845.03,209.868,0.5675,187.265,24.9525,0.299524,252713,6246.43,0.647061,7812.66,67.2183,-51.9577,11.4765,0.0809649,1.87667,1.00104,-3996.63,-18.6222,-1851.28,-175.573,15.2383,207.927,543.663,-18.3513,1.4581,16.371
0.2,0.2,0.2,0.6,0.4,0.8,0.2125,1846.4,209.94,0.5325,188.673,23.545,0.207863,252671,6256.74,0.620495,7779.65,62.7148,-37.9067,6.36617,0.0745301,-0.719706,0.555576,-3994.14,24.5096,-1864.17,-181.463,12.824,229.852,524.78,-16.6497,1.24039,35.1263
