k1,k2,k3,k4,o1,o2,o3
0.03,0.04,0.035,0.3,9037.566667,4.666666667,23.16666667
0.03,0.04,0.04,0.03,9443.8,0.566666667,12.86666667
0.03,0.04,0.04,0.1,9350.933333,55.76666667,38.43333333
0.03,0.04,0.04,0.3,9728.9,0,8.666666667
0.03,0.04,0.045,0.03,9978.833333,0,7.666666667
0.03,0.04,0.045,0.1,9957.633333,0,7.566666667
0.03,0.04,0.045,0.3,9954.6,0,6.8
0.03,0.04,0.05,0.03,10156.13333,0,6.866666667
0.03,0.04,0.05,0.1,10186.43333,0,6.4
0.03,0.04,0.05,0.3,10234.6,0,6.366666667
0.03,0.04,0.055,0.03,10445.03333,0,5.066666667
0.03,0.04,0.055,0.1,10401.53333,0,5.8
0.03,0.04,0.055,0.3,10430.4,0,6.1
0.03,0.04,0.06,0.03,10520,0,6.066666667
0.03,0.04,0.06,0.1,10507.36667,0,4.8
0.03,0.04,0.06,0.3,10505.83333,0,5.5
0.03,0.045,0.03,0.03,6600.8,924.4666667,248.6333333
0.03,0.045,0.03,0.1,6972.1,503.3,244.6666667
0.03,0.045,0.03,0.3,7628.466667,199.3666667,206.7333333
0.03,0.045,0.035,0.03,9034.6,93.8,39.9
0.03,0.045,0.035,0.1,8916.766667,110.7666667,59.5
0.03,0.045,0.035,0.3,9134.933333,0.2,15.96666667
0.03,0.045,0.04,0.03,9823.966667,0,8.166666667
0.03,0.045,0.04,0.1,9788.966667,0.066666667,8.6
0.03,0.045,0.04,0.3,9823,0,8.133333333
0.03,0.045,0.045,0.03,10027.3,0,6.9
0.03,0.045,0.045,0.1,10015.2,0,8.033333333
0.03,0.045,0.045,0.3,10092.5,0,6.933333333
0.03,0.045,0.05,0.03,10306.86667,0,5.766666667
0.03,0.045,0.05,0.1,10183.26667,0,6.566666667
0.03,0.045,0.05,0.3,10331.53333,0,5.9
0.03,0.045,0.055,0.03,10439.86667,0,5.933333333
0.03,0.045,0.055,0.1,10460.1,0,5.433333333
0.03,0.045,0.055,0.3,10467.63333,0,5.9
0.03,0.045,0.06,0.03,10563.56667,0,5.3
0.03,0.045,0.06,0.1,10546.06667,0,5.6
0.03,0.045,0.06,0.3,10582.06667,0,5.533333333
0.03,0.05,0.03,0.03,7762.166667,376.0333333,108.7
0.03,0.05,0.03,0.1,7669.9,398.8333333,189.7
0.03,0.05,0.03,0.3,8856.533333,38.4,48.43333333
0.03,0.05,0.035,0.03,9514.933333,0.066666667,10.06666667
0.03,0.05,0.035,0.1,9404.966667,0,9.333333333
0.03,0.05,0.035,0.3,9326.566667,0,10.23333333
0.03,0.05,0.04,0.03,9944.333333,0,6.466666667
0.03,0.05,0.04,0.1,9897.466667,0,7.866666667
0.03,0.05,0.04,0.3,9954.333333,0,6.966666667
0.03,0.05,0.045,0.03,10138.6,0,7.166666667
0.03,0.05,0.045,0.1,10186.53333,0,6.633333333
0.03,0.05,0.045,0.3,10336.73333,0,5.666666667
0.03,0.05,0.05,0.03,10336.36667,0,6.3
0.03,0.05,0.05,0.1,10385.2,0,6.066666667
0.03,0.05,0.05,0.3,10440.93333,0,5.633333333
0.03,0.05,0.055,0.03,10444.7,0,5.666666667
0.03,0.05,0.055,0.1,10543.36667,0,5.166666667
0.03,0.05,0.055,0.3,10536,0,4.866666667
0.03,0.05,0.06,0.03,10553.96667,0,5.066666667
0.03,0.05,0.06,0.1,10627.7,0,4.866666667
0.03,0.05,0.06,0.3,10626.5,0,4.233333333
0.03,0.055,0.03,0.03,8182.033333,286.5,103.9333333
0.03,0.055,0.03,0.1,8166.4,266.3333333,140.6333333
0.03,0.055,0.03,0.3,8959.966667,22.1,45.56666667
0.03,0.055,0.035,0.03,9577.633333,0,9.4
0.03,0.055,0.035,0.1,9723.9,0,6.933333333
0.03,0.055,0.035,0.3,9746.9,0,7.733333333
0.03,0.055,0.04,0.03,10052.36667,0,7.366666667
0.03,0.055,0.04,0.1,9991.433333,0,7.666666667
0.03,0.055,0.04,0.3,10037.33333,0,6.1
0.03,0.055,0.045,0.03,10249.33333,0,6.3
0.03,0.055,0.045,0.1,10252.13333,0,6.3
0.03,0.055,0.045,0.3,10224.2,0,6.333333333
