k1,k2,k3,o1,o2
0.04,0.02,0.055,7204,581.3
0.04,0.02,0.06,9029.133333,79.56666667
0.04,0.025,0.03,679.3666667,1562.733333
0.04,0.025,0.035,1323.533333,1750.1
0.04,0.025,0.04,2261.466667,1701.8
0.04,0.025,0.045,3971.966667,1479.6
0.04,0.025,0.05,6797.833333,713.9666667
0.04,0.025,0.055,9053.5,59.83333333
0.04,0.025,0.06,9601,0.033333333
0.04,0.03,0.03,811.8666667,1479.2
0.04,0.03,0.035,1617.3,1697.666667
0.04,0.03,0.04,3408.4,1392.333333
0.04,0.03,0.045,5969.133333,924.0666667
0.04,0.03,0.05,8618.7,114.2333333
0.04,0.03,0.055,9515.066667,0
0.04,0.03,0.06,9754,0
0.04,0.035,0.03,1055.2,1535.266667
0.04,0.035,0.035,2460.866667,1486.566667
0.04,0.035,0.04,4980.766667,1207
0.04,0.035,0.045,7589.233333,377.9333333
0.04,0.035,0.05,9237.933333,57.83333333
0.04,0.035,0.055,9572.1,36.1
0.04,0.035,0.06,9906.833333,0
0.04,0.04,0.03,1247,1473.333333
0.04,0.04,0.035,2946.233333,1421.333333
0.04,0.04,0.04,6403.366667,650.6333333
0.04,0.04,0.045,8551.033333,107.9666667
0.04,0.04,0.05,9517.933333,0
0.04,0.04,0.055,9910,0
0.04,0.04,0.06,10014.46667,0
0.04,0.045,0.03,2069.2,1313.866667
0.04,0.045,0.035166667,4459.766667,1025.7
0.04,0.045,0.040166667,8432.233333,168.8
0.04,0.045,0.045166667,9272.833333,0
0.04,0.045,0.050166667,9512.633333,0
0.04,0.045,0.055166667,9989.566667,0
0.04,0.045166667,0.059,9840.633333,48.8
0.04,0.05,0.030166667,2657.466667,1213.333333
0.04,0.05,0.035166667,5603.766667,696.1333333
0.04,0.05,0.040166667,8807.333333,108.5
0.04,0.05,0.045166667,9530.533333,0
0.04,0.05,0.050166667,9900.3,0
0.04,0.05,0.055166667,10065.63333,0
0.04,0.050166667,0.059,10160.93333,0
0.04,0.055,0.030166667,3523.6,1059.4
0.04,0.055,0.035166667,6761,494.5666667
0.04,0.055,0.040166667,9105.066667,43.36666667
0.04,0.055,0.045166667,9814.633333,0
0.04,0.055,0.050166667,9949.866667,0
0.04,0.055,0.055166667,10134.5,0
0.04,0.055166667,0.059,10024.9,40.53333333
0.04,0.06,0.030166667,5428.9,644.1666667
0.04,0.06,0.035166667,7455.6,366.2333333
0.04,0.06,0.040166667,9388.033333,0.033333333
0.04,0.06,0.045166667,9802.666667,0
0.04,0.06,0.050166667,10039.2,0
0.04,0.06,0.055166667,10222.1,0
0.040166667,0.058666667,0.059,10044.36667,47.23333333
0.045,0.02,0.030166667,469.7333333,1638
0.045,0.02,0.035166667,703.0333333,1696.166667
0.045,0.02,0.040166667,1072.633333,1796.233333
0.045,0.02,0.045166667,1443.4,1835.166667
0.045,0.02,0.050166667,2832.9,1820.466667
0.045,0.02,0.055166667,5678.933333,1142.833333
0.045,0.020166667,0.059,7681.633333,461
0.045,0.025,0.030166667,514.7333333,1508.666667
0.045,0.025,0.035166667,960.4666667,1625.433333
0.045,0.025,0.040166667,1190.366667,1763.533333
0.045,0.025,0.045166667,2139.166667,1719.766667
0.045,0.025,0.050166667,4834.833333,1194.633333
0.045,0.025,0.055166667,6580.6,758.0666667
0.045,0.025166667,0.059,8479.533333,190.5333333
0.045,0.03,0.030166667,609.9666667,1408.233333
0.045,0.03,0.035166667,1288.533333,1546.9
0.045,0.03,0.040166667,2028.8,1613.233333
0.045,0.03,0.045166667,3968.733333,1381.7
0.045,0.03,0.050166667,6620.7,631.2333333
0.045,0.03,0.055166667,8510.7,214.6333333
0.045,0.030166667,0.059,8903.033333,83.23333333
0.045,0.035,0.030166667,727.4333333,1387.5
0.045,0.035,0.035166667,1528.033333,1532.7
0.045,0.035,0.040166667,2815.1,1617.333333
0.045,0.035,0.045166667,4845.366667,1068.1
0.045,0.035,0.050166667,8607.466667,46.6
0.045,0.035,0.055166667,8760.3,113.4
0.045,0.035166667,0.059,9316.366667,99.96666667
0.045,0.04,0.030166667,1054.5,1467.233333
0.045,0.04,0.035166667,1800.866667,1407.733333
0.045,0.04,0.040166667,4926.066667,1090.066667
0.045,0.04,0.045166667,6466,702.4666667
0.045,0.04,0.050166667,8611.1,132.8666667
0.045,0.04,0.055166667,9492,0
0.045,0.040166667,0.059,9521.5,52.1
0.045,0.045,0.030166667,1069.033333,1339.033333
0.045,0.045,0.035166667,2447.1,1299.8
0.045,0.045,0.040166667,6764.733333,462.8
0.045,0.045,0.045166667,8539.3,95.6
0.045,0.045,0.050166667,9336.833333,0
0.045,0.045,0.055166667,9615,0
0.045,0.045166667,0.059,9768.066667,45.93333333
0.045,0.05,0.030166667,1586.733333,1370.1
0.045,0.05,0.035166667,3770,1227.866667
0.045,0.05,0.040166667,6708.3,502.5
0.045,0.05,0.045166667,8724.1,61.8
0.045,0.05,0.050166667,9551.5,0
0.045,0.05,0.055166667,9774.5,0
0.045,0.050166667,0.059,9667.9,43.6
0.045,0.055,0.030166667,1778.833333,1308.4
0.045,0.055,0.035166667,4543.066667,901.7
0.045,0.055,0.040166667,7806.666667,245.2666667
0.045,0.055,0.045166667,9029.533333,49.03333333
