k1,k2,k3,k4,k5,o1,o2,o3
0.00954332485782865,1.4844879346126414,8365.986181028295,1.9650676597351135,0.004406567127919193,0.13628898751285276,66273.36071097814,0.013536946888964087
0.00487469316370507,8.30693556146528,7985.5576656667,9.278149134095324,0.004536397174569635,0.12366639204551258,35850.248204242926,3.8585668400597904e-10
0.007543684336495821,3.0707417148519873,5029.657406566169,1.804627328569109,0.008544448553170207,0.12991429214284586,46972.05297171686,0.031036536844126168
0.00632109245884897,5.9713597816297925,8972.318728169315,9.752029739680054,0.007533109066189764,0.12867434291570168,32836.628337048474,4.494079877464152e-10
0.009154157626393877,5.456825300471893,6643.262346856226,4.670811167155321,0.005421656093094965,0.12964025213446317,39598.494203752125,3.05428430557939e-06
0.0016781106781023803,8.105971064644436,9970.676341279112,5.045614135191752,0.006018869034532424,0.104779734677654,43552.041145367635,5.617107444221998e-05
0.0020684442906994905,4.035797409803223,7081.7501643938895,9.280626742807945,0.0026767591279004276,0.1125730270252487,37299.685352281354,5.915397113777581e-10
0.004257496126165643,4.133756589246521,9231.914541529062,4.973462129907945,0.005097026474861761,0.12296940005153999,43757.304867947554,3.932069423671237e-06
0.0022727351417847854,7.850250948422728,8094.3178417153085,9.06126383299095,0.001161615253034772,0.11227694759997935,40521.29016815483,8.969127710070857e-10
0.0016451884963957853,6.518373735355033,6243.773433519401,7.55414984702798,0.002473131196399228,0.10595381755639252,38161.41515354928,1.3825630795188733e-07
0.0035915137513072917,6.200171264372504,9112.778812299483,6.258849458549208,0.007262534003654408,0.11997921100609388,37492.86442223989,1.9320212875614705e-07
0.00769450837137186,3.3952311910715673,7491.761502791045,8.247272049159163,0.0038912303786802125,0.12965967714663262,37066.1484796324,3.917733180036625e-10
0.001593348006619352,1.9088612106021503,7095.415223080546,6.6317468338060515,0.009402139280855988,0.10651486482392192,32067.676022604854,9.224943573009383e-07
0.009305325663564443,4.6468961861127465,7164.05224979182,8.275712853681862,0.001230793328181323,0.13066029953517738,40155.83582272687,3.4234763593796013e-10
