k1,k2,o1
0.00396,0.4,924.0
0.04752,0.0,987.6
0.04752,0.02,987.4
0.04752,0.04,981.6
0.04752,0.06,976.2
0.04752,0.08,988.8
0.04752,0.1,998.0
0.04752,0.12,980.2
0.04752,0.14,988.0
0.04752,0.16,988.4
0.04752,0.18,1001.0
0.00396,0.42,924.0
0.04752,0.2,980.4
0.04752,0.22,968.2
0.04752,0.24,991.4
0.04752,0.26,982.0
0.04752,0.28,975.6
0.04752,0.3,992.6
0.04752,0.32,987.6
0.04752,0.34,989.4
0.04752,0.36,969.2
0.04752,0.38,988.0
0.00396,0.44,924.8
0.04752,0.4,980.2
0.04752,0.42,986.6
0.04752,0.44,990.6
0.04752,0.46,996.4
0.04752,0.48,973.0
0.04752,0.5,978.8
0.04752,0.52,989.8
0.04752,0.54,981.0
0.04752,0.56,973.4
0.04752,0.58,990.4
0.00396,0.46,907.0
0.04752,0.6,988.4
0.04752,0.62,978.6
0.04752,0.64,1000.2
0.04752,0.66,975.6
0.04752,0.68,993.0
0.04752,0.7000000000000001,996.2
0.04752,0.72,990.0
0.04752,0.74,982.4
0.04752,0.76,999.2
0.04752,0.78,978.0
0.00396,0.48,899.4
0.04752,0.8,990.6
0.04752,0.8200000000000001,987.2
0.04752,0.84,987.0
0.04752,0.86,991.0
0.04752,0.88,1003.2
0.04752,0.9,989.6
0.04752,0.92,983.8
0.04752,0.9400000000000001,991.0
0.04752,0.96,980.8
0.04752,0.98,1002.2
0.00396,0.5,894.0
0.0495,0.0,975.4
0.0495,0.02,988.6
0.0495,0.04,998.4
0.0495,0.06,997.0
0.0495,0.08,992.6
0.0495,0.1,981.6
0.0495,0.12,991.8
0.0495,0.14,998.4
0.0495,0.16,987.8
0.0495,0.18,977.2
0.00396,0.52,904.4
0.0495,0.2,983.6
0.0495,0.22,993.0
0.0495,0.24,988.6
0.0495,0.26,994.4
0.0495,0.28,987.6
0.0495,0.3,982.4
0.0495,0.32,981.0
0.0495,0.34,991.0
0.0495,0.36,992.8
0.0495,0.38,1000.0
0.00396,0.54,924.6
0.0495,0.4,1017.4
0.0495,0.42,987.6
0.0495,0.44,984.0
0.0495,0.46,1000.2
0.0495,0.48,992.6
0.0495,0.5,973.8
0.0495,0.52,1004.2
0.0495,0.54,992.4
0.0495,0.56,992.6
0.0495,0.58,978.4
0.00396,0.56,901.4
0.0495,0.6,1001.8
0.0495,0.62,996.6
0.0495,0.64,975.8
0.0495,0.66,991.6
0.0495,0.68,979.0
0.0495,0.7000000000000001,992.6
0.0495,0.72,970.4
0.0495,0.74,982.4
0.0495,0.76,977.0
0.0495,0.78,997.2
0.00396,0.58,901.0
0.0495,0.8,980.6
0.0495,0.8200000000000001,983.2
0.0495,0.84,986.2
0.0495,0.86,980.8
0.0495,0.88,980.2
0.0495,0.9,994.8
0.0495,0.92,965.4
0.0495,0.9400000000000001,974.4
0.0495,0.96,994.6
0.0495,0.98,987.6
0.0,0.26,0.0
0.00396,0.6,900.4
0.05148,0.0,990.2
0.05148,0.02,984.0
0.05148,0.04,997.0
0.05148,0.06,981.2
0.05148,0.08,985.4
0.05148,0.1,990.8
0.05148,0.12,974.0
0.05148,0.14,986.2
0.05148,0.16,993.6
0.05148,0.18,1006.6
0.00396,0.62,903.8
0.05148,0.2,993.0
0.05148,0.22,979.6
0.05148,0.24,985.2
0.05148,0.26,993.2
0.05148,0.28,987.2
0.05148,0.3,982.4
0.05148,0.32,999.4
0.05148,0.34,996.4
0.05148,0.36,992.0
0.05148,0.38,991.0
0.00396,0.64,903.4
0.05148,0.4,983.2
0.05148,0.42,988.6
0.05148,0.44,994.4
0.05148,0.46,967.4
0.05148,0.48,988.4
0.05148,0.5,992.8
0.05148,0.52,999.8
0.05148,0.54,984.2
0.05148,0.56,990.2
0.05148,0.58,986.6
0.00396,0.66,900.2
0.05148,0.6,972.0
0.05148,0.62,982.6
0.05148,0.64,987.6
0.05148,0.66,970.8
0.05148,0.68,991.2
0.05148,0.7000000000000001,998.0
0.05148,0.72,994.4
0.05148,0.74,1000.8
0.05148,0.76,984.2
0.05148,0.78,989.2
0.00396,0.68,898.0
0.05148,0.8,987.0
0.05148,0.8200000000000001,974.8
0.05148,0.84,980.2
0.05148,0.86,974.2
0.05148,0.88,984.2
0.05148,0.9,997.6
0.05148,0.92,985.8
0.05148,0.9400000000000001,978.4
0.05148,0.96,996.6
0.05148,0.98,988.2
0.00396,0.7000000000000001,933.8
0.05346,0.0,989.4
0.05346,0.02,969.6
0.05346,0.04,1010.6
0.05346,0.06,970.2
0.05346,0.08,989.4
0.05346,0.1,984.0
0.05346,0.12,990.2
0.05346,0.14,980.4
0.05346,0.16,991.0
0.05346,0.18,1003.2
0.00396,0.72,891.0
0.05346,0.2,986.8
0.05346,0.22,989.0
0.05346,0.24,994.0
0.05346,0.26,987.4
