k1,k2,o1
0.0,0.0,0.0
0.0,0.02,0.0
0.0,0.2,0.0
0.00396,0.0,2014.6
0.039599999999999996,0.0,2119.2
0.039599999999999996,0.02,2109.4
0.039599999999999996,0.04,2097.0
0.039599999999999996,0.06,2121.0
0.039599999999999996,0.08,2137.6
0.039599999999999996,0.1,2104.2
0.039599999999999996,0.12,2129.8
0.039599999999999996,0.14,2119.4
0.039599999999999996,0.16,2124.6
0.039599999999999996,0.18,2103.4
0.00396,0.02,2008.6
0.039599999999999996,0.2,2108.2
0.039599999999999996,0.22,2120.2
0.039599999999999996,0.24,2132.0
0.039599999999999996,0.26,2131.4
0.039599999999999996,0.28,2100.8
0.039599999999999996,0.3,2108.4
0.039599999999999996,0.32,2118.0
0.039599999999999996,0.34,2130.2
0.039599999999999996,0.36,2116.6
0.039599999999999996,0.38,2125.6
0.00396,0.04,2015.2
0.039599999999999996,0.4,2103.0
0.039599999999999996,0.42,2142.6
0.039599999999999996,0.44,2110.0
0.039599999999999996,0.46,2124.0
0.039599999999999996,0.48,2117.6
0.039599999999999996,0.5,2133.6
0.039599999999999996,0.52,2124.4
0.039599999999999996,0.54,2112.0
0.039599999999999996,0.56,2117.0
0.039599999999999996,0.58,2100.6
0.00396,0.06,2002.0
0.039599999999999996,0.6,2113.8
0.039599999999999996,0.62,2109.8
0.039599999999999996,0.64,2098.0
0.039599999999999996,0.66,2117.8
0.039599999999999996,0.68,2132.4
0.039599999999999996,0.7000000000000001,2101.2
0.039599999999999996,0.72,2136.8
0.039599999999999996,0.74,2126.4
0.039599999999999996,0.76,2120.2
0.039599999999999996,0.78,2111.6
0.00396,0.08,2017.6
0.039599999999999996,0.8,2111.8
0.039599999999999996,0.8200000000000001,2115.2
0.039599999999999996,0.84,2102.6
0.039599999999999996,0.86,2123.2
0.039599999999999996,0.88,2117.2
0.039599999999999996,0.9,2124.6
0.039599999999999996,0.92,2119.0
0.039599999999999996,0.9400000000000001,2128.6
0.039599999999999996,0.96,2124.2
0.039599999999999996,0.98,2112.4
0.00396,0.1,2001.0
0.04158,0.0,2087.8
0.04158,0.02,2140.0
0.04158,0.04,2130.0
0.04158,0.06,2116.2
0.04158,0.08,2116.8
0.04158,0.1,2128.2
0.04158,0.12,2126.2
0.04158,0.14,2105.6
0.04158,0.16,2122.0
0.04158,0.18,2120.0
0.00396,0.12,1997.2
0.04158,0.2,2102.8
0.04158,0.22,2122.8
0.04158,0.24,2132.0
0.04158,0.26,2138.2
0.04158,0.28,2124.0
0.04158,0.3,2124.4
0.04158,0.32,2115.2
0.04158,0.34,2100.0
0.04158,0.36,2091.6
0.04158,0.38,2122.4
0.00396,0.14,2024.0
0.04158,0.4,2125.2
0.04158,0.42,2117.4
0.04158,0.44,2128.4
0.04158,0.46,2124.2
0.04158,0.48,2109.4
0.04158,0.5,2115.6
0.04158,0.52,2119.0
0.04158,0.54,2114.2
0.04158,0.56,2119.6
0.04158,0.58,2124.6
0.00396,0.16,1992.0
0.04158,0.6,2113.2
0.04158,0.62,2093.6
0.04158,0.64,2127.4
0.04158,0.66,2126.2
0.04158,0.68,2111.8
0.04158,0.7000000000000001,2113.8
0.04158,0.72,2137.8
0.04158,0.74,2124.4
0.04158,0.76,2114.2
0.04158,0.78,2119.0
0.00396,0.18,2007.8
0.04158,0.8,2123.2
0.04158,0.8200000000000001,2110.4
0.04158,0.84,2134.4
0.04158,0.86,2123.6
0.04158,0.88,2113.4
0.04158,0.9,2116.6
0.04158,0.92,2101.4
0.04158,0.9400000000000001,2126.2
0.04158,0.96,2115.0
0.04158,0.98,2102.4
0.0,0.22,0.0
0.00396,0.2,2006.0
0.04356,0.0,2146.4
0.04356,0.02,2131.6
0.04356,0.04,2135.4
0.04356,0.06,2126.4
0.04356,0.08,2118.0
0.04356,0.1,2114.8
0.04356,0.12,2112.6
0.04356,0.14,2115.4
0.04356,0.16,2126.0
0.04356,0.18,2126.4
0.00396,0.22,2001.6
0.04356,0.2,2113.8
0.04356,0.22,2123.4
0.04356,0.24,2138.4
0.04356,0.26,2127.2
0.04356,0.28,2137.6
0.04356,0.3,2101.6
0.04356,0.32,2098.0
0.04356,0.34,2100.6
0.04356,0.36,2113.6
0.04356,0.38,2116.4
0.00396,0.24,2015.8
0.04356,0.4,2135.0
0.04356,0.42,2116.2
0.04356,0.44,2109.6
0.04356,0.46,2124.0
0.04356,0.48,2106.8
0.04356,0.5,2119.8
0.04356,0.52,2100.8
0.04356,0.54,2116.0
0.04356,0.56,2116.6
0.04356,0.58,2131.2
0.00396,0.26,2006.6
0.04356,0.6,2093.2
0.04356,0.62,2112.6
0.04356,0.64,2101.4
0.04356,0.66,2115.8
0.04356,0.68,2121.6
0.04356,0.7000000000000001,2134.2
0.04356,0.72,2116.2
0.04356,0.74,2115.6
0.04356,0.76,2114.8
