kt,k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.5,0.121249,0.770908,0.0328055,0.801477,0.863204,12.6682,4.4088,9.7594,114.746,30.413,166.152,25.9764,89.3002,25.3302
0.5,0.617932,0.714168,0.353664,0.984963,0.397866,11.8642,8.339,6.6332,106.377,69.4272,86.8868,55.4745,67.0178,42.4242
0.5,0.0545121,0.943629,0.330514,0.00928814,0.428851,8.1428,5.4614,13.2322,59.2927,40.3018,354.463,27.4542,17.0605,24.7186
0.5,0.422785,0.0585304,0.82668,0.468811,0.242036,6.175,11.8244,8.837,35.313,130.587,162.759,29.3852,37.7911,64.7561
0.5,0.168534,0.710855,0.0477005,0.834403,0.438205,12.6016,5.7036,8.5312,117.563,46.7911,143.322,33.5956,83.9566,24.8716
0.5,0.721168,0.14929,0.867243,0.124549,0.503159,5.1108,11.6234,10.1022,27.0839,118.287,186.175,23.164,17.618,89.7072
0.5,0.357944,0.0264225,0.281273,0.160676,0.967642,6.2562,7.702,12.8782,42.9672,65.6007,263.645,13.0626,24.7089,72.3842
0.5,0.0837669,0.201809,0.885321,0.753989,0.856485,7.9204,7.9746,10.9414,53.0663,62.4156,186.707,28.7185,68.8199,47.6292
0.5,0.761257,0.742705,0.650977,0.660401,0.576219,9.8738,9.1256,7.837,70.8861,77.064,110.162,52.2271,55.2403,59.7386
0.5,0.50621,0.113308,0.439142,0.494636,0.461209,7.6186,10.1448,9.073,52.1992,103.457,153.107,31.5129,46.2511,64.1163
0.5,0.672026,0.601849,0.139736,0.784677,0.755914,11.6984,7.1972,7.9408,100.665,56.8425,109.718,45.2003,67.9697,49.4792
0.5,0.647002,0.137797,0.811557,0.212552,0.653791,5.533,10.7534,10.55,29.8113,104.981,185.221,24.931,25.5132,85.8114
0.5,0.656149,0.688228,0.831629,0.116269,0.388869,7.113,9.9446,9.7788,41.1025,88.116,189.332,36.2965,26.2146,74.4758
0.5,0.993756,0.993402,0.305426,0.621792,0.656994,11.7168,7.8332,7.2864,95.3793,63.3949,95.9504,54.277,58.5336,56.0892
0.5,0.479946,0.404506,0.343875,0.113727,0.402179,7.2346,9.0094,10.5924,46.3032,85.4216,220.061,27.1088,24.0122,69.2479
0.5,0.00152751,0.200412,0.747746,0.244408,0.91505,6.1052,6.7316,13.9996,34.0305,52.3824,314.061,17.6882,39.3735,38.9633
0.5,0.0841569,0.357334,0.0772486,0.107208,0.417453,7.7846,6.5352,12.5166,56.3407,64.3432,313.737,18.695,27.4982,32.8585
0.5,0.33021,0.699441,0.0113347,0.222081,0.544962,9.7916,6.1202,10.9246,73.8381,48.6511,232.099,26.8524,44.551,47.5648
0.5,0.784862,0.246861,0.737338,0.841426,0.870002,8.629,10.019,8.1884,61.2996,91.0176,103.57,46.633,53.3566,68.3287
0.5,0.581996,0.485633,0.813229,0.333577,0.658504,7.3292,9.4222,10.085,42.0648,79.4654,179.059,34.8076,41.8038,69.356
0.5,0.469702,0.164764,0.775381,0.352358,0.131349,6.301,11.936,8.5994,35.926,132.691,166.453,31.4912,32.051,65.185
0.5,0.982751,0.0685808,0.0296457,0.359244,0.810396,8.1002,9.7522,8.984,61.8785,105.551,134.195,25.5265,33.7492,86.1741
0.5,0.878298,0.0719233,0.509692,0.116028,0.0272287,5.4898,13.8476,7.499,35.5762,182.052,137.555,21.3839,10.7303,86.5566
0.5,0.0283618,0.0477289,0.571754,0.47336,0.557514,7.1406,8.1942,11.5016,46.6674,79.3204,239.385,19.2149,55.3011,39.0598
0.5,0.526574,0.801873,0.55477,0.713179,0.797969,10.4988,7.4498,8.8878,80.9042,53.9607,129.781,45.7968,66.134,52.0083
0.5,0.310265,0.456673,0.648581,0.620355,0.511851,8.8144,8.6172,9.4048,57.3846,74.5852,166.614,38.3028,58.5264,50.141
0.5,0.815773,0.643185,0.514932,0.836008,0.0259313,10.527,10.8724,5.437,82.7126,112.897,75.1883,64.9266,48.3326,47.6037
0.5,0.0474898,0.0139923,0.876385,0.117729,0.46515,4.5428,9.0974,13.1962,25.7101,93.0153,325.822,14.0375,19.1537,40.797
0.5,0.965594,0.841538,0.951603,0.567237,0.645656,9.0758,9.8896,7.871,59.8024,87.0728,103.418,53.8861,48.7095,68.5199
0.5,0.934198,0.767027,0.540478,0.755771,0.863851,10.6146,8.4792,7.7426,79.9397,67.7927,102.539,51.8511,58.9226,60.3526
0.5,0.130292,0.0465623,0.374923,0.75986,0.167176,8.6656,9.758,8.4128,71.5473,114.532,151.69,26.2099,67.0729,34.0943
0.5,0.733512,0.607126,0.534614,0.413293,0.694904,8.849,8.8052,9.1822,59.3861,73.7636,144.541,41.4291,49.1974,66.7903
0.5,0.935326,0.929292,0.112508,0.219141,0.837354,10.3522,7.1414,9.3428,77.1412,57.1728,152.072,37.4301,47.4982,68.141
0.5,0.413671,0.470836,0.733328,0.305478,0.747051,7.3222,8.3764,11.1378,41.7451,66.336,212.544,29.9943,42.78,63.1752
0.5,0.0375861,0.9455,0.693116,0.32703,0.9513,8.6924,5.2248,12.9192,56.3643,30.8236,274.321,26.3242,58.9777,30.2056
0.5,0.279641,0.725538,0.162677,0.918238,0.49809,12.4636,6.3518,8.021,116.399,48.951,121.281,40.5908,80.7532,31.6025
0.5,0.093845,0.55018,0.0979928,0.635015,0.166499,11.0636,6.8466,8.9262,91.8351,69.3461,176.916,32.2692,72.705,22.2391
0.5,0.852097,0.331699,0.56435,0.131594,0.674748,6.6004,10.2244,10.0116,39.2958,100.635,169.337,28.0177,23.1923,90.4185
0.5,0.568586,0.563977,0.0759419,0.609976,0.149401,11.0628,8.5696,7.204,90.1913,85.9519,117.304,46.2443,56.1276,47.1666
0.5,0.220954,0.19812,0.215771,0.525143,0.559394,8.9166,7.6644,10.2554,66.6534,72.0982,190.499,25.1934,60.6208,45.8227
0.5,0.691782,0.684622,0.491053,0.184731,0.147691,8.4364,10.0186,8.3814,54.3776,96.4956,162.548,42.4374,30.5985,66.5158
0.5,0.140874,0.274152,0.427805,0.863337,0.378139,9.915,8.3506,8.5708,79.0848,79.4192,149.244,33.9406,72.603,35.8446
0.5,0.211874,0.866438,0.847617,0.0180685,0.986889,6.547,6.1124,14.177,38.9872,35.7213,331.133,22.7721,24.0316,46.5378
0.5,0.778181,0.740839,0.618503,0.793778,0.749383,10.4404,8.6488,7.7472,80.1009,69.1337,102.238,52.5992,60.6019,57.3249
0.5,0.0126212,0.816664,0.373426,0.142919,0.296904,8.4984,6.0908,12.2472,57.7768,50.3926,317.799,30.169,32.2931,20.8157
0.5,0.416279,0.378549,0.453709,0.667149,0.49867,9.3294,8.7448,8.7622,67.1467,77.9245,143.264,39.6154,58.9845,53.4948
0.5,0.0314035,0.158221,0.28906,0.865287,0.314348,9.9538,8.0346,8.848,86.3769,86.6919,155.707,25.7267,78.3352,27.812
0.5,0.0438805,0.704037,0.304759,0.543055,0.797719,10.3192,5.1984,11.3188,78.8847,35.1541,221.754,26.1399,75.0641,27.1616
0.5,0.5442,0.285871,0.124566,0.708938,0.039654,10.0498,10.1526,6.634,83.8573,116.711,105.682,43.989,53.5955,45.5524
0.5,0.16281,0.220038,0.603932,0.800788,0.467094,8.8772,8.8136,9.1456,65.9565,82.2945,157.465,32.9413,66.8931,43.5697
0.5,0.380555,0.252231,0.852425,0.437826,0.0395641,6.7658,11.8066,8.264,39.3444,130.008,165.109,36.1015,39.6274,53.3027
0.5,0.63108,0.111079,0.377204,0.55023,0.375829,8.0194,10.6954,8.1216,56.0058,115.921,127.929,34.9237,44.0182,67.3923
0.5,0.256755,0.603887,0.127209,0.283166,0.567529,9.376,6.3464,11.114,67.7338,50.6009,229.4,27.4524,50.0481,44.8943
0.5,0.442188,0.446636,0.887027,0.42647,0.738702,7.3572,8.9908,10.4884,41.7568,71.9391,186.948,33.4696,47.5855,64.8853
0.5,0.0491801,0.788357,0.602555,0.845325,0.900892,10.8294,5.774,10.233,86.1387,36.5378,172.372,32.7726,84.7773,31.1881
0.5,0.0681009,0.785452,0.349852,0.537554,0.059766,10.4852,7.1922,9.159,77.4593,65.3187,204.387,39.15,62.2299,21.2995
