163.5	1802.4
164.0	1808.8
164.5	1812.2
165.0	1815.4
165.5	1819.8
166.0	1823.2
166.5	1827.4
167.0	1832.0
167.5	1835.2
168.0	1841.8
168.5	1847.4
169.0	1852.4
169.5	1857.2
170.0	1860.2
170.5	1863.8
171.0	1867.4
171.5	1873.0
172.0	1878.4
172.5	1881.4
173.0	1886.8
173.5	1891.2
174.0	1893.4
174.5	1897.8
175.0	1902.4
175.5	1907.8
176.0	1913.4
176.5	1918.6
177.0	1922.2
177.5	1926.4
178.0	1932.2
178.5	1936.6
179.0	1941.2
179.5	1944.6
180.0	1950.0
180.5	1954.0
181.0	1957.6
181.5	1961.2
182.0	1965.0
182.5	1969.8
183.0	1973.0
183.5	1977.6
184.0	1981.4
184.5	1986.4
185.0	1991.8
185.5	1997.0
186.0	2001.6
186.5	2004.8
187.0	2008.2
187.5	2012.4
188.0	2016.4
188.5	2020.8
189.0	2025.6
189.5	2030.6
190.0	2034.8
190.5	2039.2
191.0	2043.0
191.5	2046.4
192.0	2050.0
192.5	2053.4
193.0	2056.2
193.5	2059.6
194.0	2065.0
194.5	2067.8
195.0	2072.4
195.5	2077.0
196.0	2081.2
196.5	2086.6
197.0	2090.6
197.5	2097.2
198.0	2102.0
198.5	2108.4
199.0	2113.4
199.5	2118.0
200.0	2122.4
200.5	2127.0
201.0	2131.2
201.5	2136.6
202.0	2139.4
202.5	2144.8
203.0	2149.2
203.5	2153.4
204.0	2157.0
204.5	2161.0
205.0	2166.6
205.5	2170.2
206.0	2174.2
206.5	2177.4
207.0	2181.2
207.5	2184.6
208.0	2188.0
208.5	2192.2
209.0	2196.8
209.5	2202.2
210.0	2205.0
210.5	2210.0
211.0	2214.8
211.5	2219.4
212.0	2223.2
212.5	2229.0
213.0	2233.4
213.5	2237.0
214.0	2240.4
214.5	2245.8
215.0	2248.6
215.5	2251.8
216.0	2256.6
216.5	2261.4
217.0	2264.4
217.5	2268.6
218.0	2273.2
218.5	2277.4
219.0	2279.6
219.5	2282.8
220.0	2286.4
220.5	2289.8
221.0	2293.6
221.5	2298.8
222.0	2302.0
222.5	2306.2
223.0	2310.6
223.5	2316.4
224.0	2320.0
224.5	2326.2
